year,co2_ppm,co2_uncertainty,oni_mean,oni_peak,oni_peak_season,enso_phase,oni_seasons
1950,,,-0.86,-1.53,DJF,La Niña,12
1951,,,0.43,1.15,SON,Neutral / mixed,12
1952,,,0.17,0.53,DJF,Neutral / mixed,12
1953,,,0.71,0.84,SON,El Niño,12
1954,,,-0.4,-0.9,ASO,Neutral / mixed,12
1955,,,-0.95,-1.67,OND,La Niña,12
1956,,,-0.58,-1.11,DJF,La Niña,12
1957,,,0.96,1.74,NDJ,El Niño,12
1958,,,0.83,1.81,DJF,El Niño,12
1959,315.98,0.12,0.14,0.62,JFM,Neutral / mixed,12
1960,316.91,0.12,0.07,0.27,ASO,Neutral / mixed,12
1961,317.64,0.12,-0.02,-0.3,ASO,Neutral / mixed,12
1962,318.45,0.12,-0.21,-0.43,NDJ,Neutral / mixed,12
1963,318.99,0.12,0.66,1.37,OND,El Niño,12
1964,319.62,0.12,-0.34,1.07,DJF,Neutral / mixed,12
1965,320.04,0.12,0.9,1.98,SON,El Niño,12
1966,321.37,0.12,0.38,1.37,DJF,Neutral / mixed,12
1967,322.18,0.12,-0.31,-0.53,FMA,Neutral / mixed,12
1968,323.05,0.12,0.14,0.98,NDJ,Neutral / mixed,12
1969,324.62,0.12,0.74,1.13,DJF,El Niño,12
1970,325.68,0.12,-0.32,-1.15,NDJ,Neutral / mixed,12
1971,326.32,0.12,-0.94,-1.38,JFM,La Niña,12
1972,327.46,0.12,0.93,2.12,NDJ,El Niño,12
1973,329.68,0.12,-0.62,-2.03,NDJ,La Niña,12
1974,330.19,0.12,-0.89,-1.84,DJF,La Niña,12
1975,331.13,0.12,-1.05,-1.65,NDJ,La Niña,12
1976,332.03,0.12,-0.05,-1.56,DJF,Neutral / mixed,12
1977,333.84,0.12,0.51,0.81,OND,El Niño,12
1978,335.41,0.12,-0.1,0.69,DJF,Neutral / mixed,12
1979,336.84,0.12,0.25,0.64,NDJ,Neutral / mixed,12
1980,338.76,0.12,0.25,0.59,DJF,Neutral / mixed,12
1981,340.12,0.12,-0.27,-0.5,JFM,Neutral / mixed,12
1982,341.48,0.12,0.99,2.23,NDJ,El Niño,12
1983,343.15,0.12,0.48,2.18,DJF,Neutral / mixed,12
1984,344.87,0.12,-0.51,-1.14,NDJ,La Niña,12
1985,346.35,0.12,-0.6,-1.04,DJF,La Niña,12
1986,347.61,0.12,0.25,1.22,NDJ,Neutral / mixed,12
1987,349.31,0.12,1.28,1.7,JAS,El Niño,12
1988,351.69,0.12,-0.81,-1.85,NDJ,La Niña,12
1989,353.2,0.12,-0.6,-1.69,DJF,La Niña,12
1990,354.45,0.12,0.32,0.41,NDJ,Neutral / mixed,12
1991,355.7,0.12,0.65,1.53,NDJ,El Niño,12
1992,356.54,0.12,0.63,1.71,DJF,El Niño,12
1993,357.21,0.12,0.31,0.7,AMJ,Neutral / mixed,12
1994,358.96,0.12,0.48,1.09,NDJ,Neutral / mixed,12
1995,360.97,0.12,-0.16,-1.0,OND,Neutral / mixed,12
1996,362.74,0.12,-0.46,-0.9,DJF,Neutral / mixed,12
1997,363.88,0.12,1.17,2.4,OND,El Niño,12
1998,366.84,0.12,-0.06,2.24,DJF,Neutral / mixed,12
1999,368.54,0.12,-1.22,-1.65,NDJ,La Niña,12
2000,369.71,0.12,-0.84,-1.66,DJF,La Niña,12
2001,371.32,0.12,-0.31,-0.68,DJF,Neutral / mixed,12
2002,373.45,0.12,0.63,1.31,OND,El Niño,12
2003,375.98,0.12,0.25,0.92,DJF,Neutral / mixed,12
2004,377.7,0.12,0.45,0.7,ASO,Neutral / mixed,12
2005,379.98,0.12,0.04,-0.84,NDJ,Neutral / mixed,12
2006,382.09,0.12,0.07,0.94,OND,Neutral / mixed,12
2007,384.02,0.12,-0.61,-1.6,NDJ,La Niña,12
2008,385.83,0.12,-0.78,-1.64,DJF,La Niña,12
2009,387.64,0.12,0.28,1.56,NDJ,Neutral / mixed,12
2010,390.1,0.12,-0.48,-1.64,SON,Neutral / mixed,12
2011,391.85,0.12,-0.78,-1.31,DJF,La Niña,12
2012,394.06,0.12,-0.06,-0.72,DJF,Neutral / mixed,12
2013,396.74,0.12,-0.23,-0.35,JJA,Neutral / mixed,12
2014,398.81,0.12,0.2,0.77,NDJ,Neutral / mixed,12
2015,401.01,0.12,1.55,2.75,NDJ,El Niño,12
2016,404.41,0.12,0.42,2.63,DJF,Neutral / mixed,12
2017,406.76,0.12,-0.11,-0.86,NDJ,Neutral / mixed,12
2018,408.72,0.12,0.09,0.97,OND,Neutral / mixed,12
2019,411.65,0.12,0.58,0.89,DJF,El Niño,12
2020,414.21,0.12,-0.27,-1.2,OND,Neutral / mixed,12
2021,416.41,0.12,-0.64,-0.91,DJF,La Niña,12
2022,418.53,0.12,-0.85,-0.97,ASO,La Niña,12
2023,421.08,0.12,0.9,2.06,NDJ,El Niño,12
2024,424.61,0.12,0.44,1.92,DJF,Neutral / mixed,12
2025,427.35,0.12,-0.27,-0.55,OND,Neutral / mixed,12
2026,,,0.02,0.48,MAM,Neutral / mixed,4
