PopGIS3 - Nouvelle Calédonie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : iris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - agriculteurs-pêcheurs;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - d'artisans-commerçants;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - cadres;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - professions intermédiaires;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - employés;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - ouvriers;% employés et ouvriers;% salariés du privé;% salariés du public;% CDD (Contrat à Durée Déterminée);% CDI (Contrat à Durée Indéterminée);% actifs à temps complet;% actifs à temps partiel;% travail en continu;% travail saisonnier;% mode principal de transport = marche à pied;% mode principal de transport = voiture;% mode principal de transport = transport en commun;% ménages sans véhicules;% propriétaires;% locataires;% locataires gratuit;% locataires social;% locataires privés;% logements < 40 m²;% logements < 80 m²;% logements < 120 m²;% logements > 160 m²;% ménages raccordés au réseau d'électricité;% ménages non raccordés au réseau d'électricité;% de ménages avec point d'eau courante individuelle;% ménages réfrigérateur;% ménages machine à laver;% ménages accès à internet;Taux de navetteurs sortant;Taux d'activité (15-64 ans);Taux d'emploi;Taux de chômage;% travailleurs indépendants;% pers. ne résidant pas en Nouvelle Calédonie en 2014;% pers. résidant dans une autre commune en 2014;% pers. résidant dans la même commune en 2014;% pers. seules;% couples sans enfant(s);% couples avec enfant(s);% familles monoparentales;% ménages complexes
1001;Kaala Gomen village et littoral;38;25;11;98;95;251;66.8;61.8;17.2;26.3;52.7;74.9;25.1;79;21;19.2;77.1;6.5;17.5;77;6;17;1.8;4.2;28.8;35.2;28.3;7.7;94.5;5.5;86.5;95.4;82.1;38.1;0.3;69.1;52.8;23.6;21;0.2;8.8;91;16.6;15.3;38.3;9.3;20.6
1004;Ouéholle - Ouémou - Kourou;4;6;3;8;16;47;75;63.1;19;44;38.1;70.2;29.8;66.7;33.3;43;57.8;4.3;31.8;95.5;1.1;3.4;0;1.1;51.1;26.1;13.6;9.1;75;25;93.2;87.5;58;15.9;0.2;59.3;37.2;37.3;17.9;0;11.1;88.9;12.5;12.5;39.8;6.8;28.4
101;Bélep;57;8;4;17;30;33;42.3;36.9;20.8;20.1;37.6;46.3;53.7;51.7;48.3;83.3;13.3;6;83.9;95;0;5;0;0;48.7;32.7;10.1;8.5;93;7;98.5;78.9;37.2;22.6;0.2;53.9;25.3;53;42.3;0.5;15.2;84.3;11.1;9;31.2;10.6;38.2
1101;Koné village;13;136;171;394;447;363;53.1;57.9;28.4;24.9;61.4;90.8;9.2;92.8;7.2;14.3;84.1;4.3;13.5;43.4;48.9;7.6;19.5;29.4;5.5;33.7;44.9;16;99.4;0.6;98.8;99.2;97.5;69;0.3;80.2;71.3;11.1;13.7;11;25.5;63.5;20.4;19.1;41;8.9;10.7
1102;Paiamboué - La Caférie - Foué;5;82;171;272;206;231;45.2;60.5;26.2;15.4;71.3;91.6;8.4;93.8;6.2;14.5;84.8;4.2;12;40.2;55.3;4.5;27.2;28.1;12.1;42;32.2;13.7;98.4;1.6;99.6;99;96;71.6;0.4;81.7;71.5;12.4;13.3;10.9;27.4;61.7;17.6;18.4;43.3;9;11.7
1103;Baco - Koniambo;12;11;7;26;40;107;72.4;70.4;12.8;26.6;56.7;82.8;17.2;83.3;16.7;31.9;67.9;3.1;34.8;91.4;5.9;2.7;0;5.9;19.8;44.9;31;4.3;92;8;97.9;93.6;84.5;22.5;0.3;74.3;45.4;38.9;16.7;0.9;7.6;91.5;24.1;11.2;34.8;7;23
1107;Poindah - Noelly - Néami - Netchaot;39;49;34;96;178;292;68.3;72.7;16.1;31.1;57.7;88.2;11.8;83;17;19.5;70.8;11.6;31;81.9;15;3.2;3.3;11.6;24.3;26.9;36.3;12.5;86.1;13.9;97;85.2;72.5;31.5;0.3;68.9;46.6;32.3;11.2;4.4;7.5;88.1;18.1;10.4;34.5;8.8;28.2
1108;Bopope;7;0;0;4;13;27;78.4;76.5;11.8;27.5;60.8;76.5;23.5;70.6;29.4;37;53.9;12.7;49.2;90.2;3.3;6.6;0;3.3;44.3;55.7;0;0;78.7;21.3;65.6;83.6;60.7;49.2;0.2;57.4;36.2;37;11.8;0;5;95;13.1;21.3;19.7;0;45.9
1201;Koumac village;11;125;75;325;398;353;58.4;56.5;28.4;28.3;56.6;89.7;10.3;91.6;8.4;21.1;76.5;4.1;18.7;60.6;30.5;8.9;6.7;23.8;13.5;30;41.8;14.7;99.1;0.9;99.2;98;95.6;60.6;0.1;78.5;71.2;9.3;15.2;8.8;13.9;77.3;20.4;20.2;38.2;10.8;10.4
1202;Pagou - Paop - Wanac;10;14;4;30;54;134;76.4;78.9;11.8;33.3;57.3;67.9;32.1;76;24;35.8;63;4;31.2;82.5;7.4;10.1;0;7.4;55;14.8;11.1;19;95.8;4.2;96.8;94.7;81.5;29.1;0.2;73;57.2;21.7;9.3;0;10.6;89.4;19.6;11.1;37;6.9;25.4
