status,error,echelle,province,commune,type,valeur,label,scale_mode,score_total_pct,score_province_pct,score_nc_pct,title,subtitle,raster,png_r,qgis_output,qgis_format,qgis_exported,nb_points,resolution_m,classes,min_pct,max_pct
skipped_existing,,commune,Province Sud,Nouméa,parti,AVENIR CONFIANCE,Avenir en Confiance,echelle_adaptee,50.38,40.59,,"Nouméa - Provinciales 2019 - Avenir en Confiance - 50,4 % exprimés","Province Sud : 40,6 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_avenir_confiance_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_avenir_confiance_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_adaptee/noumea_avenir_confiance_echelle_adaptee.png,png,TRUE,57,20,6,19.6,73.46
skipped_existing,,commune,Province Sud,Nouméa,parti,CE,Calédonie Ensemble,echelle_adaptee,18.6,18.49,,"Nouméa - Provinciales 2019 - Calédonie Ensemble - 18,6 % exprimés","Province Sud : 18,5 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_ce_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_ce_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_adaptee/noumea_ce_echelle_adaptee.png,png,TRUE,57,20,6,13.56,23.49
skipped_existing,,commune,Province Sud,Nouméa,parti,FLNKS,UC-FLNKS et Nationalistes,echelle_adaptee,9.03,15.88,,"Nouméa - Provinciales 2019 - UC-FLNKS et Nationalistes - 9,0 % exprimés","Province Sud : 15,9 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_flnks_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_flnks_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_adaptee/noumea_flnks_echelle_adaptee.png,png,TRUE,57,20,6,1.18,29.82
skipped_existing,,commune,Province Sud,Nouméa,parti,LEO,Éveil Océanien,echelle_adaptee,5.49,8.56,,"Nouméa - Provinciales 2019 - Éveil Océanien - 5,5 % exprimés","Province Sud : 8,6 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_leo_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_leo_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_adaptee/noumea_leo_echelle_adaptee.png,png,TRUE,57,20,6,0.42,19.09
ok,,commune,Province Sud,Nouméa,parti,RN,RN,echelle_adaptee,3.87,3.81,,"Nouméa - Provinciales 2019 - RN - 3,9 % exprimés","Province Sud : 3,8 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_rn_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_rn_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_adaptee/noumea_rn_echelle_adaptee.png,png,TRUE,57,20,6,1.99,7.85
ok,,commune,Province Sud,Nouméa,parti,AVENIR CONFIANCE,Avenir en Confiance,echelle_comparable,50.38,40.59,,"Nouméa - Provinciales 2019 - Avenir en Confiance - 50,4 % exprimés","Province Sud : 40,6 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_avenir_confiance_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_avenir_confiance_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_comparable/noumea_avenir_confiance_echelle_comparable.png,png,TRUE,57,20,6,19.6,73.46
ok,,commune,Province Sud,Nouméa,parti,CE,Calédonie Ensemble,echelle_comparable,18.6,18.49,,"Nouméa - Provinciales 2019 - Calédonie Ensemble - 18,6 % exprimés","Province Sud : 18,5 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_ce_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_ce_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_comparable/noumea_ce_echelle_comparable.png,png,TRUE,57,20,6,13.56,23.49
ok,,commune,Province Sud,Nouméa,parti,FLNKS,UC-FLNKS et Nationalistes,echelle_comparable,9.03,15.88,,"Nouméa - Provinciales 2019 - UC-FLNKS et Nationalistes - 9,0 % exprimés","Province Sud : 15,9 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_flnks_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_flnks_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_comparable/noumea_flnks_echelle_comparable.png,png,TRUE,57,20,6,1.18,29.82
ok,,commune,Province Sud,Nouméa,parti,LEO,Éveil Océanien,echelle_comparable,5.49,8.56,,"Nouméa - Provinciales 2019 - Éveil Océanien - 5,5 % exprimés","Province Sud : 8,6 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_leo_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_leo_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_comparable/noumea_leo_echelle_comparable.png,png,TRUE,57,20,6,0.42,19.09
ok,,commune,Province Sud,Nouméa,parti,RN,RN,echelle_comparable,3.87,3.81,,"Nouméa - Provinciales 2019 - RN - 3,9 % exprimés","Province Sud : 3,8 % exprimés",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_rn_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_rn_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/partis_echelle_comparable/noumea_rn_echelle_comparable.png,png,TRUE,57,20,6,1.99,7.85
