commune_norm,election,tour,province_code,province,type_resultat,option,nuance,commune,voix,exprimes,inscrits,pct_exprimes,pct_inscrits,rang
BELEP,legislatives_2022,1,,,candidat,Gérard REIGNIER,REG,Belep,259,277,934,93.5,27.73,1
BELEP,legislatives_2022,1,,,candidat,Muneiko HAOCAS,REG,Belep,10,277,934,3.61,1.07,2
BELEP,legislatives_2022,1,,,candidat,Michèle HOMBOE,DVC,Belep,3,277,934,1.08,0.32,3
BELEP,legislatives_2022,1,,,candidat,Joannes ITITIATY,DIV,Belep,2,277,934,0.72,0.21,4
BELEP,legislatives_2022,1,,,candidat,Nicolas METZDORF,ENS,Belep,2,277,934,0.72,0.21,5
BELEP,legislatives_2022,2,,,candidat,Gérard REIGNIER,REG,Belep,444,446,934,99.55,47.54,1
BELEP,legislatives_2022,2,,,candidat,Nicolas METZDORF,ENS,Belep,2,446,934,0.45,0.21,2
BELEP,legislatives_2024,1,,,candidat,Emmanuel TJIBAOU,REG,Belep,526,535,933,98.32,56.38,1
BELEP,legislatives_2024,1,,,candidat,Milakulo TUKUMULI,DVG,Belep,4,535,933,0.75,0.43,2
BELEP,legislatives_2024,1,,,candidat,Gérard POADJA,HOR,Belep,2,535,933,0.37,0.21,3
BELEP,legislatives_2024,1,,,candidat,Ronald FRERE,REG,Belep,2,535,933,0.37,0.21,4
BELEP,legislatives_2024,1,,,candidat,Luther VOUDJO,REG,Belep,1,535,933,0.19,0.11,5
BELEP,legislatives_2024,2,,,candidat,Emmanuel TJIBAOU,REG,Belep,676,676,932,100,72.53,1
BELEP,legislatives_2024,2,,,candidat,Alcide PONGA,DVD,Belep,0,676,932,0,0,2
BELEP,municipales_2020,1,,,liste,DAU AR POUR TOUS,LNC,Belep,330,656,944,50.3,34.96,1
BELEP,municipales_2020,1,,,liste,BELEP : IDENTITE ET DESTIN PARTAGE,LNC,Belep,326,656,944,49.7,34.53,2
BELEP,municipales_2026,1,,,liste,Albert WAHOULO BELEP POUR LA RECONCILIATION,,Belep,343,698,943,49.14,36.37,1
BELEP,municipales_2026,1,,,liste,Ignacia TEANYOUEN UNIS POUR DAU AR,,Belep,191,698,943,27.36,20.25,2
BELEP,municipales_2026,1,,,liste,Gianni TEAMBOUEON YAGUË LI MOLEP,,Belep,87,698,943,12.46,9.23,3
BELEP,municipales_2026,1,,,liste,Yan MOILOU FEDERATION METANOÏA,,Belep,46,698,943,6.59,4.88,4
BELEP,municipales_2026,1,,,liste,Franck Mac Kane BOUANAOUE DAU AR POUR TOUS,,Belep,31,698,943,4.44,3.29,5
BELEP,provinciales_2019,,PN,Province Nord,liste,PN_liste_06,,Bélep,234,487,912,48.05,25.66,1
BELEP,provinciales_2019,,PN,Province Nord,liste,PN_liste_01,,Bélep,193,487,912,39.63,21.16,2
BELEP,provinciales_2019,,PN,Province Nord,liste,PN_liste_04,,Bélep,47,487,912,9.65,5.15,3
BELEP,provinciales_2019,,PN,Province Nord,liste,PN_liste_02,,Bélep,6,487,912,1.23,0.66,4
BELEP,provinciales_2019,,PN,Province Nord,liste,PN_liste_03,,Bélep,6,487,912,1.23,0.66,5
BELEP,referendum_2018,,,,choix,oui,,BELEP,664,703,920,94.45,72.17,1
BELEP,referendum_2018,,,,choix,non,,BELEP,39,703,920,5.55,4.24,2
BELEP,referendum_2020,,,Province Nord,choix,oui,,Belep,734,761,937,96.45,78.34,1
BELEP,referendum_2020,,,Province Nord,choix,non,,Belep,27,761,937,3.55,2.88,2
BELEP,referendum_2021,,,Province Nord,choix,non,,Belep,4,6,930,66.67,0.43,1
BELEP,referendum_2021,,,Province Nord,choix,oui,,Belep,2,6,930,33.33,0.22,2
BOULOUPARI,legislatives_2022,1,,,candidat,Nicolas METZDORF,ENS,Boulouparis,575,1354,3275,42.47,17.56,1
BOULOUPARI,legislatives_2022,1,,,candidat,Thierry SANTA,LR,Boulouparis,433,1354,3275,31.98,13.22,2
BOULOUPARI,legislatives_2022,1,,,candidat,Gérard REIGNIER,REG,Boulouparis,200,1354,3275,14.77,6.11,3
BOULOUPARI,legislatives_2022,1,,,candidat,Alain DESCOMBELS,RN,Boulouparis,87,1354,3275,6.43,2.66,4
BOULOUPARI,legislatives_2022,1,,,candidat,Muneiko HAOCAS,REG,Boulouparis,22,1354,3275,1.62,0.67,5
BOULOUPARI,legislatives_2022,2,,,candidat,Nicolas METZDORF,ENS,Boulouparis,1376,1770,3275,77.74,42.02,1
BOULOUPARI,legislatives_2022,2,,,candidat,Gérard REIGNIER,REG,Boulouparis,394,1770,3275,22.26,12.03,2
BOULOUPARI,legislatives_2024,1,,,candidat,Alcide PONGA,DVD,Bouloupari,1341,2265,3345,59.21,40.09,1
BOULOUPARI,legislatives_2024,1,,,candidat,Emmanuel TJIBAOU,REG,Bouloupari,653,2265,3345,28.83,19.52,2
