election,tour,province_code,province,commune_norm,commune,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,blancs,nuls,pct_participation,pct_abstention,pct_exprimes_votants
legislatives_2022,1,,,BELEP,Belep,1,1,934,280,654,277,0,3,29.98,70.02,98.93
legislatives_2022,2,,,BELEP,Belep,1,1,934,446,488,446,0,0,47.75,52.25,100
legislatives_2024,1,,,BELEP,Belep,1,1,933,538,395,535,0,3,57.66,42.34,99.44
legislatives_2024,2,,,BELEP,Belep,1,1,932,676,256,676,0,0,72.53,27.47,100
municipales_2020,1,,,BELEP,Belep,1,1,944,659,285,656,1,2,69.81,30.19,99.54
municipales_2026,1,,,BELEP,Belep,1,1,943,703,240,698,1,4,74.55,25.45,99.29
provinciales_2019,,PN,Province Nord,BELEP,Bélep,1,1,912,490,422,487,1,2,53.73,46.27,99.39
referendum_2018,,,,BELEP,BELEP,2,1,920,707,213,703,0,4,76.85,23.15,99.43
referendum_2020,,,Province Nord,BELEP,Belep,2,1,937,763,174,761,1,1,81.43,18.57,99.74
referendum_2021,,,Province Nord,BELEP,Belep,2,1,930,6,924,6,0,0,0.65,99.35,100
legislatives_2022,1,,,BOULOUPARI,Boulouparis,4,4,3275,1387,1888,1354,22,11,42.35,57.65,97.62
legislatives_2022,2,,,BOULOUPARI,Boulouparis,4,4,3275,1821,1454,1770,27,24,55.6,44.4,97.2
legislatives_2024,1,,,BOULOUPARI,Bouloupari,4,4,3345,2298,1047,2265,16,17,68.7,31.3,98.56
legislatives_2024,2,,,BOULOUPARI,Bouloupari,4,4,3345,2604,741,2576,14,14,77.85,22.15,98.92
municipales_2020,1,,,BOULOUPARI,Boulouparis,2,2,3143,2210,933,2165,27,18,70.31,29.69,97.96
municipales_2026,1,,,BOULOUPARI,Bouloupari,4,4,3381,2326,1055,2265,37,24,68.8,31.2,97.38
municipales_2026,2,,,BOULOUPARI,Bouloupari,4,4,3381,2484,897,2435,23,26,73.47,26.53,98.03
provinciales_2019,,PS,Province Sud,BOULOUPARI,Boulouparis,2,2,2659,1835,824,1794,22,19,69.01,30.99,97.77
referendum_2018,,,,BOULOUPARI,BOULOUPARIS,2,2,2645,2400,245,2376,6,18,90.74,9.26,99
referendum_2020,,,Province Sud,BOULOUPARI,Boulouparis,4,4,2819,2610,209,2587,9,14,92.59,7.41,99.12
referendum_2021,,,Province Sud,BOULOUPARI,Boulouparis,4,4,2893,1799,1094,1750,17,32,62.18,37.82,97.28
legislatives_2022,1,,,BOURAIL,Bourail,5,5,4667,1799,2868,1748,27,24,38.55,61.45,97.17
legislatives_2022,2,,,BOURAIL,Bourail,5,5,4666,2500,2166,2426,50,24,53.58,46.42,97.04
legislatives_2024,1,,,BOURAIL,Bourail,5,5,4752,3252,1500,3183,42,27,68.43,31.57,97.88
legislatives_2024,2,,,BOURAIL,Bourail,5,5,4752,3749,1003,3696,30,23,78.89,21.11,98.59
municipales_2020,1,,,BOURAIL,Bourail,5,5,4501,2641,1860,2543,63,35,58.68,41.32,96.29
municipales_2026,1,,,BOURAIL,Bourail,5,5,4880,3122,1758,3033,57,32,63.98,36.02,97.15
municipales_2026,2,,,BOURAIL,Bourail,5,5,4876,3531,1345,3466,38,27,72.42,27.58,98.16
provinciales_2019,,PS,Province Sud,BOURAIL,Bourail,5,5,3949,2686,1263,2605,49,32,68.02,31.98,96.98
referendum_2018,,,,BOURAIL,BOURAIL,5,5,3934,3482,452,3432,17,33,88.51,11.49,98.56
referendum_2020,,,Province Sud,BOURAIL,Bourail,5,5,4083,3713,370,3661,20,32,90.94,9.06,98.6
referendum_2021,,,Province Sud,BOURAIL,Bourail,5,5,4152,2548,1604,2452,37,59,61.37,38.63,96.23
legislatives_2022,1,,,CANALA,Canala,7,7,3589,1466,2123,1450,5,11,40.85,59.15,98.91
legislatives_2022,2,,,CANALA,Canala,7,7,3589,2268,1321,2256,3,9,63.19,36.81,99.47
legislatives_2024,1,,,CANALA,Canala,7,7,3620,2502,1118,2486,5,11,69.12,30.88,99.36
legislatives_2024,2,,,CANALA,Canala,7,7,3620,3042,578,3029,5,8,84.03,15.97,99.57
municipales_2020,1,,,CANALA,Canala,6,6,3500,2342,1158,2311,13,18,66.91,33.09,98.68
municipales_2026,1,,,CANALA,Canala,7,7,3620,2576,1044,2544,13,19,71.16,28.84,98.76
municipales_2026,2,,,CANALA,Canala,7,7,3620,2916,704,2895,8,13,80.55,19.45,99.28
provinciales_2019,,PN,Province Nord,CANALA,Canala,6,6,3384,2158,1226,2077,34,47,63.77,36.23,96.25
referendum_2018,,,,CANALA,CANALA,6,6,3406,2974,432,2930,20,24,87.32,12.68,98.52
referendum_2020,,,Province Nord,CANALA,Canala,7,7,3498,3194,304,3169,8,17,91.31,8.69,99.22
referendum_2021,,,Province Nord,CANALA,Canala,7,7,3551,49,3502,44,2,3,1.38,98.62,89.8
legislatives_2022,1,,,DUMBEA,Dumbéa,26,26,22794,7416,15378,7158,193,65,32.53,67.47,96.52
legislatives_2022,2,,,DUMBEA,Dumbéa,26,26,22794,10047,12747,9768,190,89,44.08,55.92,97.22
legislatives_2024,1,,,DUMBEA,Dumbéa,26,26,23579,14566,9013,14174,275,117,61.78,38.22,97.31
legislatives_2024,2,,,DUMBEA,Dumbéa,26,26,23579,16456,7123,16189,174,93,69.79,30.21,98.38
municipales_2020,1,,,DUMBEA,Dumbéa,24,24,21301,10237,11064,9970,188,79,48.06,51.94,97.39
municipales_2026,1,,,DUMBEA,Dumbéa,26,26,24283,12513,11770,12180,256,77,51.53,48.47,97.34
municipales_2026,2,,,DUMBEA,Dumbéa,26,26,24283,13373,10910,13136,169,68,55.07,44.93,98.23
provinciales_2019,,PS,Province Sud,DUMBEA,Dumbéa,24,24,15787,10983,4804,10612,265,106,69.57,30.43,96.62
referendum_2018,,,,DUMBEA,DUMBEA,18,18,16546,13699,2847,13466,111,122,82.79,17.21,98.3
referendum_2020,,,Province Sud,DUMBEA,Dumbéa,24,24,17759,15464,2295,15262,104,98,87.08,12.92,98.69
referendum_2021,,,Province Sud,DUMBEA,Dumbéa,24,24,18649,11616,7033,11275,157,184,62.29,37.71,97.06
legislatives_2022,1,,,FARINO,Farino,1,1,668,369,299,356,8,5,55.24,44.76,96.48
legislatives_2022,2,,,FARINO,Farino,1,1,668,453,215,436,10,7,67.81,32.19,96.25
