tour,date_scrutin,page,commune_code,commune_code_court,commune,nuance,numero_liste_municipale,tete_liste,voix,pct_inscrits,pct_exprimes,sieges,liste_municipale,source_pdf,source_url,tour_retenu,total_sieges_commune
1,2026-03-15,1,98801,01,Belep,,,Albert WAHOULO,343,36.37,49.14,8,BELEP POUR LA RECONCILIATION,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,15
1,2026-03-15,1,98801,01,Belep,,,Ignacia TEANYOUEN,191,20.25,27.36,4,UNIS POUR DAU AR,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,15
1,2026-03-15,1,98801,01,Belep,,,Gianni TEAMBOUEON,87,9.23,12.46,2,YAGUË LI MOLEP,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,15
1,2026-03-15,1,98801,01,Belep,,,Yan MOILOU,46,4.88,6.59,1,FEDERATION METANOÏA,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,15
1,2026-03-15,1,98801,01,Belep,,,Franck Mac Kane BOUANAOUE,31,3.29,4.44,0,DAU AR POUR TOUS,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf,1,15
2,2026-03-22,1,98802,02,Bouloupari,,1,Karlheinz CREUGNET,932,27.57,38.28,4,Boulouparis au coeur de nos vies,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,23
2,2026-03-22,1,98802,02,Bouloupari,,2,Roger Philippe THEVEDIN,449,13.28,18.44,2,"Construire ensemble, Berepwari",data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,23
2,2026-03-22,1,98802,02,Bouloupari,,3,Pascal VITTORI,1054,31.17,43.29,17,Boulouparis pour vous,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,23
2,2026-03-22,2,98803,03,Bourail,LDIV,1,Jean-Paul ROBELIN,520,10.66,15,2,Ambition Bourail,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,29
2,2026-03-22,2,98803,03,Bourail,LDVD,2,Levay ROY,1400,28.71,40.39,6,BOURAIL DEMAIN,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,29
2,2026-03-22,2,98803,03,Bourail,LDVC,3,Patrick ROBELIN,1546,31.71,44.6,21,Bourail en accord,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,29
2,2026-03-22,3,98804,04,Canala,LREG,2,Caril BERONON,1462,40.39,50.5,21,XARACUU XEBUTU,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,27
2,2026-03-22,3,98804,04,Canala,LREG,3,Gilbert TYUIENON,1433,39.59,49.5,6,TEPE AEE CE KANAKY DAAWANI,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,27
2,2026-03-22,4,98805,05,Dumbéa,LDVD,1,Cynthia JAN NÉE METZDORF,5955,24.52,45.33,29,UNIR POUR l'AVENIR,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,39
2,2026-03-22,4,98805,05,Dumbéa,LDVC,2,Vaimua MULIAVA,1217,5.01,9.26,1,DUMBEA COLLECTIF,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,39
2,2026-03-22,4,98805,05,Dumbéa,LDVD,4,Yoann LECOURIEUX,2608,10.74,19.85,4,DUMBEA AVANT TOUT!,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,39
2,2026-03-22,4,98805,05,Dumbéa,LDVD,5,Muriel MALFAR-PAUGA,1436,5.91,10.93,2,PASSIONNEMENT DUMBEA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,39
2,2026-03-22,4,98805,05,Dumbéa,LREG,6,Rachel AUCHER,1920,7.91,14.62,3,"DUMBEA, AU SERVICE DU PEUPLE",data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf,2,39
