election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
municipales_2026,1,,,988,98801,Belep,BELEP,0001,943,703,240,698,1,4,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0001,929,652,277,640,7,5,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0002,855,596,259,586,7,3,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0003,830,605,225,579,14,12,Mairie (Maison des associations),MAIRIE MAISON ASSOCIATIONS,0.93,Maison des Associations,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Autre équipement socio-éducatif et socio-culturel,166.047082551458,-21.8655893376649,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0004,767,473,294,460,9,4,Centre culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0001,1003,581,422,568,6,7,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0002,897,548,349,539,4,5,Pothé,POTHE,0.93,Ecole de Pothé,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,165.491900847299,-21.4547330481005,etablissements_publics_nc,128,305,Ny
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0003,1029,690,339,659,20,11,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0004,951,626,325,610,13,3,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0005,1000,677,323,657,14,6,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
