election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,numero_panneau,nuance,nom,prenom,sexe,candidat,candidature,voix,pct_inscrits,pct_exprimes,elu,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
municipales_2026,1,,,988,98801,Belep,BELEP,0001,943,703,240,698,1,4,,,,,,,Albert WAHOULO BELEP POUR LA RECONCILIATION,343,36.37,49.14,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2026,1,,,988,98801,Belep,BELEP,0001,943,703,240,698,1,4,,,,,,,Ignacia TEANYOUEN UNIS POUR DAU AR,191,20.25,27.36,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2026,1,,,988,98801,Belep,BELEP,0001,943,703,240,698,1,4,,,,,,,Gianni TEAMBOUEON YAGUË LI MOLEP,87,9.23,12.46,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2026,1,,,988,98801,Belep,BELEP,0001,943,703,240,698,1,4,,,,,,,Yan MOILOU FEDERATION METANOÏA,46,4.88,6.59,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2026,1,,,988,98801,Belep,BELEP,0001,943,703,240,698,1,4,,,,,,,Franck Mac Kane BOUANAOUE DAU AR POUR TOUS,31,3.29,4.44,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0001,929,652,277,640,7,5,1,,,,,,Karlheinz CREUGNET Boulouparis au coeur de nos vies,225,24.22,35.16,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0001,929,652,277,640,7,5,2,,,,,,"Roger Philippe THEVEDIN Construire ensemble, Berepwari",184,19.81,28.75,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0001,929,652,277,640,7,5,3,,,,,,Pascal VITTORI Boulouparis pour vous,231,24.87,36.09,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0002,855,596,259,586,7,3,1,,,,,,Karlheinz CREUGNET Boulouparis au coeur de nos vies,210,24.56,35.84,,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0002,855,596,259,586,7,3,2,,,,,,"Roger Philippe THEVEDIN Construire ensemble, Berepwari",69,8.07,11.77,,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
