election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0001,575,359,216,357,1,1,Mairie De We,MAIRIE DE WE,,,,,,,164.9011843365689,-21.121493041727785,arrete_manual_tribus,112,2501,Pouembout village
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0002,722,510,212,507,1,2,Xepenehe,XEPENEHE,1,Chépénéhé,Lifou,LIEU_DIT_NC,TRIBU,Xepenehe,167.15272048120752,-20.78265899014055,tribus_villages_nc,16,1403,Wet
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0003,736,506,230,504,2,0,Drueulu,DRUEULU,1,Douéoulou,Lifou,LIEU_DIT_NC,TRIBU,Drueulu,167.07853761275717,-20.930242999544458,tribus_villages_nc,14,1401,Gaitcha
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0004,377,264,113,262,1,1,Jozip,JOZIP,1,Jozip,Lifou,LIEU_DIT_NC,TRIBU,,167.34721888788647,-20.940435542649407,tribus_villages_nc,15,1402,Lössi
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0005,422,272,150,269,1,2,Jokin,JOKIN,1,Jokin,Lifou,LIEU_DIT_NC,TRIBU,,167.16447665584124,-20.703384020726688,tribus_villages_nc,16,1403,Wet
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0006,585,296,289,292,3,1,Hmelek,HMELEK,1,Hmelek,Lifou,LIEU_DIT_NC,TRIBU,,167.28575148149378,-21.047986298100245,tribus_villages_nc,15,1402,Lössi
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0007,547,314,233,310,2,2,Mou,MOU,1,Mou,Lifou,LIEU_DIT_NC,TRIBU,Mu,167.41341301025318,-21.092299627592674,tribus_villages_nc,15,1402,Lössi
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0008,558,344,214,335,1,8,Hnathalo,HNATHALO,0.75,Hnacaöm,Lifou,LIEU_DIT_NC,TRIBU,,167.20569292168463,-20.72173372554335,tribus_villages_nc,16,1403,Wet
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0009,228,128,100,127,1,0,Hnacaom,HNACAOM,1,Hnacaöm,Lifou,LIEU_DIT_NC,TRIBU,,167.20569292168463,-20.72173372554335,tribus_villages_nc,16,1403,Wet
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0010,329,237,92,233,2,2,Siloam,SILOAM,1,Siloam,Lifou,LIEU_DIT_NC,TRIBU,,167.10495154784974,-20.76013449602238,tribus_villages_nc,16,1403,Wet
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0011,348,185,163,184,1,0,Wasany,WASANY,1,Wasany,Lifou,LIEU_DIT_NC,TRIBU,,167.37793880476198,-21.00787866730366,tribus_villages_nc,15,1402,Lössi
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0012,199,130,69,127,3,0,Tiga,TIGA,1,Tiga,Lifou,LIEU_DIT_NC,TRIBU,Toka,167.79672481501146,-21.094104177809253,tribus_villages_nc,15,1402,Lössi
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0013,696,501,195,496,5,0,Luecila,LUECILA,1,Luecila,Lifou,LIEU_DIT_NC,TRIBU,,167.25787949950455,-20.900908884449866,tribus_villages_nc,16,1403,Wet
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0014,435,334,101,334,0,0,Hapetra,HAPETRA,1,Hapetra,Lifou,LIEU_DIT_NC,TRIBU,,167.14706004416075,-20.93025342048714,tribus_villages_nc,14,1401,Gaitcha
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0015,407,250,157,247,1,2,Nang,NANG,,,,,,,167.2237643213265,-20.78244820991056,arrete_manual_tribus,16,1403,Wet
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0016,174,89,85,89,0,0,Xodre,XODRE,1,Xode,Lifou,LIEU_DIT_NC,TRIBU,Xodre,167.41059644422373,-21.127373900931634,tribus_villages_nc,15,1402,Lössi
provinciales_2019,,PIL,Province des Iles,988,98814,Lifou,LIFOU,0017,415,267,148,265,1,1,Huiwatrul,HUIWATRUL,1,Huiwatrul,Lifou,LIEU_DIT_NC,TRIBU,Hunöj,167.34969330586503,-21.090299188696775,tribus_villages_nc,15,1402,Lössi
