province,commune,numero_liste,inscrits,votants,participation,abstentions,abstention,nuls,blancs,exprimes,voix,pct_exprimes,code_pdf,liste,etiquette,bloc_historique,nuance,couleur,source
Province Sud,Boulouparis,1,3072,2256,73.44000000000001,816,26.56,26,33,2197,87,3.96,LDVC,Un autre monde est possible !,Éveil océanien,anti_independantiste,Océanien / transversal,#55a6b8,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Boulouparis,2,3072,2256,73.44000000000001,816,26.56,26,33,2197,425,19.34,FLNKS,Kanaky pour tous,FLNKS,independantiste,FLNKS / UC-CCAT-DUS-RDO-DA-PT,#2f925d,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Boulouparis,3,3072,2256,73.44000000000001,816,26.56,26,33,2197,34,1.55,RN-MCFNC,"France Calédonie, une patrie",RN-MCFNC,anti_independantiste,Droite nationale,#7a4a28,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Boulouparis,5,3072,2256,73.44000000000001,816,26.56,26,33,2197,91,4.14,AUTRES,Une Province pour tous,DVC-Calédonie ensemble,anti_independantiste,Centre non-indépendantiste,#67a9cf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Boulouparis,6,3072,2256,73.44000000000001,816,26.56,26,33,2197,23,1.05,IND,Souveraineté Kanaky Nouvelle-Calédonie,SKNC,independantiste,Indépendantiste / souverainiste,#b6483b,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Boulouparis,7,3072,2256,73.44000000000001,816,26.56,26,33,2197,57,2.59,AUTRES,Faire Pays,Faire Pays,autres_listes,Souverainiste / pro-pays,#4f8f6a,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Bourail,1,4461,3106,69.63,1355,30.37,31,32,3043,84,2.7600000000000002,LDVC,Un autre monde est possible !,Éveil océanien,anti_independantiste,Océanien / transversal,#55a6b8,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Bourail,2,4461,3106,69.63,1355,30.37,31,32,3043,491,16.14,FLNKS,Kanaky pour tous,FLNKS,independantiste,FLNKS / UC-CCAT-DUS-RDO-DA-PT,#2f925d,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Bourail,3,4461,3106,69.63,1355,30.37,31,32,3043,27,0.89,RN-MCFNC,"France Calédonie, une patrie",RN-MCFNC,anti_independantiste,Droite nationale,#7a4a28,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Bourail,5,4461,3106,69.63,1355,30.37,31,32,3043,135,4.44,AUTRES,Une Province pour tous,DVC-Calédonie ensemble,anti_independantiste,Centre non-indépendantiste,#67a9cf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Bourail,6,4461,3106,69.63,1355,30.37,31,32,3043,81,2.66,IND,Souveraineté Kanaky Nouvelle-Calédonie,SKNC,independantiste,Indépendantiste / souverainiste,#b6483b,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Bourail,7,4461,3106,69.63,1355,30.37,31,32,3043,176,5.78,AUTRES,Faire Pays,Faire Pays,autres_listes,Souverainiste / pro-pays,#4f8f6a,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Dumbéa,1,20910,13354,63.86,7556,36.14,98,189,13067,1935,14.81,LDVC,Un autre monde est possible !,Éveil océanien,anti_independantiste,Océanien / transversal,#55a6b8,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
Province Sud,Dumbéa,2,20910,13354,63.86,7556,36.14,98,189,13067,1951,14.93,FLNKS,Kanaky pour tous,FLNKS,independantiste,FLNKS / UC-CCAT-DUS-RDO-DA-PT,#2f925d,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
