province,commune,numero_liste,inscrits,votants,participation,abstentions,abstention,nuls,blancs,exprimes,voix,pct_exprimes,code_pdf,liste,etiquette,bloc_historique,nuance,couleur,sieges_province,sieges_congres,pct_inscrits,franchit_5pct_inscrits,source,source_note
Province Sud,Total,1,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,8399,10.2,LDVC,Un autre monde est possible !,Éveil océanien,anti_independantiste,Océanien / transversal,#55a6b8,5,4,6.591535147267718,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,2,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,12842,15.59,FLNKS,Kanaky pour tous,FLNKS,independantiste,FLNKS / UC-CCAT-DUS-RDO-DA-PT,#2f925d,7,6,10.078401519372788,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,3,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,727,0.88,RN-MCFNC,"France Calédonie, une patrie",RN-MCFNC,anti_independantiste,Droite nationale,#7a4a28,0,0,0.5705495954356032,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,5,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,3887,4.72,AUTRES,Une Province pour tous,DVC-Calédonie ensemble,anti_independantiste,Centre non-indépendantiste,#67a9cf,0,0,3.0505175755958596,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,6,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,1003,1.22,IND,Souveraineté Kanaky Nouvelle-Calédonie,SKNC,independantiste,Indépendantiste / souverainiste,#b6483b,0,0,0.7871543937027649,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,7,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,3575,4.34,AUTRES,Faire Pays,Faire Pays,autres_listes,Souverainiste / pro-pays,#4f8f6a,0,0,2.80565997755472,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,8,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,1158,1.41,AUTRES,Pour une Calédonie française,Pour une Calédonie française,anti_independantiste,Droite nationale,#244e78,0,0,0.9087983927296128,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,9,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,4554,5.53,AUTRES,"Nous, réunis !","Nous, réunis",anti_independantiste,Centre non-indépendantiste,#8db8d1,0,0,3.573979171408167,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,10,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,41294,50.14,LL-LR,Les Loyalistes et Le Rassemblement - Forts et unis,LL-LR,anti_independantiste,Loyaliste droite,#305f9f,28,22,32.407530940739754,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,11,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,3401,4.13,UNI,Unis pour le Pays,UNI,independantiste,UNI / Palika,#f0c52f,0,0,2.669104778647162,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Sud,Total,12,127421,84027,65.94000000000001,43394,34.06,578,1089,82360,1520,1.85,Autres,Un espoir pour demain,Un espoir pour demain,anti_independantiste,Centre droit non-indépendantiste,#829dbd,0,0,1.1928959904568321,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Nord,Total,1,43023,26504,61.6,16519,38.4,207,207,26090,4261,16.330000000000002,LL - LR,Agissons ensemble pour le Nord,LL-LR Nord,anti_independantiste,Loyaliste droite,#305f9f,3,2,9.904004834623342,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Nord,Total,2,43023,26504,61.6,16519,38.4,207,207,26090,1239,4.75,NAT,Alternative Nord pour un pays souverain,Alternative Nord,independantiste,UPK / Parti travailliste,#b6483b,0,0,2.87985496129977,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Nord,Total,3,43023,26504,61.6,16519,38.4,207,207,26090,10418,39.93,UC FLNKS,UC-FLNKS,UC-FLNKS,independantiste,UC-FLNKS,#2f925d,10,7,24.214954791623086,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Nord,Total,4,43023,26504,61.6,16519,38.4,207,207,26090,853,3.27,AUTRES,Faire Pays,Faire Pays,autres_listes,Souverainiste / pro-pays,#4f8f6a,0,0,1.9826604374404388,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province Nord,Total,5,43023,26504,61.6,16519,38.4,207,207,26090,9319,35.720000000000006,UNI,Union nationale pour l'indépendance,UNI,independantiste,UNI / Palika,#f0c52f,9,6,21.660507170583177,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province des Iles,Total,1,22093,12134,54.92,9959,45.08,68,87,11979,2481,20.71,PALIKA,Palika Îles,Palika Îles,independantiste,UNI / Palika,#f0c52f,2,1,11.229801294527679,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province des Iles,Total,2,22093,12134,54.92,9959,45.08,68,87,11979,270,2.25,NS,Un nouveau souffle,Un nouveau souffle,anti_independantiste,Loyaliste droite,#305f9f,0,0,1.2221065495858416,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province des Iles,Total,3,22093,12134,54.92,9959,45.08,68,87,11979,137,1.1400000000000001,AUTRES,Baselaia,Baselaia,independantiste,UC dissidente,#7aa874,0,0,0.6201059159009641,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province des Iles,Total,4,22093,12134,54.92,9959,45.08,68,87,11979,3855,32.18,DA,Nation autochtone,Nation autochtone / DA,independantiste,Dynamique autochtone,#88a96d,6,3,17.448965735753408,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province des Iles,Total,5,22093,12134,54.92,9959,45.08,68,87,11979,3946,32.94,UC FLNKS,UC-FLNKS Îles,UC-FLNKS Îles,independantiste,UC-FLNKS,#2f925d,6,3,17.860860906169375,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province des Iles,Total,6,22093,12134,54.92,9959,45.08,68,87,11979,125,1.04,AUTRES,S'engager et œuvrer,UPK,independantiste,UPK,#b6483b,0,0,0.5657900692527045,FALSE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
Province des Iles,Total,7,22093,12134,54.92,9959,45.08,68,87,11979,1165,9.729999999999999,UCC,Union pour construire dans le consensus,UCC,independantiste,UC dissidente / PT,#7aa874,0,0,5.273163445435205,TRUE,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf,"Résultats complets, PDF édité le 29/06/2026 à 22:48:38."
