annee,bloc_historique,voix,sieges_congres,exprimes,pct_exprimes,source
1989,anti_independantiste,38745,32,62473,62.01879211819506,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,autres_listes,2429,2,62473,3.8880796504089767,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,independantiste,21299,20,62473,34.093128231395966,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1995,anti_independantiste,43335,35,71791,60.36271956094775,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,autres_listes,3362,0,71791,4.683038263849229,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,independantiste,25094,19,71791,34.95424217520302,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1999,anti_independantiste,46477,31,79321,58.59356286481512,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,autres_listes,706,0,79321,0.8900543361783134,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,independantiste,32138,23,79321,40.51638279900657,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
2004,anti_independantiste,51863,36,89562,57.90737142984748,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,autres_listes,1907,0,89562,2.129251244947634,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,independantiste,35791,18,89562,39.96226078024162,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2009,anti_independantiste,55469,31,96558,57.44630170467491,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,autres_listes,4189,0,96558,4.338325151722281,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,independantiste,36900,23,96558,38.21537314360281,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2014,anti_independantiste,61638,29,105266,58.554519027986245,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,autres_listes,0,0,105266,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,independantiste,43628,25,105266,41.445480972013755,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2019,anti_independantiste,59576,28,110163,54.079863475032454,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,autres_listes,3895,0,110163,3.5356698710093224,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,independantiste,46692,26,110163,42.38446665395823,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2026,anti_independantiste,66070,28,120431,54.86128986722688,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
2026,autres_listes,4428,0,120431,3.6767941809002664,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
2026,independantiste,49931,26,120431,41.46025524989413,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13485/112061/file/PROVINCIALES_2026_R%C3%A9sultats_provisoires.pdf
