annee,territoire,inscrits,votants,participation,exprimes,abstention,source
1989,Nouvelle-Caledonie,91338,63222,69.22,62473,30.78,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province Sud,57348,39758,69.33,39181,30.67,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province Nord,21535,14937,69.36,14783,30.64,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province des Iles,12455,8527,68.46,8509,31.540000000000006,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1995,Nouvelle-Caledonie,103505,72685,70.22,71791,29.78,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province Sud,66308,45836,69.13,45113,30.870000000000005,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province Nord,23039,16453,71.41,16333,28.590000000000003,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province des Iles,14158,10396,73.43,10345,26.569999999999993,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1999,Nouvelle-Caledonie,108422,81089,74.79,79321,25.209999999999994,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province Sud,66372,51014,76.86,49595,23.14,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province Nord,26129,17556,67.19,17283,32.81,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province des Iles,15921,12520,78.64,12443,21.36,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
2004,Nouvelle-Caledonie,119541,91378,76.44,89562,23.560000000000002,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,Province Sud,72623,56239,77.44,54811,22.560000000000002,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,Province Nord,28875,20874,72.29,20559,27.709999999999994,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,Province des Iles,18043,14267,79.07,14191,20.930000000000007,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2009,Nouvelle-Caledonie,135932,98515,72.48,96558,27.519999999999996,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province Sud,83648,62109,74.25,60573,25.75,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province Nord,32677,22034,67.43,21667,32.56999999999999,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province des Iles,19607,14376,73.32,14318,26.680000000000007,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2014,Nouvelle-Caledonie,152457,106650,69.95,105266,30.049999999999997,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province Sud,96347,69322,71.95,68236,28.049999999999997,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province Nord,35697,23614,66.15,23399,33.849999999999994,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
