election,tour,code_departement,code_commune,commune,commune_norm,code_bv,bureau_nom,bloc,camp_institutionnel,inscrits,votants,abstentions,exprimes,blancs,nuls,voix_bloc,longitude,latitude,geo_source,nb_options,options,pct_exprimes,pct_inscrits
legislatives_2022,1,988,98801,Belep,BELEP,0001,Mairie,autre,neutre,934,280,654,277,0,3,5,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,Construire autrement | Sans etiquette,1.81,0.54
legislatives_2022,1,988,98801,Belep,BELEP,0001,Mairie,independantiste,independantiste,934,280,654,277,0,3,269,163.6480110596638,-19.71203277091468,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,97.11,28.8
legislatives_2022,1,988,98801,Belep,BELEP,0001,Mairie,loyaliste,anti_independantiste,934,280,654,277,0,3,3,163.6480110596638,-19.71203277091468,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,1.08,0.32
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0001,Mairie,autre,neutre,952,386,566,378,3,5,2,166.047711423762,-21.8654175541592,etablissements_publics_nc,3,Construire autrement | Sans etiquette,0.53,0.21
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0001,Mairie,independantiste,independantiste,952,386,566,378,3,5,61,166.047711423762,-21.8654175541592,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,16.14,6.41
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0001,Mairie,loyaliste,anti_independantiste,952,386,566,378,3,5,315,166.047711423762,-21.8654175541592,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,83.33,33.09
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0002,Centre Culturel,autre,neutre,727,338,389,333,2,3,9,166.049037015845,-21.8654352350015,etablissements_publics_nc,3,Construire autrement | Sans etiquette,2.7,1.24
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0002,Centre Culturel,independantiste,independantiste,727,338,389,333,2,3,48,166.049037015845,-21.8654352350015,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,14.41,6.6
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0002,Centre Culturel,loyaliste,anti_independantiste,727,338,389,333,2,3,276,166.049037015845,-21.8654352350015,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,82.88,37.96
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0003,Mairie (Maison des associations),autre,neutre,845,330,515,323,4,3,3,166.047082551458,-21.8655893376649,etablissements_publics_nc,3,Construire autrement | Sans etiquette,0.93,0.36
