election,tour,commune_norm,commune,bloc,camp_institutionnel,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,voix_bloc,options,pct_exprimes,pct_inscrits
legislatives_2022,1,BELEP,Belep,autre,neutre,1,1,934,280,654,277,5,Construire autrement | Sans etiquette,1.81,0.54
legislatives_2022,1,BELEP,Belep,independantiste,independantiste,1,1,934,280,654,277,269,Mouvement neo-independantiste et souverainiste | Union caledonienne,97.11,28.8
legislatives_2022,1,BELEP,Belep,loyaliste,anti_independantiste,1,1,934,280,654,277,3,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,1.08,0.32
legislatives_2022,1,BOULOUPARI,Boulouparis,autre,neutre,4,4,3275,1387,1888,1354,21,Construire autrement | Sans etiquette,1.55,0.64
legislatives_2022,1,BOULOUPARI,Boulouparis,independantiste,independantiste,4,4,3275,1387,1888,1354,222,Mouvement neo-independantiste et souverainiste | Union caledonienne,16.4,6.78
legislatives_2022,1,BOULOUPARI,Boulouparis,loyaliste,anti_independantiste,4,4,3275,1387,1888,1354,1111,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,82.05,33.92
legislatives_2022,1,BOURAIL,Bourail,autre,neutre,5,5,4667,1799,2868,1748,69,Construire autrement | Sans etiquette,3.95,1.48
legislatives_2022,1,BOURAIL,Bourail,independantiste,independantiste,5,5,4667,1799,2868,1748,244,Mouvement neo-independantiste et souverainiste | Union caledonienne,13.96,5.23
legislatives_2022,1,BOURAIL,Bourail,loyaliste,anti_independantiste,5,5,4667,1799,2868,1748,1435,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,82.09,30.75
legislatives_2022,1,CANALA,Canala,autre,neutre,7,7,3589,1466,2123,1450,26,Construire autrement | Sans etiquette,1.79,0.72
legislatives_2022,1,CANALA,Canala,independantiste,independantiste,7,7,3589,1466,2123,1450,1376,Mouvement neo-independantiste et souverainiste | Union caledonienne,94.9,38.34
legislatives_2022,1,CANALA,Canala,loyaliste,anti_independantiste,7,7,3589,1466,2123,1450,48,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,3.31,1.34
legislatives_2022,1,DUMBEA,Dumbéa,autre,neutre,26,26,22794,7416,15378,7158,326,Construire autrement | Sans etiquette,4.55,1.43
legislatives_2022,1,DUMBEA,Dumbéa,independantiste,independantiste,26,26,22794,7416,15378,7158,768,Mouvement neo-independantiste et souverainiste | Union caledonienne,10.73,3.37
legislatives_2022,1,DUMBEA,Dumbéa,loyaliste,anti_independantiste,26,26,22794,7416,15378,7158,6064,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,84.72,26.6
legislatives_2022,1,FARINO,Farino,autre,neutre,1,1,668,369,299,356,10,Construire autrement | Sans etiquette,2.81,1.5
legislatives_2022,1,FARINO,Farino,independantiste,independantiste,1,1,668,369,299,356,13,Mouvement neo-independantiste et souverainiste | Union caledonienne,3.65,1.95
legislatives_2022,1,FARINO,Farino,loyaliste,anti_independantiste,1,1,668,369,299,356,333,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,93.54,49.85
legislatives_2022,1,HIENGHENE,Hienghène,autre,neutre,10,10,2504,887,1617,879,11,Construire autrement | Sans etiquette,1.25,0.44
legislatives_2022,1,HIENGHENE,Hienghène,independantiste,independantiste,10,10,2504,887,1617,879,831,Mouvement neo-independantiste et souverainiste | Union caledonienne,94.54,33.19
legislatives_2022,1,HIENGHENE,Hienghène,loyaliste,anti_independantiste,10,10,2504,887,1617,879,37,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,4.21,1.48
legislatives_2022,1,HOUAILOU,Houailou,autre,neutre,8,8,3752,890,2862,870,27,Construire autrement | Sans etiquette,3.1,0.72
legislatives_2022,1,HOUAILOU,Houailou,independantiste,independantiste,8,8,3752,890,2862,870,710,Mouvement neo-independantiste et souverainiste | Union caledonienne,81.61,18.92
legislatives_2022,1,HOUAILOU,Houailou,loyaliste,anti_independantiste,8,8,3752,890,2862,870,133,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,15.29,3.54
legislatives_2022,1,ILEDESPINS,Ile des Pins,autre,neutre,2,2,1842,456,1386,450,18,Construire autrement,4,0.98
legislatives_2022,1,ILEDESPINS,Ile des Pins,centriste,anti_independantiste,2,2,1842,456,1386,450,59,Caledonie ensemble,13.11,3.2
legislatives_2022,1,ILEDESPINS,Ile des Pins,independantiste,independantiste,2,2,1842,456,1386,450,248,Palika,55.11,13.46
legislatives_2022,1,ILEDESPINS,Ile des Pins,loyaliste,anti_independantiste,2,2,1842,456,1386,450,125,Les Patriotes | Mouvement des citoyens francais | Rassemblement - LR | Rassemblement national | Sans etiquette droite,27.78,6.79
legislatives_2022,1,KAALAGOMEN,Kaala-Gomen,autre,neutre,6,6,1761,525,1236,520,8,Construire autrement | Sans etiquette,1.54,0.45
legislatives_2022,1,KAALAGOMEN,Kaala-Gomen,independantiste,independantiste,6,6,1761,525,1236,520,382,Mouvement neo-independantiste et souverainiste | Union caledonienne,73.46,21.69
legislatives_2022,1,KAALAGOMEN,Kaala-Gomen,loyaliste,anti_independantiste,6,6,1761,525,1236,520,130,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,25,7.38
legislatives_2022,1,KONE,Koné,autre,neutre,12,12,5089,1699,3390,1660,49,Construire autrement | Sans etiquette,2.95,0.96
legislatives_2022,1,KONE,Koné,independantiste,independantiste,12,12,5089,1699,3390,1660,951,Mouvement neo-independantiste et souverainiste | Union caledonienne,57.29,18.69
legislatives_2022,1,KONE,Koné,loyaliste,anti_independantiste,12,12,5089,1699,3390,1660,660,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,39.76,12.97
legislatives_2022,1,KOUAOUA,Kouaoua,autre,neutre,4,4,1196,428,768,423,17,Construire autrement | Sans etiquette,4.02,1.42
legislatives_2022,1,KOUAOUA,Kouaoua,independantiste,independantiste,4,4,1196,428,768,423,292,Mouvement neo-independantiste et souverainiste | Union caledonienne,69.03,24.41
legislatives_2022,1,KOUAOUA,Kouaoua,loyaliste,anti_independantiste,4,4,1196,428,768,423,114,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,26.95,9.53
legislatives_2022,1,KOUMAC,Koumac,autre,neutre,2,2,3127,1048,2079,1043,29,Construire autrement | Sans etiquette,2.78,0.93
legislatives_2022,1,KOUMAC,Koumac,independantiste,independantiste,2,2,3127,1048,2079,1043,249,Mouvement neo-independantiste et souverainiste | Union caledonienne,23.87,7.96
legislatives_2022,1,KOUMAC,Koumac,loyaliste,anti_independantiste,2,2,3127,1048,2079,1043,765,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,73.35,24.46
legislatives_2022,1,LAFOA,La Foa,autre,neutre,4,4,3442,1640,1802,1592,49,Construire autrement | Sans etiquette,3.08,1.42
legislatives_2022,1,LAFOA,La Foa,independantiste,independantiste,4,4,3442,1640,1802,1592,349,Mouvement neo-independantiste et souverainiste | Union caledonienne,21.92,10.14
legislatives_2022,1,LAFOA,La Foa,loyaliste,anti_independantiste,4,4,3442,1640,1802,1592,1194,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,75,34.69
legislatives_2022,1,LIFOU,Lifou,autre,neutre,28,28,10999,3240,7759,3221,44,Construire autrement,1.37,0.4
legislatives_2022,1,LIFOU,Lifou,centriste,anti_independantiste,28,28,10999,3240,7759,3221,178,Caledonie ensemble,5.53,1.62
legislatives_2022,1,LIFOU,Lifou,independantiste,independantiste,28,28,10999,3240,7759,3221,2898,Palika,89.97,26.35
legislatives_2022,1,LIFOU,Lifou,loyaliste,anti_independantiste,28,28,10999,3240,7759,3221,101,Les Patriotes | Mouvement des citoyens francais | Rassemblement - LR | Rassemblement national | Sans etiquette droite,3.14,0.92
legislatives_2022,1,MARE,Maré,autre,neutre,14,14,6948,1279,5669,1274,22,Construire autrement,1.73,0.32
legislatives_2022,1,MARE,Maré,centriste,anti_independantiste,14,14,6948,1279,5669,1274,96,Caledonie ensemble,7.54,1.38
legislatives_2022,1,MARE,Maré,independantiste,independantiste,14,14,6948,1279,5669,1274,1052,Palika,82.57,15.14
legislatives_2022,1,MARE,Maré,loyaliste,anti_independantiste,14,14,6948,1279,5669,1274,104,Les Patriotes | Mouvement des citoyens francais | Rassemblement - LR | Rassemblement national | Sans etiquette droite,8.16,1.5
legislatives_2022,1,MOINDOU,Moindou,autre,neutre,1,1,822,366,456,353,9,Construire autrement | Sans etiquette,2.55,1.09
legislatives_2022,1,MOINDOU,Moindou,independantiste,independantiste,1,1,822,366,456,353,121,Mouvement neo-independantiste et souverainiste | Union caledonienne,34.28,14.72
