election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,bureau_nom,inscrits,votants,abstentions,exprimes,blancs,nuls,type_resultat,option,numero_liste,nuance,voix,pct_exprimes,pct_inscrits,longitude,latitude,geo_source,iris_codgeo,iris_libgeo,option_norm,bloc,camp_institutionnel,parti,libelle,source,notes
legislatives_2022,1,,,988,98802,Boulouparis,BOULOUPARI,0001,Mairie,952,386,566,378,3,5,candidat,Gérard REIGNIER,,REG,57,15.08,5.99,166.047711423762,-21.8654175541592,etablissements_publics_nc,201,Boulouparis village,GERARD REIGNIER,independantiste,independantiste,UC,Union caledonienne,wikipedia_legislatives_2022,FLNKS
legislatives_2022,1,,,988,98802,Boulouparis,BOULOUPARI,0004,Centre culturel,751,333,418,320,13,0,candidat,Manuel MILLAR,,DIV,2,0.62,0.27,166.049037015845,-21.8654352350015,etablissements_publics_nc,201,Boulouparis village,MANUEL MILLAR,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,1,,,988,98802,Boulouparis,BOULOUPARI,0004,Centre culturel,751,333,418,320,13,0,candidat,Muneiko HAOCAS,,REG,4,1.25,0.53,166.049037015845,-21.8654352350015,etablissements_publics_nc,201,Boulouparis village,MUNEIKO HAOCAS,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2022,REG
legislatives_2022,1,,,988,98803,Bourail,BOURAIL,0003,Colisée,997,465,532,458,5,2,candidat,Véronique PAGAND,,DSV,8,1.75,0.8,165.49385205691,-21.5656940047007,etablissements_publics_nc,301,Bourail village,VERONIQUE PAGAND,loyaliste,anti_independantiste,DLF,Debout la France,wikipedia_legislatives_2022,DSV
legislatives_2022,1,,,988,98803,Bourail,BOURAIL,0004,École Les Lys d’Eau,1076,468,608,455,8,5,candidat,Alain DESCOMBELS,,RN,32,7.03,2.97,165.49748641875,-21.5730483252455,etablissements_publics_nc,301,Bourail village,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98803,Bourail,BOURAIL,0005,École Louise Michel,983,414,569,402,5,7,candidat,Nicolas METZDORF,,ENS,197,49,20.04,165.497379452405,-21.57045570157,etablissements_publics_nc,301,Bourail village,NICOLAS METZDORF,loyaliste,anti_independantiste,GNC,Generations NC,wikipedia_legislatives_2022,GNC dans Union loyaliste - Ensemble
legislatives_2022,1,,,988,98803,Bourail,BOURAIL,0005,École Louise Michel,983,414,569,402,5,7,candidat,Alain DESCOMBELS,,RN,13,3.23,1.32,165.497379452405,-21.57045570157,etablissements_publics_nc,301,Bourail village,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98804,Canala,CANALA,0002,Nakéty,502,212,290,212,0,0,candidat,Nicolas METZDORF,,ENS,0,0,0,166.04631481753384,-21.54222544058342,tribus_villages_nc,403,Gélima - Nakéty,NICOLAS METZDORF,loyaliste,anti_independantiste,GNC,Generations NC,wikipedia_legislatives_2022,GNC dans Union loyaliste - Ensemble
legislatives_2022,1,,,988,98804,Canala,CANALA,0004,Méhoué,803,299,504,294,1,4,candidat,Thierry SANTA,,LR,4,1.36,0.5,165.9494172177474,-21.51958486452521,tribus_villages_nc,401,Canala village,THIERRY SANTA,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98804,Canala,CANALA,0007,Tenda Koumendi,341,135,206,133,0,2,candidat,Manuel MILLAR,,DIV,0,0,0,166.03563428874068,-21.545648677139223,tribus_villages_nc,403,Gélima - Nakéty,MANUEL MILLAR,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,1,,,988,98805,Dumbéa,DUMBEA,0006,Maison de la jeunesse 1,976,357,619,349,7,1,candidat,Michèle HOMBOE,,DVC,7,2.01,0.72,166.474913290828,-22.2056811434969,etablissements_publics_nc,507,Jacarandas II,MICHELE HOMBOE,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,1,,,988,98805,Dumbéa,DUMBEA,0008,Centre culturel de Dumbéa 1,887,234,653,226,5,3,candidat,Muneiko HAOCAS,,REG,7,3.1,0.79,166.474126141924,-22.2081759337081,etablissements_publics_nc,503,Koutio Secal,MUNEIKO HAOCAS,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2022,REG
legislatives_2022,1,,,988,98805,Dumbéa,DUMBEA,0009,Centre culturel de Dumbéa 2,1031,281,750,266,12,3,candidat,Manuel MILLAR,,DIV,1,0.38,0.1,166.474126141924,-22.2081759337081,etablissements_publics_nc,503,Koutio Secal,MANUEL MILLAR,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
