election,tour,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,numero_panneau,nuance,nom,prenom,sexe,candidat,candidature,voix,pct_inscrits,pct_exprimes,elu,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
legislatives_2024,1,988,98801,Belep,BELEP,0001,933,538,395,535,0,3,1,DVG,TUKUMULI,Milakulo,MASCULIN,Milakulo TUKUMULI,,4,0.43,0.75,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
legislatives_2024,1,988,98801,Belep,BELEP,0001,933,538,395,535,0,3,2,REG,TJIBAOU,Emmanuel,MASCULIN,Emmanuel TJIBAOU,,526,56.38,98.32,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
legislatives_2024,1,988,98801,Belep,BELEP,0001,933,538,395,535,0,3,3,REG,FRERE,Ronald,MASCULIN,Ronald FRERE,,2,0.21,0.37,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
legislatives_2024,1,988,98801,Belep,BELEP,0001,933,538,395,535,0,3,4,REG,VOUDJO,Luther,MASCULIN,Luther VOUDJO,,1,0.11,0.19,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
legislatives_2024,1,988,98801,Belep,BELEP,0001,933,538,395,535,0,3,60,DVD,PONGA,Alcide,MASCULIN,Alcide PONGA,,0,0,0,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
legislatives_2024,1,988,98801,Belep,BELEP,0001,933,538,395,535,0,3,70,HOR,POADJA,Gérard,MASCULIN,Gérard POADJA,,20,0.21,0.37,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
legislatives_2024,1,988,98802,Bouloupari,BOULOUPARI,0001,931,624,307,615,2,7,1,DVG,TUKUMULI,Milakulo,MASCULIN,Milakulo TUKUMULI,,33,3.54,5.37,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,988,98802,Bouloupari,BOULOUPARI,0001,931,624,307,615,2,7,2,REG,TJIBAOU,Emmanuel,MASCULIN,Emmanuel TJIBAOU,,231,24.81,37.56,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,988,98802,Bouloupari,BOULOUPARI,0001,931,624,307,615,2,7,3,REG,FRERE,Ronald,MASCULIN,Ronald FRERE,,8,0.86,1.3,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,988,98802,Bouloupari,BOULOUPARI,0001,931,624,307,615,2,7,4,REG,VOUDJO,Luther,MASCULIN,Luther VOUDJO,,2,0.21,0.33,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,988,98802,Bouloupari,BOULOUPARI,0001,931,624,307,615,2,7,60,DVD,PONGA,Alcide,MASCULIN,Alcide PONGA,,3110,33.4,50.57,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
