"province","numero_liste","liste_nom","fichier","chemin","taille_octets","md5","page_url","source_url","date_collecte"
"Province Sud",1,"Un autre monde est possible !","01_un-autre-monde-est-possible.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/01_un-autre-monde-est-possible.pdf",807754,"93aed6a09bd310f693e4bb118cb6f4d9","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13446/111803/file/01_%5BProfession+de+foi+A4+groupe+recto%5D+un+autre+monde.pdf","2026-06-20T22:45:24+1100"
"Province Sud",2,"Kanaky pour tous","02_kanaky-pour-tous.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/02_kanaky-pour-tous.pdf",676493,"64de96d12a5fc95badf4ad166a6bcb1d","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13447/111808/file/2-+KNKPRTS_2.pdf","2026-06-20T22:45:24+1100"
"Province Sud",3,"France-Calédonie, une patrie","03_france-caledonie-une-patrie.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/03_france-caledonie-une-patrie.pdf",3218799,"cb72298102c4458534e626249d63d0ba","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13448/111813/file/03_France+Cal%C3%A9donie,+une+patrie.pdf","2026-06-20T22:45:24+1100"
"Province Sud",5,"Une Province pour tous","05_une-province-pour-tous.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/05_une-province-pour-tous.pdf",1360343,"b1cc9f90c02221df9772c9fd5ff54b52","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13449/111818/file/05_Une+province+pour+tous_circulaire.pdf","2026-06-20T22:45:24+1100"
"Province Sud",7,"Faire Pays","07_faire-pays.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/07_faire-pays.pdf",7398243,"a4d5ccf84bceaee174feb4930f95c4c3","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13450/111823/file/07_Circulaire+Faire+Pays+d%C3%A9finitive.pdf","2026-06-20T22:45:24+1100"
"Province Sud",8,"Pour une Calédonie Française","08_pour-une-caledonie-francaise.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/08_pour-une-caledonie-francaise.pdf",3189971,"a404f62d2d666159227a0469e60bfe80","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13451/111828/file/08_Pour+une+Cal%C3%A9donie+fran%C3%A7aise.pdf","2026-06-20T22:45:24+1100"
"Province Sud",9,"Nous, réunis !","09_nous-reunis.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/09_nous-reunis.pdf",1701700,"59b0928131f487547a6a0722a7810368","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13452/111833/file/09_Prof+de+foi+VF.pdf","2026-06-20T22:45:24+1100"
"Province Sud",10,"Les Loyalistes & Le Rassemblement","10_les-loyalistes-le-rassemblement.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/10_les-loyalistes-le-rassemblement.pdf",1666872,"d42317e9b428af1cc272d20ad93ba6ae","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13453/111838/file/10_Les+Loyalistes+et+le+Rassemblement...pdf","2026-06-20T22:45:24+1100"
"Province Sud",11,"Unis pour le Pays","11_unis-pour-le-pays.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/11_unis-pour-le-pays.pdf",4283386,"0e2d15ece6c6a0d33c391bfc1e2e8b18","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13454/111843/file/11_Profession+de+Foi+2026.pdf","2026-06-20T22:45:24+1100"
"Province Sud",12,"Un espoir pour demain","12_un-espoir-pour-demain.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-sud/12_un-espoir-pour-demain.pdf",597261,"acbad7900b3d9c56fd719236c320e70e","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Sud","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13455/111848/file/12_Unespoirpourdemain.pdf","2026-06-20T22:45:24+1100"
"Province Nord",1,"AGISSONS ENSEMBLE POUR LE NORD","01_agissons-ensemble-pour-le-nord.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-nord/01_agissons-ensemble-pour-le-nord.pdf",1948160,"6b26a00f16d50fc43c0878e9ccee9ece","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Nord","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13439/111757/file/01_circ_elec_province_nord_v2+(1).pdf","2026-06-20T22:45:24+1100"
"Province Nord",2,"ALTERNATIVE NORD POUR UN PAYS SOUVERAIN","02_alternative-nord-pour-un-pays-souverain.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-nord/02_alternative-nord-pour-un-pays-souverain.pdf",65407,"60061d0490dd7005b84dd35459d9b6ff","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Nord","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13440/111762/file/02_Profession+de+foi+Alterative+Nord.pdf","2026-06-20T22:45:24+1100"
"Province Nord",3,"UC-FLNKS","03_uc-flnks.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-nord/03_uc-flnks.pdf",937050,"4ccfbd2fa258319b6cf2c04ba2409474","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Nord","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13441/111767/file/03_CIRCULAIRE+-+LISTE+UC-FLNKS+-+PROVINCE+NORD.pdf","2026-06-20T22:45:24+1100"
"Province Nord",4,"FAIRE PAYS","04_faire-pays.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-nord/04_faire-pays.pdf",5476500,"4dce358581256a7f7ffa84b90bad3a8d","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Nord","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13442/111772/file/04_Circulaire+Faire+Pays+Nord+d%C3%A9finitive.pdf","2026-06-20T22:45:24+1100"
"Province Nord",5,"UNI","05_uni.pdf","data/elections/data_raw/provinciales_2026/propagande_electronique/province-nord/05_uni.pdf",626224,"b381e7d4b2028a0292873c8c30d9b737","https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2026/Elections-provinciales-2026/Propagande-electronique/Province-Nord","https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13443/111777/file/05_UNI_circulaire.pdf","2026-06-20T22:45:24+1100"
