commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
BELEP;2;Lieu de vote délocalisé de Bélep à Nouméa;130.0;118.0;12;2;0;116;109;7
DUMBEA;3;École maternelle Les Orangers;640.0;502.0;138;4;4;494;155;339
DUMBEA;10;École maternelle L’Oasis;1094.0;897.0;197;8;6;883;214;669
DUMBEA;11;Groupe scolaire Michelle DELACHARLERIE-ROLLY 1;273.0;249.0;24;2;1;246;6;240
HIENGHENE;8;Tiendanite;94.0;87.0;7;0;0;87;87;0
KONE;9;École primaire Les Cigales;640.0;560.0;80;5;5;550;313;237
KONE;11;École Téari;495.0;421.0;74;6;5;410;173;237
LIFOU;4;Jozip;312.0;189.0;123;2;3;184;139;45
ILE DES PINS;1;Mairie 1;906.0;724.0;182;11;7;706;447;259
MARE;5;Tawainedre;393.0;209.0;184;3;0;206;163;43
MARE;9;Ménaku;216.0;91.0;125;2;0;89;64;25
MONT-DORE;12;Groupe scolaire Saint-Michel 1;651.0;538.0;113;22;0;516;155;361
MONT-DORE;20;Groupe scolaire de Plum;521.0;431.0;90;2;2;427;84;343
MONT-DORE;24;Mairie 2;527.0;424.0;103;1;3;420;63;357
NOUMEA;12;École Ernest RISBEC 1;757.0;654.0;103;4;6;644;52;592
NOUMEA;15;École les CAPUCINES;732.0;634.0;98;6;6;622;49;573
NOUMEA;20;École Antoinette CHARBONNEAUX;778.0;691.0;87;3;5;683;24;659
NOUMEA;27;École Céline TEYSSANDIER de LAUBAREDE;975.0;708.0;267;6;6;696;269;427
NOUMEA;28;École Gustave MOUCHET 1;1183.0;759.0;424;4;11;744;458;286
NOUMEA;34;École les ROSES;948.0;765.0;183;7;13;745;188;557
NOUMEA;36;École Jacques TROUILLOT;886.0;735.0;151;12;14;709;206;503
OUVEA;5;Wénéki;718.0;346.0;372;3;3;340;303;37
PAITA;7;École Vi Vete;739.0;621.0;118;12;5;604;112;492
POINDIMIE;1;Mairie;1112.0;938.0;174;7;7;924;509;415
POINDIMIE;4;Amoa;481.0;428.0;53;4;2;422;359;63
PONERIHOUEN;2;Monéo;446.0;384.0;62;2;4;378;314;64
POUEBO;2;Saint Denis Ballade;542.0;415.0;127;3;0;412;371;41
POUEBO;3;Yambé;395.0;326.0;69;1;0;325;314;11
POUEMBOUT;1;Mairie;1095.0;967.0;128;6;8;953;334;619
POUM;3;École catholique d’Arama;385.0;287.0;98;0;1;286;254;32
THIO;2;Mairie;564.0;490.0;74;2;0;488;442;46
TOUHO;2;Tiouandé;226.0;187.0;39;1;2;184;157;27
TOUHO;3;Kokingone;302.0;268.0;34;2;0;266;239;27
VOH;3;Ouengo;47.0;45.0;2;0;0;45;45;0
BOURAIL;4;École Les Lys d’Eau;821.0;737.0;84;5;5;727;112;615
CANALA;5;Gélima;735.0;639.0;96;2;4;633;617;16
DUMBEA;4;Groupe scolaire Alphonse DILLENSEGER;1042.0;864.0;178;10;16;838;144;694
KAALA-GOMEN;5;Maison Baoui;131.0;115.0;16;0;0;115;105;10
KONE;10;Noëlly;211.0;189.0;22;4;0;185;176;9
LA FOA;1;Centre socio-culturel;853.0;771.0;82;11;8;752;172;580
LA FOA;2;Centre socio-culturel;671.0;610.0;61;5;2;603;259;344
LIFOU;10;Siloam;271.0;183.0;88;2;1;180;156;24
MARE;3;Tenane;366.0;183.0;183;0;0;183;153;30
MARE;6;Penelo;737.0;429.0;308;2;0;427;386;41
MARE;11;Roh;285.0;101.0;184;1;2;98;69;29
MARE;14;Lieu de vote délocalisé de Maré à Nouméa;832.0;768.0;64;2;0;766;645;121
MONT-DORE;9;Mairie annexe de Plum 1;911.0;746.0;165;17;6;723;200;523
MONT-DORE;10;École La Rizière 2;843.0;703.0;140;6;12;685;200;485
MONT-DORE;16;École Saint-Joseph de CLUNY;1005.0;881.0;124;15;11;855;317;538
NOUMEA;2;Mairie 2;1037.0;671.0;366;3;4;664;267;397
NOUMEA;5;École Yvonne DUPONT 1;677.0;606.0;71;1;1;604;26;578
NOUMEA;10;École Jean MERMOUD 1;701.0;621.0;80;3;0;618;29;589
NOUMEA;14;École Paul BOYER 1;670.0;549.0;121;2;1;546;49;497
NOUMEA;19;École Emily PANNE 2;847.0;649.0;198;1;4;644;102;542
NOUMEA;38;École Mauricette DEVAMBEZ 2;1067.0;881.0;186;6;4;871;202;669
NOUMEA;43;École Daniel TALON;1672.0;1169.0;503;16;17;1136;441;695
NOUMEA;50;École Albert PERRAUD;1346.0;1010.0;336;10;13;987;417;570
OUVEA;2;Fayaoué;758.0;368.0;390;7;2;359;274;85
PAITA;6;Mairie;747.0;639.0;108;0;5;634;331;303
BOURAIL;5;École Louise Michel;847.0;764.0;83;9;4;751;152;599
HIENGHENE;4;Haut-Coulna;100.0;82.0;18;1;0;81;79;2
HIENGHENE;5;Ouayaguette;178.0;144.0;34;0;0;144;128;16
HIENGHENE;10;Léwarap;286.0;250.0;36;1;2;247;233;14
KOUAOUA;4;Méa-Mébara;167.0;138.0;29;0;3;135;101;34
LIFOU;6;Hmelek;537.0;282.0;255;0;1;281;211;70
LIFOU;21;Tingeting;259.0;118.0;141;1;0;117;70;47
LIFOU;26;Kirinata;155.0;96.0;59;1;0;95;86;9
MONT-DORE;5;École La Rizière 1;1063.0;872.0;191;7;6;859;734;125
MONT-DORE;17;École primaire Louis Henri GALINIE 2;785.0;652.0;133;7;1;644;84;560
MONT-DORE;21;École La Rizière 3;612.0;476.0;136;9;12;455;151;304
NOUMEA;3;École Frédéric SURLEAU;663.0;526.0;137;2;1;523;82;441
NOUMEA;21;École Marie HAVET 1;795.0;693.0;102;1;4;688;42;646
NOUMEA;29;École Gustave MOUCHET 2;992.0;664.0;328;7;11;646;283;363
NOUMEA;30;École Mathilde BROQUET 1;1074.0;886.0;188;6;8;872;197;675
NOUMEA;37;École Mauricette DEVAMBEZ 1;1254.0;899.0;355;11;6;882;407;475
