province;commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
Province Nord;Belep;1;Mairie;740;582;158;1;1;580;559;21
Province Sud;Boulouparis;4;Centre culturel;598;548;50;2;1;545;118;427
Province Sud;Bourail;2;Pothé;844;736;108;8;6;722;615;107
Province Sud;Bourail;4;École Les Lys d’Eau;857;795;62;6;2;787;133;654
Province Nord;Canala;5;Gélima;728;657;71;2;0;655;636;19
Province Nord;Canala;6;Mérénémé;302;261;41;2;1;258;242;16
Province Sud;Dumbéa;2;Hôtel de ville 2;750;660;90;2;11;647;216;431
Province Sud;Dumbéa;3;Hôtel de ville 3;823;714;109;4;2;708;257;451
Province Sud;Dumbéa;10;Centre culturel de Dumbéa 3;705;609;96;2;5;602;186;416
Province Sud;Dumbéa;13;Ecole maternelle l'Oasis 1;725;647;78;3;2;642;145;497
Province Sud;Dumbéa;14;Ecole maternelle l'Oasis 2;690;596;94;3;2;591;160;431
Province Sud;Dumbéa;15;Groupe scolaire Michelle Delacharlerie-Rolly 1;534;497;37;3;4;490;59;431
Province Sud;Dumbéa;19;Mairie du Nord 1;665;583;82;3;2;578;73;505
Province Sud;Dumbéa;22;Ecole primaire Paul Duboisé 1;843;777;66;6;5;766;134;632
Province Sud;Dumbéa;24;Ecole maternelle les Colibris;785;694;91;9;2;683;143;540
Province Nord;Hienghène;1;Mairie;553;494;59;2;1;491;462;29
Province Nord;Hienghène;7;Oué-Hawa;70;63;7;0;0;63;63;0
Province Nord;Hienghène;8;Tiendanite;99;96;3;0;0;96;96;0
Province Nord;Houaïlou;2;Warai;664;585;79;4;5;576;476;100
Province Nord;Houaïlou;4;Nessakoéa;307;272;35;1;1;270;251;19
Province Nord;Houaïlou;8;Nédivin;519;465;54;4;0;461;419;42
Province Sud;Ile des Pins;2;Bâtiment communal Point Information;689;588;101;2;2;584;418;166
Province Nord;Kaala-Gomen;2;Ouéholle;372;331;41;0;1;330;327;3
Province Nord;Koné;4;Tiaoué;269;257;12;1;0;256;249;7
Province Nord;Koné;5;Atéou;128;117;11;1;0;116;115;1
Province Nord;Koné;9;École primaire Les Cigales;690;622;68;8;3;611;376;235
Province Nord;Koné;11;École Téari;563;499;64;7;7;485;206;279
Province Nord;Koné;12;Les Allamandas;429;391;38;3;0;388;124;264
Province Nord;Kouaoua;4;Méa-Mébara;174;156;18;1;2;153;127;26
Province Nord;Koumac;2;École primaire Charles Mermoud 2;1534;1367;167;9;6;1352;404;948
Province Sud;La Foa;3;Centre socio-culturel;828;759;69;10;4;745;230;515
Province des Iles;Lifou;4;Jozip;274;219;55;0;1;218;188;30
Province des Iles;Lifou;5;Jokin;336;234;102;2;1;231;217;14
Province des Iles;Lifou;12;Tiga;143;64;79;2;1;61;58;3
Province des Iles;Lifou;13;Luecila;551;449;102;3;4;442;354;88
