page,commune_code,commune,numero_liste_municipale,liste_municipale,rang_municipal,civilite,nom_pdf,nom_cle_municipales,token_signature,nb_tokens,source_pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,1,M.,KAUDRE Rene,KAUDRE RENE,KAUDRE|RENE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,2,Mme,QENENÖJ Eidra Henriette,QENENOJ EIDRA HENRIETTE,EIDRA|HENRIETTE|QENENOJ,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,3,M.,WELEPANE Georges Joc,WELEPANE GEORGES JOC,GEORGES|JOC|WELEPANE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,4,Mme,MAZENO Maryline Madeleine,MAZENO MARYLINE MADELEINE,MADELEINE|MARYLINE|MAZENO,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,5,M.,KAEMO Pierre Upane,KAEMO PIERRE UPANE,KAEMO|PIERRE|UPANE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,6,Mme,QENEGEI Mete Rose,QENEGEI METE ROSE,METE|QENEGEI|ROSE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,7,M.,SIO Alexandre,SIO ALEXANDRE,ALEXANDRE|SIO,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,8,Mme,WANAXAENG Marguerite Copa,WANAXAENG MARGUERITE COPA,COPA|MARGUERITE|WANAXAENG,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,9,M.,QENENÖJ Henri Canyö,QENENOJ HENRI CANYO,CANYO|HENRI|QENENOJ,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,10,Mme,LUEWADIA Yvette Inya,LUEWADIA YVETTE INYA,INYA|LUEWADIA|YVETTE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,11,M.,KAKUE Celestin Hmuine,KAKUE CELESTIN HMUINE,CELESTIN|HMUINE|KAKUE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,12,Mme,ZEIWE Brigitte,ZEIWE BRIGITTE,BRIGITTE|ZEIWE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,13,M.,MENE Dimitri,MENE DIMITRI,DIMITRI|MENE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,14,Mme,DIMEK Naana Fonaw,DIMEK NAANA FONAW,DIMEK|FONAW|NAANA,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,15,M.,HAOCAS Fabrice Wamo,HAOCAS FABRICE WAMO,FABRICE|HAOCAS|WAMO,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,16,Mme,LUEWADIA Vanessa,LUEWADIA VANESSA,LUEWADIA|VANESSA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,17,M.,LEANGA Remy Franck Ukeiwe,LEANGA REMY FRANCK UKEIWE,FRANCK|LEANGA|REMY|UKEIWE,4,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,18,Mme,JUNI Louise Waejue,JUNI LOUISE WAEJUE,JUNI|LOUISE|WAEJUE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,19,M.,ALLA Alain Catren,ALLA ALAIN CATREN,ALAIN|ALLA|CATREN,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,20,Mme,PASSIL Ginette Xatramë,PASSIL GINETTE XATRAME,GINETTE|PASSIL|XATRAME,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,21,M.,FORREST Charles,FORREST CHARLES,CHARLES|FORREST,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,22,Mme,LUEPAK Hélène Wafice,LUEPAK HELENE WAFICE,HELENE|LUEPAK|WAFICE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,23,M.,TAIN Naxue César,TAIN NAXUE CESAR,CESAR|NAXUE|TAIN,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,24,Mme,SIPA Corinne,SIPA CORINNE,CORINNE|SIPA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,25,M.,PASSA Noel Saingono,PASSA NOEL SAINGONO,NOEL|PASSA|SAINGONO,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,26,Mme,HMUZO Waee Paulette,HMUZO WAEE PAULETTE,HMUZO|PAULETTE|WAEE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,27,M.,MEITE Eric Puhnya,MEITE ERIC PUHNYA,ERIC|MEITE|PUHNYA,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,28,Mme,NEKOENG Elise Hane,NEKOENG ELISE HANE,ELISE|HANE|NEKOENG,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,29,M.,SAIHU Dicky,SAIHU DICKY,DICKY|SAIHU,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,30,Mme,KAUDRE Severine Rose Simone,KAUDRE SEVERINE ROSE SIMONE,KAUDRE|ROSE|SEVERINE|SIMONE,4,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
3,98814,Lifou,1,Unité nationaliste Drehu - Toka,31,M.,KATRAWA Paul Wapia,KATRAWA PAUL WAPIA,KATRAWA|PAUL|WAPIA,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,1,M.,QAEZE Pierre Ijone,QAEZE PIERRE IJONE,IJONE|PIERRE|QAEZE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,2,Mme,SINECA Lucie,SINECA LUCIE,LUCIE|SINECA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,3,M.,CIMA André,CIMA ANDRE,ANDRE|CIMA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,4,Mme,JUNI Wahnaca,JUNI WAHNACA,JUNI|WAHNACA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,5,M.,WAHNAPO Piliwé,WAHNAPO PILIWE,PILIWE|WAHNAPO,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,6,Mme,WANEISI Audrey,WANEISI AUDREY,AUDREY|WANEISI,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,7,M.,NYIKEINE Jean François,NYIKEINE JEAN FRANCOIS,FRANCOIS|JEAN|NYIKEINE,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,8,Mme,HAOCAS Nadia Bikawa,HAOCAS NADIA BIKAWA,BIKAWA|HAOCAS|NADIA,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,9,M.,WAPOTRO Billy,WAPOTRO BILLY,BILLY|WAPOTRO,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,10,Mme,BONUA Béatrice,BONUA BEATRICE,BEATRICE|BONUA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,11,M.,WAHENA Raymond,WAHENA RAYMOND,RAYMOND|WAHENA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,12,Mme,IWA Liliane,IWA LILIANE,IWA|LILIANE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,13,M.,TAINE Dominique,TAINE DOMINIQUE,DOMINIQUE|TAINE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,14,Mme,HNACEMA Emma,HNACEMA EMMA,EMMA|HNACEMA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,15,M.,FOREST Dick,FOREST DICK,DICK|FOREST,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,16,Mme,WENETHEM Waijaija,WENETHEM WAIJAIJA,WAIJAIJA|WENETHEM,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,17,M.,QENEGEI Charles,QENEGEI CHARLES,CHARLES|QENEGEI,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,18,Mme,SAKILIA Aurore,SAKILIA AURORE,AURORE|SAKILIA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,19,M.,WAXUI Madué,WAXUI MADUE,MADUE|WAXUI,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,20,Mme,XENIHATE Elianne,XENIHATE ELIANNE,ELIANNE|XENIHATE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,21,M.,BANUKONE Joseph,BANUKONE JOSEPH,BANUKONE|JOSEPH,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,22,Mme,HOANE Bikawa,HOANE BIKAWA,BIKAWA|HOANE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,23,M.,QAPITRO Jean Baptiste,QAPITRO JEAN BAPTISTE,BAPTISTE|JEAN|QAPITRO,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,24,Mme,SAIKO Sophie,SAIKO SOPHIE,SAIKO|SOPHIE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,25,M.,NGAZOHNI Théodore,NGAZOHNI THEODORE,NGAZOHNI|THEODORE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,26,Mme,XENIE Iono,XENIE IONO,IONO|XENIE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,27,M.,WADRENGES Wamo,WADRENGES WAMO,WADRENGES|WAMO,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,28,Mme,ITREMA Christelle,ITREMA CHRISTELLE,CHRISTELLE|ITREMA,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,29,M.,SINYEUE Antoine,SINYEUE ANTOINE,ANTOINE|SINYEUE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,30,Mme,HMAKONE Laurie,HMAKONE LAURIE,HMAKONE|LAURIE,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
4,98814,Lifou,2,Union Citoyenne Nöje Drehu,31,M.,HNACIPAN Yorick,HNACIPAN YORICK,HNACIPAN|YORICK,2,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
5,98814,Lifou,3,Drehu Uni,1,M.,TUPAISSI Pascal Hunemu,TUPAISSI PASCAL HUNEMU,HUNEMU|PASCAL|TUPAISSI,3,data/elections/data_raw/municipales_2026/liste_candidats_municipales2026.pdf
