annee,scrutin,date_scrutin,source_arrete,province,numero_liste,liste_nom,couleur_bulletin,embleme,rang,nom_prenoms,sexe,page_source,source_url,nom_normalise,nom_cle_comparaison,ocr_a_verifier,liste_id
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,1,Luther VOUDJO,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,LUTHER VOUDJO,LUTHER VOUDJO,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,2,Muneiko HAOCAS,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MUNEIKO HAOCAS,HAOCAS MUNEIKO,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,3,Jean Pierre FERE,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JEAN PIERRE FERE,FERE JEAN PIERRE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,4,Maryline ATCHEE,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MARYLINE ATCHEE,ATCHEE MARYLINE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,5,Erwan WAETHEANE,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,ERWAN WAETHEANE,ERWAN WAETHEANE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,6,Aurélie LOMBARDO,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,AURELIE LOMBARDO,AURELIE LOMBARDO,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,7,Kenrick KOINDREDI,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,KENRICK KOINDREDI,KENRICK KOINDREDI,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,8,Bélinda FARAIRE,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,BELINDA FARAIRE,BELINDA FARAIRE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,9,Darewa DIANOU,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,DAREWA DIANOU,DAREWA DIANOU,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,10,Charlotte BOANEMOA,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,CHARLOTTE BOANEMOA,BOANEMOA CHARLOTTE,FALSE,2019_Province Sud_01
