nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,province_2019,liste_2019,rang_2019,nom_affiche_2026,province_2026,liste_2026,rang_2026,nom_clean_2019,nom_clean_2026,tokens_2019,tokens_2026,tokens_communs,nb_tokens_communs,nb_tokens_rares_communs,n_tokens_2019,n_tokens_2026,dice_tokens,lev_distance,lev_ratio,meme_province,tokens_non_prenoms_communs,a_token_non_prenom_commun
ALLA WILLIAM,PALADINI WILLIAM,Alla WILLIAM,Province Sud,Alliance citoyenne pour la transition,11,PALADINI William,Province Sud,Pour une Caledonie francaise,17,ALLA WILLIAM ALLA WILLIAM,PALADINI WILLIAM PALADINI WILLIAM,ALLA|WILLIAM,PALADINI|WILLIAM,WILLIAM,1,1,2,2,0.5,12,0.36363636363636365,TRUE,WILLIAM,TRUE
FLORENCE ROLLAND,DALBIEZ ROLLAND,Florence ROLLAND,Province Sud,Caledoniens Ensemble,24,DALBIEZ Rolland,Province Sud,"France Caledonie, une patrie",48,FLORENCE ROLLAND FLORENCE ROLLAND,DALBIEZ ROLLAND DALBIEZ ROLLAND,FLORENCE|ROLLAND,DALBIEZ|ROLLAND,ROLLAND,1,1,2,2,0.5,14,0.42424242424242425,TRUE,ROLLAND,TRUE
MERY TCHAOUNYANE,STEEVE TCHAOUNYANE,Mery TCHAOUNYANE,Province Nord,MNIS Nord,11,TCHAOUNYANE Steeve,Province Nord,UNI,15,MERY TCHAOUNYANE MERY TCHAOUNYANE,STEEVE TCHAOUNYANE TCHAOUNYANE STEEVE,MERY|TCHAOUNYANE,STEEVE|TCHAOUNYANE,TCHAOUNYANE,1,1,2,2,0.5,17,0.4594594594594595,TRUE,TCHAOUNYANE,TRUE
GAIA JAMES,GAIA KATIA,James GAIA,Province Sud,MNIS Sud,15,GAÏA Katia,Province Sud,Un autre monde est possible,22,GAIA JAMES JAMES GAIA,GAIA KATIA GAIA KATIA,GAIA|JAMES,GAIA|KATIA,GAIA,1,1,2,2,0.5,10,0.47619047619047616,TRUE,GAIA,TRUE
NAXUE WARREN,GAVIN WARREN,Warren NAXUE,Province Sud,Construire autrement,3,GAVIN WARREN,Province Sud,Faire Pays,21,NAXUE WARREN WARREN NAXUE,GAVIN WARREN GAVIN WARREN,NAXUE|WARREN,GAVIN|WARREN,WARREN,1,1,2,2,0.5,12,0.48,TRUE,WARREN,TRUE
CYNTHIA UGOLINI,CYNTHIA JAN,Cynthia UGOLINI,Province Sud,Rassemblement national,26,JAN Cynthia,Province Sud,Les Loyalistes et Le Rassemblement,11,CYNTHIA UGOLINI CYNTHIA UGOLINI,CYNTHIA JAN JAN CYNTHIA,CYNTHIA|UGOLINI,CYNTHIA|JAN,CYNTHIA,1,1,2,2,0.5,15,0.4838709677419355,TRUE,CYNTHIA,TRUE
ANNE TILLEWA,MAURICE TILLEWA,Anne TILLEWA,Province des Iles,Parti travailliste,12,e. TILLEWA Maurice,Province des Iles,UC-FLNKS Iles,7,ANNE TILLEWA ANNE TILLEWA,MAURICE TILLEWA E TILLEWA MAURICE,ANNE|TILLEWA,MAURICE|TILLEWA,TILLEWA,1,1,2,2,0.5,16,0.48484848484848486,TRUE,TILLEWA,TRUE
ILAISANE LAUOUVEA,ALICE LAUOUVEA,Ilaisane LAUOUVEA,Province Sud,FLNKS,36,… LAUOUVEA Alice,Province Sud,Alliance Pacifik enracinee,19,ILAISANE LAUOUVEA ILAISANE LAUOUVEA,ALICE LAUOUVEA LAUOUVEA ALICE,ILAISANE|LAUOUVEA,ALICE|LAUOUVEA,LAUOUVEA,1,1,2,2,0.5,17,0.4857142857142857,TRUE,LAUOUVEA,TRUE
CAWIDRONE WAKANUMUNE,ALPHONSE CAWIDRONE,Cawidrone WAKANUMUNE,Province des Iles,Dynamique autochtone,18,CAWIDRONE Alphonse,Province des Iles,UC-FLNKS Iles,23,CAWIDRONE WAKANUMUNE CAWIDRONE WAKANUMUNE,ALPHONSE CAWIDRONE CAWIDRONE ALPHONSE,CAWIDRONE|WAKANUMUNE,ALPHONSE|CAWIDRONE,CAWIDRONE,1,1,2,2,0.5,21,0.5121951219512195,TRUE,CAWIDRONE,TRUE
BERTRAND PERRONNET,BERTRAND TURAUD,Bertrand PERRONNET,Province Sud,Destin commun caledonien,19,TURAUD Bertrand,Province Sud,Une Province pour tous,11,BERTRAND PERRONNET BERTRAND PERRONNET,BERTRAND TURAUD TURAUD BERTRAND,BERTRAND|PERRONNET,BERTRAND|TURAUD,BERTRAND,1,1,2,2,0.5,19,0.5135135135135135,TRUE,BERTRAND,TRUE
FLORENCE ROLLAND,FLORENCE PUJOL,Florence ROLLAND,Province Sud,Caledoniens Ensemble,24,PUJOL FLORENCE,Province Sud,Faire Pays,44,FLORENCE ROLLAND FLORENCE ROLLAND,FLORENCE PUJOL PUJOL FLORENCE,FLORENCE|ROLLAND,FLORENCE|PUJOL,FLORENCE,1,1,2,2,0.5,17,0.5151515151515151,TRUE,FLORENCE,TRUE
FLORENCE ROLLAND,FLORENCE SITU,Florence ROLLAND,Province Sud,Caledoniens Ensemble,24,SITU Florence,Province Sud,"France Caledonie, une patrie",35,FLORENCE ROLLAND FLORENCE ROLLAND,FLORENCE SITU SITU FLORENCE,FLORENCE|ROLLAND,FLORENCE|SITU,FLORENCE,1,1,2,2,0.5,17,0.5151515151515151,TRUE,FLORENCE,TRUE
TAFUSIMAI TOMASI,AMOSALA TOMASI,Tomasi TAFUSIMAI,Province Sud,Destin commun caledonien,27,AMOSALA Tomasi,Province Sud,Alliance Pacifik enracinee,26,TAFUSIMAI TOMASI TOMASI TAFUSIMAI,AMOSALA TOMASI AMOSALA TOMASI,TAFUSIMAI|TOMASI,AMOSALA|TOMASI,TOMASI,1,1,2,2,0.5,17,0.5151515151515151,TRUE,TOMASI,TRUE
