nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
,NA,NA,NA,NA,NA,NA,9,9,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,Province Nord:09 | Province Nord:31,2,nouveau_2026_exact
02 06 09 11 13 2026 35 42 EDITE LE,NA,NA,NA,NA,NA,NA,EDITE LE 09 06 2026 A 13 35 02 11 42,Edité le 09/06/2026 à 13:35:02 11 / 42,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:31,1,nouveau_2026_exact
13 GASTON YARIK,NA,NA,NA,NA,NA,NA,13 YARIK GASTON,13 YARIK Gaston,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:13,1,nouveau_2026_exact
15 ALLAN BROUSSE DE LABORDE RODRIGUE SERGE,NA,NA,NA,NA,NA,NA,15 BROUSSE DE LABORDE RODRIGUE ALLAN SERGE,": 15 BROUSSE DE LABORDE Rodrigue, Allan, Serge",Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:15,1,nouveau_2026_exact
15 JOAN MAPOU,NA,NA,NA,NA,NA,NA,C 15 MAPOU JOAN,© 15 MAPOU Joan,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:15,1,nouveau_2026_exact
25,NA,NA,NA,NA,NA,NA,25,25,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:25,1,nouveau_2026_exact
ABEA ANGEXETINE ELISABETH QAHELEP,NA,NA,NA,NA,NA,NA,ANGEXETINE QAHELEP ELISABETH ABEA,"ANGEXETINE épouse QAHELEP Elisabeth, Abéa",Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:04,1,nouveau_2026_exact
ABEDIAS ABREU DE TRINDADE,NA,NA,NA,NA,NA,NA,TRINDADE DE ABREU ABEDIAS,TRINDADE DE ABREU Abedias,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:11,1,nouveau_2026_exact
ACHIMOIN JEAN MARC,NA,NA,NA,NA,NA,NA,ACHIMOIN JEAN MARC,ACHIMOIN Jean-Marc,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:23,1,nouveau_2026_exact
ACHIMOIN JEANETTE,NA,NA,NA,NA,NA,NA,ACHIMOIN JEANETTE,ACHIMOIN Jeanette,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:18,1,nouveau_2026_exact
ADILIO POACOUDOU,NA,NA,NA,NA,NA,NA,POACOUDOU ADILIO,POACOUDOU Adilio,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:09,1,nouveau_2026_exact
ADJOUHGNIOPE DAVID,NA,NA,NA,NA,NA,NA,ADJOUHGNIOPE DAVID,ADJOUHGNIOPE David,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:20,1,nouveau_2026_exact
AEMA CHARLIE MEDARD,NA,NA,NA,NA,NA,NA,AEMA CHARLIE MEDARD,"AEMA Charlie, Medard",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:20,1,nouveau_2026_exact
