nom_cle_comparaison,nom_affiche_2019,nom_normalise_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,camps_2019,familles_politiques_2019,composantes_politiques_2019,axes_politiques_2019,qualification_a_verifier_2019,mandat_2019_2019,groupe_congres_2019_initial_2019,groupe_assemblee_province_2019_2019,groupe_congres_2026_actuel_2019,groupe_assemblee_province_2026_actuel_2019,nom_affiche_2026,nom_normalise_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,camps_2026,familles_politiques_2026,composantes_politiques_2026,axes_politiques_2026,qualification_a_verifier_2026,mandat_2019_2026,groupe_congres_2019_initial_2026,groupe_assemblee_province_2019_2026,groupe_congres_2026_actuel_2026,groupe_assemblee_province_2026_actuel_2026,statut_exact
ABEA ANGEXETINE ELISABETH QAHELEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGEXETINE épouse QAHELEP Elisabeth, Abéa",ANGEXETINE QAHELEP ELISABETH ABEA,Province des Iles,Province des Iles - 03 - Baselaia,Province des Iles:04,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ABEDIAS ABREU DE TRINDADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRINDADE DE ABREU Abedias,TRINDADE DE ABREU ABEDIAS,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:11,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ACHIMOIN JEAN MARC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACHIMOIN Jean-Marc,ACHIMOIN JEAN MARC,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:23,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ACHIMOIN JEANETTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACHIMOIN Jeanette,ACHIMOIN JEANETTE,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:18,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ADILIO POACOUDOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POACOUDOU Adilio,POACOUDOU ADILIO,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:09,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ADJOUHGNIOPE DAVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ADJOUHGNIOPE David,ADJOUHGNIOPE DAVID,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:20,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AEMA CHARLIE MEDARD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEMA Charlie, Medard",AEMA CHARLIE MEDARD,Province des Iles,Province des Iles - 04 - Nation autochtone,Province des Iles:20,1,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AGNES MARIC MAVOUI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAVOUI Maric-Agnés,MAVOUI MARIC AGNES,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:49,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
AGOURERE FRANCOISE MARIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AGOURERE Marie-Françoise,AGOURERE MARIE FRANCOISE,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:21,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
AGOURERE KAI MICHEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGOURERE Michel, Kai",AGOURERE MICHEL KAI,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:33,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AIFA PATRICK PIERRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AÏFA Patrick Pierre,AIFA PATRICK PIERRE,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:23,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
