nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,nom_affiche_2026,provinces_2019,provinces_2026,listes_2019,listes_2026,methode_correspondance,confiance_correspondance,nb_tokens_communs,dice_tokens,jw_distance,tokens_nom_famille_communs,tokens_prenoms_communs,annee.x,nom_prenoms_2019,province_2019,numero_liste_2019,liste_id_2019,liste_nom_court_2019,camp_institutionnel_2019,famille_politique_2019,composante_politique_candidat_2019,axe_politique_2019,axe_politique_ordre_2019,rang_2019,tokens_nom_famille_2019,tokens_prenoms_2019,annee.y,nom_prenoms_2026,province_2026,numero_liste_2026,liste_id_2026,liste_nom_court_2026,camp_institutionnel_2026,famille_politique_2026,composante_politique_candidat_2026,axe_politique_2026,axe_politique_ordre_2026,rang_2026,tokens_nom_famille_2026,tokens_prenoms_2026,meme_province,meme_liste_court,meme_camp,meme_axe_politique
GUY MACHORO MICHEL,GUY MACHORO MICHEL,"Guy, Michel MACHORO",MACHORO Guy Michel,Province Nord,Province Nord,Province Nord - 01 - UNI,Province Nord - 05 - UNI,exact,haute,NA,NA,0,NA,NA,2019,"Guy, Michel MACHORO",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,25,MACHORO,GUY|MICHEL,2026,MACHORO Guy Michel,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,23,MACHORO,GUY|MICHEL,TRUE,TRUE,TRUE,TRUE
DAHMA ELIANE,DAHMA ELIANE,Eliane DAHMA,DAHMA Eliane,Province Nord,Province Nord,Province Nord - 01 - UNI,Province Nord - 05 - UNI,exact,haute,NA,NA,0,NA,NA,2019,Eliane DAHMA,Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,26,DAHMA,ELIANE,2026,DAHMA Eliane,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,18,DAHMA,ELIANE,TRUE,TRUE,TRUE,TRUE
DAHOTE EZECKIEL WAVANE,DAHOTE EZECKIEL WAVANE,"Ezeckiel, Wavane DAHOTE",DAHOTE Ezéckiel Wavane,Province Nord,Province Nord,Province Nord - 01 - UNI,Province Nord - 05 - UNI,exact,haute,NA,NA,0,NA,NA,2019,"Ezeckiel, Wavane DAHOTE",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,31,DAHOTE,EZECKIEL|WAVANE,2026,DAHOTE Ezéckiel Wavane,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,7,DAHOTE,EZECKIEL|WAVANE,TRUE,TRUE,TRUE,TRUE
ALCIDE PONGA,ALCIDE PONGA,Alcide PONGA,PONGA Alcide,Province Nord,Province Nord,Province Nord - 02 - Agissons pour le Nord,Province Nord - 01 - Agissons ensemble pour le Nord,exact,haute,NA,NA,0,NA,NA,2019,Alcide PONGA,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,1,PONGA,ALCIDE,2026,PONGA Alcide,Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,14,PONGA,ALCIDE,TRUE,FALSE,TRUE,TRUE
WEISS WILFRID,WEISS WILFRID,Wilfrid WEISS,WEISS Wilfrid,Province Nord,Province Nord,Province Nord - 02 - Agissons pour le Nord,Province Nord - 01 - Agissons ensemble pour le Nord,exact,haute,NA,NA,0,NA,NA,2019,Wilfrid WEISS,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,3,WEISS,WILFRID,2026,WEISS Wilfrid,Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Rassemblement,Loyaliste droite,6,12,WEISS,WILFRID,TRUE,FALSE,TRUE,TRUE
VANESSA WACAPO,VANESSA WACAPO,Vanessa WACAPO,WACAPO Vanessa,Province Nord,Province Nord,Province Nord - 02 - Agissons pour le Nord,Province Nord - 01 - Agissons ensemble pour le Nord,exact,haute,NA,NA,0,NA,NA,2019,Vanessa WACAPO,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,4,WACAPO,VANESSA,2026,WACAPO Vanessa,Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Agissons pour le Nord (APLN),Loyaliste droite,6,1,WACAPO,VANESSA,TRUE,FALSE,TRUE,TRUE
DEBELS SYLVANA,DEBELS SYLVANA,Sylvana DEBELS,DEBELS Sylvana,Province Nord,Province Nord,Province Nord - 02 - Agissons pour le Nord,Province Nord - 01 - Agissons ensemble pour le Nord,exact,haute,NA,NA,0,NA,NA,2019,Sylvana DEBELS,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,16,DEBELS,SYLVANA,2026,DEBELS Sylvana,Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,19,DEBELS,SYLVANA,TRUE,FALSE,TRUE,TRUE
JULIANA PONGA,JULIANA PONGA,Juliana PONGA,PONGA Juliana,Province Nord,Province Nord,Province Nord - 02 - Agissons pour le Nord,Province Nord - 01 - Agissons ensemble pour le Nord,exact,haute,NA,NA,0,NA,NA,2019,Juliana PONGA,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,24,PONGA,JULIANA,2026,PONGA Juliana,Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,3,PONGA,JULIANA,TRUE,FALSE,TRUE,TRUE
JESSICA MARIE POINDIPENDA,JESSICA MARIE POINDIPENDA,Marie-Jessica POINDIPENDA,POINDIPENDA Marie-Jessica,Province Nord,Province Nord,Province Nord - 02 - Agissons pour le Nord,Province Nord - 01 - Agissons ensemble pour le Nord,exact,haute,NA,NA,0,NA,NA,2019,Marie-Jessica POINDIPENDA,Province Nord,2,2019_Province Nord_02,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Agissons / loyaliste,Loyaliste droite,6,30,POINDIPENDA,MARIE|JESSICA,2026,POINDIPENDA Marie-Jessica,Province Nord,1,2026_Province Nord_01,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,27,POINDIPENDA,MARIE|JESSICA,TRUE,FALSE,TRUE,TRUE
JIZDNY VINCENT,JIZDNY VINCENT,Vincent JIZDNY,JIZDNY Vincent,Province Nord,Province Nord,Province Nord - 03 - Caledoniens Ensemble Nord,Province Nord - 05 - UNI,exact,haute,NA,NA,0,NA,NA,2019,Vincent JIZDNY,Province Nord,3,2019_Province Nord_03,Caledoniens Ensemble Nord,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,11,JIZDNY,VINCENT,2026,JIZDNY Vincent,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,13,JIZDNY,VINCENT,TRUE,FALSE,FALSE,FALSE
LINDA NERHON,LINDA NERHON,Linda NERHON,NERHON Linda,Province Nord,Province Nord,Province Nord - 04 - Parti travailliste,Province Nord - 02 - Alternative Nord pour un pays souverain,exact,haute,NA,NA,0,NA,NA,2019,Linda NERHON,Province Nord,4,2019_Province Nord_04,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,6,NERHON,LINDA,2026,NERHON Linda,Province Nord,2,2026_Province Nord_02,Alternative Nord pour un pays souverain,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,1,2,NERHON,LINDA,TRUE,FALSE,TRUE,TRUE
GASTON YARIK,GASTON YARIK,Gaston YARIK,YARIK Gaston,Province Nord,Province Nord,Province Nord - 04 - Parti travailliste,Province Nord - 02 - Alternative Nord pour un pays souverain,exact,haute,NA,NA,0,NA,NA,2019,Gaston YARIK,Province Nord,4,2019_Province Nord_04,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,7,YARIK,GASTON,2026,YARIK Gaston,Province Nord,2,2026_Province Nord_02,Alternative Nord pour un pays souverain,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,1,13,YARIK,GASTON,TRUE,FALSE,TRUE,TRUE
AXELLE NORMANDON,AXELLE NORMANDON,Axelle NORMANDON,NORMANDON Axelle,Province Nord,Province Nord,Province Nord - 05 - MNIS Nord,Province Nord - 03 - UC-FLNKS,exact,haute,NA,NA,0,NA,NA,2019,Axelle NORMANDON,Province Nord,5,2019_Province Nord_05,MNIS Nord,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,1,NORMANDON,AXELLE,2026,NORMANDON Axelle,Province Nord,3,2026_Province Nord_03,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,12,NORMANDON,AXELLE,TRUE,FALSE,FALSE,FALSE
CHANEL PIERRE TUTUGORO,CHANEL PIERRE TUTUGORO,Pierre-Chanel TUTUGORO,TUTUGORO Pierre Chanel,Province Nord,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord - 03 - UC-FLNKS,exact,haute,NA,NA,0,NA,NA,2019,Pierre-Chanel TUTUGORO,Province Nord,6,2019_Province Nord_06,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,3,TUTUGORO,PIERRE|CHANEL,2026,TUTUGORO Pierre Chanel,Province Nord,3,2026_Province Nord_03,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,3,TUTUGORO,PIERRE|CHANEL,TRUE,TRUE,TRUE,TRUE
