annee,province,numero_liste,liste_nom_court,camp_institutionnel,famille_politique,axe_politique,axe_politique_ordre,qualification_a_verifier,nb_candidats,elus_congres_2019,elus_assemblee_province_2019
2019,Province Nord,1,UNI,Independantiste / souverainiste,UNI / Palika,Independantiste UNI / Palika,2,FALSE,32,7,10
2019,Province Nord,2,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Loyaliste droite,6,FALSE,32,2,3
2019,Province Nord,3,Caledoniens Ensemble Nord,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,FALSE,32,0,0
2019,Province Nord,4,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Independantiste FLNKS / gauche,1,FALSE,32,0,0
2019,Province Nord,5,MNIS Nord,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,FALSE,32,0,0
2019,Province Nord,6,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,Independantiste FLNKS / gauche,1,FALSE,32,6,9
2019,Province Sud,1,MNIS Sud,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,FALSE,50,0,0
2019,Province Sud,2,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,FALSE,50,0,0
2019,Province Sud,3,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,6,FALSE,50,16,20
2019,Province Sud,4,Parti travailliste et forces progressistes,Independantiste / souverainiste,Parti travailliste,Independantiste FLNKS / gauche,1,FALSE,50,0,0
2019,Province Sud,5,Caledonie nouvelle et reunie,A preciser,Divers / a preciser,A preciser,8,TRUE,50,0,0
2019,Province Sud,6,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Oceanien / transversal,4,FALSE,50,3,4
2019,Province Sud,7,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,FALSE,50,6,7
2019,Province Sud,8,Alliance citoyenne pour la transition,A preciser,Divers / a preciser,A preciser,8,TRUE,50,0,0
2019,Province Sud,9,Construire autrement,A preciser,Divers / a preciser,A preciser,8,TRUE,50,0,0
2019,Province Sud,10,Destin commun caledonien,A preciser,Divers / a preciser,A preciser,8,TRUE,50,0,0
2019,Province Sud,11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,FALSE,50,7,9
2019,Province des Iles,1,Unitaire Kanaky Generation,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,FALSE,24,0,0
2019,Province des Iles,2,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,Independantiste FLNKS / gauche,1,FALSE,24,3,6
2019,Province des Iles,3,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Independantiste FLNKS / gauche,1,FALSE,24,1,2
2019,Province des Iles,4,Avec nous,A preciser,Divers / a preciser,A preciser,8,TRUE,24,0,0
2019,Province des Iles,5,Dynamique autochtone,Independantiste / souverainiste,Autochtone / oceanien / local,Independantiste FLNKS / gauche,1,FALSE,24,1,2
2019,Province des Iles,6,Nouvelle vision des Iles,A preciser,Divers / a preciser,A preciser,8,TRUE,24,0,0
2019,Province des Iles,7,MNIS Iles,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,FALSE,24,0,0
2019,Province des Iles,8,Palika Iles,Independantiste / souverainiste,UNI / Palika,Independantiste UNI / Palika,2,FALSE,24,2,4
