nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,jw_distance,statut
ADJOUHGNIOPE AHNU,Ahnu ADJOUHGNIOPE,Province des Iles,Province des Iles - 02 - UC - FLNKS,ADJOUHGNIOPE DAVID,ADJOUHGNIOPE David,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,0.07973856209150326,rapprochement_fuzzy_a_verifier
ADJOUHGNIOPE DAVID GERMOND,ADJOUHGNIOPE David Germond,Province des Iles,Province des Iles - 08 - PALIKA ILES,ADJOUHGNIOPE DAVID,ADJOUHGNIOPE David,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,0.061538461538461514,rapprochement_fuzzy_a_verifier
ALBERT CILI HNAWEONGO,"Albert, Cili HNAWEONGO",Province des Iles,Province des Iles - 04 - AVEC NOUS,ALBERT HNAWEONGO,HNAWEONGO Albert,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,0.04761904761904765,rapprochement_fuzzy_a_verifier
ANAISE MEANDU POVEU SOPHIE,"Anaise, Sophie MEANDU-POVEU",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),ANAISE MEANDU POVEU,MEANDU-POVEU Anaise,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),0.053846153846153856,rapprochement_fuzzy_a_verifier
AURELIA LUTA,Aurélia LUTA,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,AURELIA KAATEU,KAATEU AURELIA,Province Sud,Province Sud - 07 - FAIRE PAYS,0.07770562770562775,rapprochement_fuzzy_a_verifier
BASILE CITRE,Basile CITRE,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,BASILE CICI CITRE,"CITRE Basile, Cici",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,0.05882352941176469,rapprochement_fuzzy_a_verifier
BEARUNE ISABELLE KALOI,Isabelle KALOI - BEARUNE,Province des Iles,Province des Iles - 02 - UC - FLNKS,BEARUNE ISABELLE,BEARUNE Isabelle,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,0.054545454545454494,rapprochement_fuzzy_a_verifier
BOIGUIVIE MARIE SHOLASTIQUE,Marie Sholastique BOIGUIVIE,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,BOIGUIVIE MARIE SCHOLASTIQUE,BOIGUIVIE Marie Scholastique,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,0.0071428571428571175,rapprochement_fuzzy_a_verifier
BRIEUC FROGIER,Brieuc FROGIER,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,BRIEUC FROGIER NAHEA,FROGIER Brieuc Nahea,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,0.059999999999999984,rapprochement_fuzzy_a_verifier
CHRISTIANE HONEME OUASSAOUA,Christiane OUASSAOUA ep HONEME,Province des Iles,Province des Iles - 08 - PALIKA ILES,CHRISTIANE HONEME,HONEME Christiane,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,0.07407407407407407,rapprochement_fuzzy_a_verifier
CHRISTINE GOROMIDO,Christine GOROMIDO,Province Nord,Province Nord - 06 - UC-FLNKS,CHRISTIANE GOROMOTO,GOROMOTO Christiane,Province Nord,Province Nord - 03 - UC FLNKS,0.053801169590643336,rapprochement_fuzzy_a_verifier
CHRISTINE MARIE MINDIA,Marie-Christine MINDIA,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),CHRISTINE MARIE NEWEDOU,NEWEDOU Marie-Christine,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,0.0798418972332016,rapprochement_fuzzy_a_verifier
CHRISTOPHE VICO,Christophe VICO,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",CHRISTOPHE VAKIE,VAKIE Christophe,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",0.0641666666666667,rapprochement_fuzzy_a_verifier
CLAUDE JEAN NAPERAVOIN TENDI,Jean-Claude Tendi NAPERAVOIN,Province Nord,Province Nord - 06 - UC-FLNKS,CLAUDE JEAN NAPERAVOIN,NAPERAVOIN Jean Claude,Province Nord,Province Nord - 03 - UC FLNKS,0.0428571428571429,rapprochement_fuzzy_a_verifier
DJAOUA ROLLAND,Rolland DJAOUA,Province des Iles,Province des Iles - 04 - AVEC NOUS,DJAOUA ROLAND,DJAOUA Roland,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,0.014285714285714235,rapprochement_fuzzy_a_verifier
EMMANUEL HERNU,Emmanuel HERNU,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),EMMANUEL HERNU JACQUES,HERNU Emmanuel Jacques,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,0.0727272727272728,rapprochement_fuzzy_a_verifier
ERIC JEAN NAXUE,Jean-Eric NAXUE,Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,ERIC JEAN NAXU NAXUE,"NAXUE Jean-Eric, NAXU",Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,0.050000000000000024,rapprochement_fuzzy_a_verifier
FAGANE JOELLE MARIE PIDJO WALOUA,Marie Joëlle Fagane PIDJO ép WALOUA,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,FAGANE JOELLE MARIE PIDJO,PIDJO Marie-Joëlle Fagane,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,0.04375000000000004,rapprochement_fuzzy_a_verifier
HOMBOE MICHELLE,Michelle HOMBOE,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,HOMBOE MICHELE,À HOMBOE Michele,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,0.013333333333333286,rapprochement_fuzzy_a_verifier
JACQUELINE MORLET,Jacqueline MORLET,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,JACQUELINE MALIE,MALIE Jacqueline,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,0.06029411764705887,rapprochement_fuzzy_a_verifier
JENNIFER PREVEL,Jennifer PREVEL,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,JENNIFER PREVEL SARAH,"PREVEL Jennifer, Sarah",Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,0.057142857142857134,rapprochement_fuzzy_a_verifier
KELETAONA MAREVA,Mareva KELETAONA,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),KELETAONA MARIA VIOLAINE,KELETAONA Maria-Violaine,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,0.07916666666666672,rapprochement_fuzzy_a_verifier
LOUECKHOTE SIMON,Simon LOUECKHOTE,Province des Iles,Province des Iles - 04 - AVEC NOUS,LOUECKHOTE MARTIN,LOUECKHOTE Martin,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,0.07457983193277311,rapprochement_fuzzy_a_verifier
MULIAVA VAIMUA,Vaimua MULIAVA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,MULIAVA VAIMU,MULIAVA Vaimu'a,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,0.014285714285714235,rapprochement_fuzzy_a_verifier
NEAOUTYINE PAUL TYAOU,"Paul, Tyaou NEAOUTYINE",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),NEAOUTYINE PAUL,NEAOUTYINE Paul,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),0.057142857142857134,rapprochement_fuzzy_a_verifier
