nom_cle_comparaison_2019,nom_affiche_2019,provinces_2019,listes_2019,nom_cle_comparaison_2026,nom_affiche_2026,provinces_2026,listes_2026,nb_tokens_communs,dice_tokens,jw_distance,statut
FAGANE JOELLE MARIE PIDJO WALOUA,Marie Joëlle Fagane PIDJO ép WALOUA,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,FAGANE JOELLE MARIE PIDJO,PIDJO Marie-Joëlle Fagane,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,4,0.8888888888888888,0.04375000000000004,rapprochement_tokens_a_verifier
CLAUDE JEAN NAPERAVOIN TENDI,Jean-Claude Tendi NAPERAVOIN,Province Nord,Province Nord - 06 - UC-FLNKS,CLAUDE JEAN NAPERAVOIN,NAPERAVOIN Jean Claude,Province Nord,Province Nord - 03 - UC FLNKS,3,0.8571428571428571,0.0428571428571429,rapprochement_tokens_a_verifier
ERIC JEAN NAXUE,Jean-Eric NAXUE,Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,ERIC JEAN NAXU NAXUE,"NAXUE Jean-Eric, NAXU",Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,3,0.8571428571428571,0.050000000000000024,rapprochement_tokens_a_verifier
ANAISE MEANDU POVEU SOPHIE,"Anaise, Sophie MEANDU-POVEU",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),ANAISE MEANDU POVEU,MEANDU-POVEU Anaise,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),3,0.8571428571428571,0.053846153846153856,rapprochement_tokens_a_verifier
ISABELLA LUTOVIKA MARIA SALIGA,Maria Isabella LUTOVIKA née SALIGA,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,ISABELLA MARIA SALIGA,SALIGA Maria Isabella,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,3,0.8571428571428571,0.11714285714285719,rapprochement_tokens_a_verifier
JEAN LOUIS SINEWAMI,Jean-Louis SINEWAMI,Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,BUAMA JEAN LOUIS SINEWAMI,"SINEWAMI Jean-Louis, Buama",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,3,0.8571428571428571,0.2203508771929824,rapprochement_tokens_a_verifier
DIDINE HOMOU LOUIS PIDJOT,"Louis, Pidjot, Didine HOMOU",Province Sud,Province Sud - 07 - FLNKS,HOMOU LOUIS PIDJOT,HOMOU Louis Pidjot,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,3,0.8571428571428571,0.22296296296296292,rapprochement_tokens_a_verifier
ALBERT CILI HNAWEONGO,"Albert, Cili HNAWEONGO",Province des Iles,Province des Iles - 04 - AVEC NOUS,ALBERT HNAWEONGO,HNAWEONGO Albert,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,2,0.8,0.04761904761904765,rapprochement_tokens_a_verifier
BEARUNE ISABELLE KALOI,Isabelle KALOI - BEARUNE,Province des Iles,Province des Iles - 02 - UC - FLNKS,BEARUNE ISABELLE,BEARUNE Isabelle,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,2,0.8,0.054545454545454494,rapprochement_tokens_a_verifier
JENNIFER PREVEL,Jennifer PREVEL,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,JENNIFER PREVEL SARAH,"PREVEL Jennifer, Sarah",Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,2,0.8,0.057142857142857134,rapprochement_tokens_a_verifier
