annee,province,numero_liste,liste_nom,nb_candidats,nb_attendus,statut
2019,Province Nord,1,UNION NATIONALE POUR L'INDEPENDANCE (UNI),32,32,ok
2019,Province Nord,2,AGISSONS POUR LE NORD,32,32,ok
2019,Province Nord,3,"UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",32,32,ok
2019,Province Nord,4,PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,32,32,ok
2019,Province Nord,5,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE NORD (MNIS NORD),32,32,ok
2019,Province Nord,6,UC-FLNKS,32,32,ok
2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),50,50,ok
2019,Province Sud,2,RASSEMBLEMENT NATIONAL,50,50,ok
2019,Province Sud,3,L’AVENIR EN CONFIANCE,50,50,ok
2019,Province Sud,4,PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,50,50,ok
2019,Province Sud,5,CALEDONIE NOUVELLE ET REUNIE,50,50,ok
2019,Province Sud,6,L’EVEIL OCEANIEN,50,50,ok
2019,Province Sud,7,FLNKS,50,50,ok
2019,Province Sud,8,ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),50,50,ok
2019,Province Sud,9,CONSTRUIRE AUTREMENT,50,50,ok
2019,Province Sud,10,DESTIN COMMUN CALEDONIEN,50,50,ok
2019,Province Sud,11,"CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",50,50,ok
2019,Province des Iles,1,UNITAIRE KANAKY GENERATION,24,24,ok
2019,Province des Iles,2,UC - FLNKS,24,24,ok
2019,Province des Iles,3,PARTI TRAVAILLISTE,24,24,ok
2019,Province des Iles,4,AVEC NOUS,24,24,ok
2019,Province des Iles,5,DYNAMIQUE AUTOCHTONE,24,24,ok
2019,Province des Iles,6,NOUVELLE VISION DES ILES,24,24,ok
2019,Province des Iles,7,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),24,24,ok
2019,Province des Iles,8,PALIKA ILES,24,24,ok
2026,Province Nord,1,AGISSONS ENSEMBLE POUR LE NORD,32,32,ok
2026,Province Nord,2,ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,32,32,ok
2026,Province Nord,3,UC FLNKS,32,32,ok
2026,Province Nord,4,FAIRE PAYS,32,32,ok
2026,Province Nord,5,UNION NATIONALE POUR L'INDEPENDANCE (UNI),32,32,ok
2026,Province Sud,1,UN AUTRE MONDE EST POSSIBLE !,50,50,ok
2026,Province Sud,2,KANAKY POUR TOUS,50,50,ok
2026,Province Sud,3,"FRANCE CALEDONIE, UNE PATRIE",50,50,ok
2026,Province Sud,4,ALLIANCE PACIFIK ENRACINEE,50,50,ok
2026,Province Sud,5,"UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",50,50,ok
2026,Province Sud,6,SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,50,50,ok
2026,Province Sud,7,FAIRE PAYS,50,50,ok
2026,Province Sud,8,POUR UNE CALEDONIE FRANCAISE,50,50,ok
2026,Province Sud,9,"NOUS, REUNIS!",50,50,ok
2026,Province Sud,10,LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,50,50,ok
2026,Province Sud,11,UNIS POUR LE PAYS,50,50,ok
2026,Province Sud,12,UN ESPOIR POUR DEMAIN,50,50,ok
2026,Province des Iles,1,PALIKA ÎLES,24,24,ok
2026,Province des Iles,2,UN NOUVEAU SOUFFLE,24,24,ok
2026,Province des Iles,3,BASELAIA,24,24,ok
2026,Province des Iles,4,NATION AUTOCHTONE,24,24,ok
2026,Province des Iles,5,UC FLNKS ILES,24,24,ok
2026,Province des Iles,6,S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,24,24,ok
2026,Province des Iles,7,UNION POUR CONSTRUIRE DANS LE CONSENSUS,24,24,ok
