annee,province,numero_liste,liste_id,liste_nom,liste_nom_court,camp_institutionnel,famille_politique,axe_politique,axe_politique_ordre,qualification_a_verifier,source_qualification_politique,notes_qualification,voix_2019,sieges_congres_2019,sieges_province_seulement_2019,sieges_province_total_2019,admis_repartition_2019,source_resultats_2019,groupe_assemblee_province_2019_liste,groupe_congres_2019_initial_liste,note_groupe_congres_2019,source_groupes_2019,date_constat_groupes_2026_actuels
2019,Province Nord,1,2019_Province Nord_01,UNION NATIONALE POUR L'INDEPENDANCE (UNI),UNI,Independantiste / souverainiste,UNI / Palika,Independantiste UNI / Palika,2,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,9709,7,3,10,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,UNI,UNI,NA,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province Nord,2,2019_Province Nord_02,AGISSONS POUR LE NORD,Agissons pour le Nord,Non-independantiste / loyaliste,Agissons / loyaliste,Loyaliste droite,6,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,3072,2,1,3,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Agissons pour le Nord,L'Avenir En Confiance,Rattachement initial deduit de la coalition loyaliste.,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province Nord,3,2019_Province Nord_03,"UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",Caledoniens Ensemble Nord,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,1975,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Nord,4,2019_Province Nord_04,PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,842,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Nord,5,2019_Province Nord_05,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE NORD (MNIS NORD),MNIS Nord,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,554,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Nord,6,2019_Province Nord_06,UC-FLNKS,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,9069,6,3,9,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,UC-FLNKS,UC-FLNKS et Nationalistes,NA,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province Sud,1,2019_Province Sud_01,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),MNIS Sud,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,1244,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Sud,2,2019_Province Sud_02,RASSEMBLEMENT NATIONAL,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,2707,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Sud,3,2019_Province Sud_03,L’AVENIR EN CONFIANCE,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,6,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,28802,16,4,20,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,L'Avenir en confiance,L'Avenir En Confiance,NA,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province Sud,4,2019_Province Sud_04,PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Parti travailliste et forces progressistes,Independantiste / souverainiste,Parti travailliste,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,1335,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
