institution,nom_cle_comparaison,nom_affiche,variantes_nom,provinces_2019_initial,listes_2019_initial,rangs_2019_initial,elu_initial_2019,groupe_2019_initial,present_groupe_actuel_2026,groupe_2026_actuel,source_groupe_2026_actuel,candidat_2026,listes_candidature_2026,statut_changement_groupe_2019_2026,rapprochement_a_verifier,date_constat_groupes_2026_actuels
Congres,ALESIO SALIGA,Alesio SALIGA,Alesio SALIGA,Province Sud,Province Sud - 03 - L'Avenir en confiance,14,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,ANNIE QAEZE,Annie QAEZE,Annie QAEZE,Province Sud,Province Sud - 11 - Caledoniens Ensemble,02,TRUE,Caledonie Ensemble,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,BRIEUC FROGIER,Brieuc FROGIER,Brieuc FROGIER,Province Sud,Province Sud - 03 - L'Avenir en confiance,12,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,EMMANUELLE KHAC,Emmanuelle KHAC,Emmanuelle KHAC,Province Sud,Province Sud - 11 - Caledoniens Ensemble,06,TRUE,Caledonie Ensemble,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,FRANCOISE SUVE,Françoise SUVE,Françoise SUVE,Province Sud,Province Sud - 03 - L'Avenir en confiance,05,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,BRIAL GIL,Gil BRIAL,BRIAL Gil | Gil BRIAL,Province Sud,Province Sud - 03 - L'Avenir en confiance,04,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,changement de groupe,FALSE,2026-06-13
Congres,LAURA VENDEGOU,Laura VENDEGOU,Laura VENDEGOU | VENDEGOU Laura,Province Sud,Province Sud - 03 - L'Avenir en confiance,07,TRUE,L'Avenir En Confiance,TRUE,Rassemblement,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,changement de groupe,FALSE,2026-06-13
Congres,BRINON LIONNEL,Lionnel BRINON,Lionnel BRINON,Province Sud,Province Sud - 03 - L'Avenir en confiance,16,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,MAGALI MANUOHALALO,Magali MANUOHALALO,Magali MANUOHALALO,Province Sud,Province Sud - 11 - Caledoniens Ensemble,04,TRUE,Caledonie Ensemble,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,MARILYN SAKILIA YVONNE,"Marilyn, Yvonne SAKILIA","Marilyn, Yvonne SAKILIA",Province Sud,Province Sud - 07 - FLNKS,04,TRUE,UC-FLNKS et Nationalistes,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,MALFAR MURIEL PAUGA,Muriel MALFAR-PAUGA,MALFAR-PAUGA Muriel | Muriel MALFAR-PAUGA,Province Sud,Province Sud - 03 - L'Avenir en confiance,13,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,changement de groupe,FALSE,2026-06-13
Congres,JALABERT NADINE,Nadine JALABERT,Nadine JALABERT,Province Sud,Province Sud - 03 - L'Avenir en confiance,15,TRUE,L'Avenir En Confiance,TRUE,Rassemblement,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,METZDORF NICOLAS,Nicolas METZDORF,METZDORF Nicolas | Nicolas METZDORF,Province Sud,Province Sud - 11 - Caledoniens Ensemble,03,TRUE,Non-Inscrit,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,changement de groupe,FALSE,2026-06-13
Congres,CHIARA MONTAGNAT PASCALE,Pascale CHIARA ép MONTAGNAT,Pascale CHIARA ép MONTAGNAT,Province Nord,Province Nord - 02 - Agissons pour le Nord,02,TRUE,L'Avenir En Confiance,TRUE,Rassemblement,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,BLAISE PHILIPPE,Philippe BLAISE,Philippe BLAISE,Province Sud,Province Sud - 03 - L'Avenir en confiance,06,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,DUNOYER PHILIPPE,Philippe DUNOYER,DUNOYER Philippe | Philippe DUNOYER,Province Sud,Province Sud - 11 - Caledoniens Ensemble,05,TRUE,Caledonie Ensemble,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,TRUE,"Province Sud - 09 - Nous, reunis",changement de groupe,FALSE,2026-06-13
Congres,BACKES SONIA,Sonia BACKES,BACKES Sonia | Sonia BACKES,Province Sud,Province Sud - 03 - L'Avenir en confiance,01,TRUE,L'Avenir En Confiance,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,changement de groupe,FALSE,2026-06-13
Congres,RUFFENACH VIRGINIE,Virginie RUFFENACH,RUFFENACH Virginie | Virginie RUFFENACH,Province Sud,Province Sud - 03 - L'Avenir en confiance,03,TRUE,L'Avenir En Confiance,TRUE,Rassemblement,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,changement de groupe,FALSE,2026-06-13
Congres,LECOURIEUX YOANN,Yoann LECOURIEUX,Yoann LECOURIEUX,Province Sud,Province Sud - 03 - L'Avenir en confiance,10,TRUE,L'Avenir En Confiance,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,FALSE,NA,changement de groupe,FALSE,2026-06-13
Congres,ANISETA TUFELE,Aniseta TUFELE,Aniseta TUFELE,NA,NA,NA,FALSE,NA,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,FALSE,NA,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,EURISOUKE VALENTINE,EURISOUKE Valentine,EURISOUKE Valentine,NA,NA,NA,FALSE,NA,TRUE,UNI,https://www.congres.nc/vos-elus/,TRUE,Province Nord - 05 - UNI,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,GOROMIDO JOSEPH,GOROMIDO Joseph,GOROMIDO Joseph,NA,NA,NA,FALSE,NA,TRUE,UNI,https://www.congres.nc/vos-elus/,TRUE,Province Nord - 05 - UNI,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,CUENOT GUY OLIVIER,Guy-Olivier CUENOT,Guy-Olivier CUENOT,NA,NA,NA,FALSE,NA,TRUE,Rassemblement,https://www.congres.nc/vos-elus/,FALSE,NA,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,JEAN KAYS,Jean KAYS,Jean KAYS | KAYS Jean,NA,NA,NA,FALSE,NA,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 05 - Une Province pour tous,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,FAVREAU GABRIEL JEAN,Jean-Gabriel FAVREAU,Jean-Gabriel FAVREAU,NA,NA,NA,FALSE,NA,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,FALSE,NA,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,KADRILE KUIESINE WRIGHT,Kadrilé KUIESINE ép WRIGHT,Kadrilé KUIESINE ép WRIGHT,NA,NA,NA,FALSE,NA,TRUE,UC-FLNKS et Nationalistes,https://www.congres.nc/vos-elus/,FALSE,NA,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,MULIAVA VAIMU,MULIAVA Vaimu'a,MULIAVA Vaimu'a,NA,NA,NA,FALSE,NA,TRUE,Non-Inscrit,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 01 - Un autre monde est possible,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,BARBIER JO MARIE,Marie-Jo BARBIER,BARBIER Marie-Jo | Marie-Jo BARBIER,NA,NA,NA,FALSE,NA,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,NEAOUTYINE PAUL,NEAOUTYINE Paul,NEAOUTYINE Paul,NA,NA,NA,FALSE,NA,TRUE,UNI,https://www.congres.nc/vos-elus/,TRUE,Province Nord - 05 - UNI,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
Congres,JULIE NINA,Nina JULIE,JULIÉ Nina | Nina JULIE,NA,NA,NA,FALSE,NA,TRUE,Intergroupe Loyalistes,https://www.congres.nc/vos-elus/,TRUE,Province Sud - 10 - Les Loyalistes et Le Rassemblement,elu actuel non elu initial / entree en cours de mandature,FALSE,2026-06-13
