file,n_rows,n_cols,columns,min_year,max_year,n_geo,n_indicators,obs_non_na,obs_na
01_DF_CLIMATE_CHANGE_A_ENV_TAXES_.csv,59,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,2000,2020,5,1,59,0
02_DF_ENV_TAXES_A_.csv,519,12,DATAFLOW | FREQ | GEO_PICT | ENV_TAXES | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1995,2021,6,NA,519,0
03_DF_NMDI_POP_A_NMDI0002_T_T_T_.csv,792,16,DATAFLOW | FREQ | GEO_PICT | INDICATOR | SEX | AGE | URBANIZATION | DISABILITY | COMPOSITE_BREAKDOWN | TIME_PERIOD | OBS_VALUE | UNIT_MEASURE | UNIT_MULT | OBS_STATUS | OBS_COMMENT | DATA_SOURCE,1990,2025,22,1,792,0
04_DF_CLIMATE_CHANGE_A_GHG_EMI_CAPITA_.csv,935,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1970,2024,17,1,935,0
05_DF_CLIMATE_CHANGE_A_CROP_YIELD_.csv,900,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1961,2024,15,1,900,0
06_DF_AGRICULTURAL_PRODUCTION_A_.csv,20725,13,DATAFLOW | FREQ | GEO_PICT | AGRICULTURE_PRODUCTION_ITEM | AGRICULTURE_PRODUCTION_TYPE | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1961,2024,15,NA,20725,0
07_DF_CLIMATE_CHANGE_A_LVST_YIELD_.csv,866,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1961,2024,14,1,866,0
08_DF_AGRICULTURAL_PRODUCTION_A_.csv,20725,13,DATAFLOW | FREQ | GEO_PICT | AGRICULTURE_PRODUCTION_ITEM | AGRICULTURE_PRODUCTION_TYPE | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1961,2024,15,NA,20725,0
09_DF_CLIMATE_CHANGE_A_SST_ANOM_.csv,3696,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1850,2025,21,1,3696,0
10_DF_CLIMATE_CHANGE_A_ST_ANOM_.csv,3872,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1850,2025,22,1,3872,0
11_DF_CLIMATE_CHANGE_A_RAIN_ANOM_.csv,1034,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1979,2025,22,1,1034,0
12_DF_CLIMATE_CHANGE_A_ALT_LAND_COVER_.csv,681,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1992,2022,22,1,681,0
13_DF_CLIMATE_CHANGE_A_SEA_LVL_.csv,651,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1993,2023,21,1,651,0
14_DF_CLIMATE_CHANGE_A_TRSM_ARR_.csv,229,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1995,2024,13,1,229,0
15_DF_TOURISM_ARRIVALS_A_.csv,707,12,DATAFLOW | FREQ | GEO_PICT | VISITOR_DURATION_CAT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1995,2024,18,NA,707,0
16_DF_SDG_15_A_ER_RSK_LST_.csv,0,1,Could not find Dataflow and/or DSD related with this data request,Inf,-Inf,NA,NA,NA,NA
