file,indicator_col,indicator,n_geo,min_year,max_year,n_obs,n_values
01_DF_CLIMATE_CHANGE_A_ENV_TAXES_.csv,CLIMATE_CHANGE_INDICATORS,ENV_TAXES,5,2000,2020,59,59
02_DF_ENV_TAXES_A_.csv,UNIT_MEASURE,PERCENT,6,1995,2021,519,519
03_DF_NMDI_POP_A_NMDI0002_T_T_T_.csv,INDICATOR,NMDI0002,22,1990,2025,792,792
04_DF_CLIMATE_CHANGE_A_GHG_EMI_CAPITA_.csv,CLIMATE_CHANGE_INDICATORS,GHG_EMI_CAPITA,17,1970,2024,935,935
05_DF_CLIMATE_CHANGE_A_CROP_YIELD_.csv,CLIMATE_CHANGE_INDICATORS,CROP_YIELD,15,1961,2024,900,900
06_DF_AGRICULTURAL_PRODUCTION_A_.csv,UNIT_MEASURE,KGHA,15,1961,2024,14599,14599
06_DF_AGRICULTURAL_PRODUCTION_A_.csv,UNIT_MEASURE,KG_AN,14,1961,2024,6126,6126
07_DF_CLIMATE_CHANGE_A_LVST_YIELD_.csv,CLIMATE_CHANGE_INDICATORS,LVST_YIELD,14,1961,2024,866,866
08_DF_AGRICULTURAL_PRODUCTION_A_.csv,UNIT_MEASURE,KGHA,15,1961,2024,14599,14599
08_DF_AGRICULTURAL_PRODUCTION_A_.csv,UNIT_MEASURE,KG_AN,14,1961,2024,6126,6126
09_DF_CLIMATE_CHANGE_A_SST_ANOM_.csv,CLIMATE_CHANGE_INDICATORS,SST_ANOM,21,1850,2025,3696,3696
10_DF_CLIMATE_CHANGE_A_ST_ANOM_.csv,CLIMATE_CHANGE_INDICATORS,ST_ANOM,22,1850,2025,3872,3872
11_DF_CLIMATE_CHANGE_A_RAIN_ANOM_.csv,CLIMATE_CHANGE_INDICATORS,RAIN_ANOM,22,1979,2025,1034,1034
12_DF_CLIMATE_CHANGE_A_ALT_LAND_COVER_.csv,CLIMATE_CHANGE_INDICATORS,ALT_LAND_COVER,22,1992,2022,681,681
13_DF_CLIMATE_CHANGE_A_SEA_LVL_.csv,CLIMATE_CHANGE_INDICATORS,SEA_LVL,21,1993,2023,651,651
14_DF_CLIMATE_CHANGE_A_TRSM_ARR_.csv,CLIMATE_CHANGE_INDICATORS,TRSM_ARR,13,1995,2024,229,229
15_DF_TOURISM_ARRIVALS_A_.csv,UNIT_MEASURE,N,18,1995,2024,707,707
16_DF_SDG_15_A_ER_RSK_LST_.csv,NA,NA,NA,Inf,-Inf,0,NA
17_DF_SDG_11_A_VC_DSR_AFFCT_.csv,NA,NA,NA,Inf,-Inf,0,NA
18_DF_SDG_11_A_VC_DSR_AALT_T_.csv,NA,NA,NA,Inf,-Inf,0,NA
19_DF_SDG_03_A_SH_TBS_INCD_.csv,NA,NA,NA,Inf,-Inf,0,NA
20_DF_SDG_A_EG_FEC_RNEW_T_T_T_T_T_T_Z_T.csv,NA,NA,NA,Inf,-Inf,0,NA
21_DF_SDG_06_A_SH_H2O_SAFE_T_.csv,NA,NA,NA,Inf,-Inf,0,NA
22_DF_CLIMATE_CHANGE_A_POWER_GEN_.csv,CLIMATE_CHANGE_INDICATORS,POWER_GEN,18,2000,2023,432,432
23_DF_POWER_GEN_A_.csv,UNIT_MEASURE,GWH,18,2000,2023,5300,5300
24_DF_CLIMATE_CHANGE_A_METEO_MONITOR_NET_.csv,CLIMATE_CHANGE_INDICATORS,METEO_MONITOR_NET,18,1889,2026,1650,1650
25_DF_METEO_MONITOR_NET_A_.csv,UNIT_MEASURE,N,18,1889,2026,1650,1650
26_DF_CLIMATE_CHANGE_A_FISH_MNGT_MULT_BILAT_ARGMT_.csv,CLIMATE_CHANGE_INDICATORS,FISH_MNGT_MULT_BILAT_ARGMT,22,1903,2026,1563,1563
