label,href
.Stat Explorer,https://stats.pacificdata.org/?lc=fr&pg=0
Fiscalité environnementale,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ENV_TAXES.&pd=,&to[TIME_PERIOD]=false&pg=0"
Fiscalité environnementale - désagrégé,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_ENV_TAXES&df[ag]=SPC&df[vs]=1.0&av=true&dq=A..&pd=,&to[TIME_PERIOD]=false&pg=0"
Croissance démographique,"https://stats.pacificdata.org/vis?pg=0&snb=11&df[ds]=ds%3ASPC2&df[id]=DF_NMDI_POP&df[ag]=SPC&df[vs]=1.0&dq=A..NMDI0002._T._T._T..&pd=,&to[TIME_PERIOD]=false&lc=fr"
Émissions de gaz à effet de serre par habitant,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.GHG_EMI_CAPITA.&pd=,&to[TIME_PERIOD]=false&pg=0"
Rendement des cultures,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.CROP_YIELD.&pd=,&to[TIME_PERIOD]=false&pg=0"
Rendement des cultures - désagrégé,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_AGRICULTURAL_PRODUCTION&df[ag]=SPC&df[vs]=1.0&av=true&dq=A...&pd=,&to[TIME_PERIOD]=false&pg=0"
Rendement du bétail,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.LVST_YIELD.&pd=,&to[TIME_PERIOD]=false&pg=0"
Rendement du bétail - désagrégé,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_AGRICULTURAL_PRODUCTION&df[ag]=SPC&df[vs]=1.0&av=true&dq=A...&pd=,&to[TIME_PERIOD]=false&pg=0"
Anomalies de la température de surface de la mer,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.SST_ANOM.&pd=,&to[TIME_PERIOD]=false&pg=0"
Anomalies de la température de surface,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ST_ANOM.&pd=,&to[TIME_PERIOD]=false&pg=0"
Anomalies des précipitations,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.RAIN_ANOM.&pd=,&to[TIME_PERIOD]=false&pg=0"
Indice d'occupation des terres modifiant le climat,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false&pg=0"
Anomalies du niveau de la mer,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.SEA_LVL.&pd=,&to[TIME_PERIOD]=false&pg=0"
Arrivées touristiques,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.TRSM_ARR.&pd=,&to[TIME_PERIOD]=false&pg=0"
Arrivées touristiques - désagrégé,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_TOURISM_ARRIVALS&df[ag]=SPC&df[vs]=1.0&av=true&dq=A..&pd=,&to[TIME_PERIOD]=false&pg=0"
Indice de la Liste Rouge,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=ds%3ASPC2&df[id]=DF_SDG_15&df[ag]=SPC&df[vs]=3.0&dq=A.ER_RSK_LST.........&pd=,&to[TIME_PERIOD]=false&pg=0"
Nombre de personnes directement affectées par des catastrophes,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=ds%3ASPC2&df[id]=DF_SDG_11&df[ag]=SPC&df[vs]=3.0&dq=A.VC_DSR_AFFCT.........&pd=,&to[TIME_PERIOD]=false&lb=bt&pg=0"
Pertes économiques directes liées aux catastrophes,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=ds%3ASPC2&df[id]=DF_SDG_11&df[ag]=SPC&df[vs]=3.0&dq=A.VC_DSR_AALT...._T.....&pd=,&to[TIME_PERIOD]=false&pg=0"
Incidence de la tuberculose pour 100 000 habitants,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=ds%3ASPC2&df[id]=DF_SDG_03&df[ag]=SPC&df[vs]=3.0&dq=A.SH_TBS_INCD.........&pd=,&to[TIME_PERIOD]=false&pg=0"
Part des énergies renouvelables dans la consommation finale d'énergie totale,"https://stats.pacificdata.org/vis?pg=0&bp=true&snb=18&df[ds]=ds%3ASPC2&df[id]=DF_SDG&df[ag]=SPC&df[vs]=3.0&dq=A.EG_FEC_RNEW.._T._T._T._T._T._T._Z._T&pd=,&to[TIME_PERIOD]=false&lc=fr"
Proportion de la population utilisant des services d'eau potable gérés en toute sécurité,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=ds%3ASPC2&df[id]=DF_SDG_06&df[ag]=SPC&df[vs]=3.0&dq=A.SH_H2O_SAFE...._T.....&pd=,&to[TIME_PERIOD]=false&pg=0"
Production d'électricité,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.POWER_GEN.&pd=,&to[TIME_PERIOD]=false&pg=0"
Production d'électricité - désagrégé,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_POWER_GEN&df[ag]=SPC&df[vs]=1.0&av=true&dq=A...&pd=,&to[TIME_PERIOD]=false&pg=0"
Trait de côte,https://pacificdata.org/data/dataset/landsat-coastlines
Réseau de surveillance météorologique,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.METEO_MONITOR_NET.&pd=,&to[TIME_PERIOD]=false&pg=0"
Réseau de surveillance météorologique - désagrégé,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_METEO_MONITOR_NET&df[ag]=SPC&df[vs]=1.0&av=true&dq=A..&pd=,&to[TIME_PERIOD]=false&pg=0"
Mesures de gestion des pêches en place et arrangements de gestion des pêches multilatéraux et bilatéraux,"https://stats.pacificdata.org/vis?lc=fr&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.FISH_MNGT_MULT_BILAT_ARGMT.&pd=,&to[TIME_PERIOD]=false&pg=0"
