GEO_PICT,signal,TIME_PERIOD,OBS_VALUE
AS,sea,1850,0
AS,sea,1851,-0.3
AS,sea,1852,0
AS,sea,1853,0.4
AS,sea,1854,0.2
AS,sea,1855,-0.3
AS,sea,1856,-0.1
AS,sea,1857,-0.5
AS,sea,1858,-0.2
AS,sea,1859,0.2
AS,sea,1860,-0.2
AS,sea,1861,-0.5
AS,sea,1862,-0.4
AS,sea,1863,-0.4
AS,sea,1864,-0.2
AS,sea,1865,-0.2
AS,sea,1866,-0.3
AS,sea,1867,-0.2
AS,sea,1868,-0.1
AS,sea,1869,-0.1
AS,sea,1870,-0.2
AS,sea,1871,0.1
AS,sea,1872,0.1
AS,sea,1873,-0.4
AS,sea,1874,0
AS,sea,1875,-0.1
AS,sea,1876,-0.1
AS,sea,1877,-0.2
AS,sea,1878,-0.2
AS,sea,1879,-0.2
AS,sea,1880,-0.2
AS,sea,1881,0.1
AS,sea,1882,0.1
AS,sea,1883,-0.4
AS,sea,1884,-0.4
AS,sea,1885,-0.6
AS,sea,1886,-0.5
AS,sea,1887,-0.4
AS,sea,1888,-0.2
AS,sea,1889,-0.1
AS,sea,1890,-0.5
AS,sea,1891,-0.4
AS,sea,1892,-0.3
AS,sea,1893,-0.7
AS,sea,1894,-0.3
AS,sea,1895,-0.2
AS,sea,1896,-0.4
AS,sea,1897,-0.2
AS,sea,1898,-0.2
AS,sea,1899,-0.1
AS,sea,1900,0.1
AS,sea,1901,0.2
AS,sea,1902,-0.4
AS,sea,1903,-0.2
AS,sea,1904,-0.6
AS,sea,1905,-0.5
AS,sea,1906,-0.1
AS,sea,1907,-0.4
AS,sea,1908,-0.5
AS,sea,1909,-0.7
AS,sea,1910,-0.7
AS,sea,1911,-0.6
AS,sea,1912,-0.3
AS,sea,1913,-0.5
AS,sea,1914,-0.3
AS,sea,1915,-0.1
AS,sea,1916,-0.2
AS,sea,1917,-0.8
AS,sea,1918,-0.5
AS,sea,1919,-0.8
AS,sea,1920,-0.5
AS,sea,1921,-0.4
AS,sea,1922,-0.1
AS,sea,1923,-0.4
AS,sea,1924,-0.1
AS,sea,1925,-0.3
AS,sea,1926,-0.3
AS,sea,1927,-0.3
AS,sea,1928,-0.2
AS,sea,1929,-0.3
AS,sea,1930,-0.4
AS,sea,1931,-0.3
AS,sea,1932,-0.1
AS,sea,1933,-0.5
AS,sea,1934,-0.4
AS,sea,1935,-0.4
AS,sea,1936,-0.2
AS,sea,1937,-0.3
AS,sea,1938,-0.4
AS,sea,1939,-0.5
AS,sea,1940,-0.1
AS,sea,1941,0.1
AS,sea,1942,0.1
AS,sea,1943,0.1
AS,sea,1944,0.2
AS,sea,1945,0.1
AS,sea,1946,0.2
AS,sea,1947,0.2
AS,sea,1948,-0.2
AS,sea,1949,-0.2
AS,sea,1950,-0.2
AS,sea,1951,-0.1
AS,sea,1952,0.2
AS,sea,1953,0.1
AS,sea,1954,0
AS,sea,1955,-0.3
AS,sea,1956,-0.3
AS,sea,1957,-0.1
AS,sea,1958,0
AS,sea,1959,0.1
AS,sea,1960,0
AS,sea,1961,0
AS,sea,1962,-0.1
AS,sea,1963,0
AS,sea,1964,-0.1
AS,sea,1965,-0.3
AS,sea,1966,0
AS,sea,1967,-0.2
AS,sea,1968,0
AS,sea,1969,0.2
AS,sea,1970,0.1
AS,sea,1971,-0.2
AS,sea,1972,-0.2
AS,sea,1973,0.2
AS,sea,1974,-0.3
AS,sea,1975,-0.3
AS,sea,1976,-0.3
AS,sea,1977,-0.1
AS,sea,1978,0
AS,sea,1979,-0.1
AS,sea,1980,0.1
AS,sea,1981,-0.1
AS,sea,1982,0
AS,sea,1983,-0.3
AS,sea,1984,0
AS,sea,1985,-0.2
AS,sea,1986,-0.1
AS,sea,1987,-0.1
AS,sea,1988,0.1
AS,sea,1989,-0.1
AS,sea,1990,0
AS,sea,1991,0.3
AS,sea,1992,0.2
AS,sea,1993,0.1
AS,sea,1994,0.2
AS,sea,1995,0.3
AS,sea,1996,0.2
AS,sea,1997,-0.1
AS,sea,1998,-0.2
AS,sea,1999,0.1
AS,sea,2000,0.3
AS,sea,2001,0.2
AS,sea,2002,0.4
AS,sea,2003,0.5
AS,sea,2004,0.6
AS,sea,2005,0.6
AS,sea,2006,0.5
AS,sea,2007,0.5
AS,sea,2008,0.1
AS,sea,2009,0.4
AS,sea,2010,0.5
AS,sea,2011,0.1
AS,sea,2012,0.4
AS,sea,2013,0.5
AS,sea,2014,0.6
AS,sea,2015,0.3
AS,sea,2016,0.6
AS,sea,2017,0.7
AS,sea,2018,0.6
AS,sea,2019,0.7
AS,sea,2020,0.7
AS,sea,2021,0.4
AS,sea,2022,0.4
AS,sea,2023,0.5
AS,sea,2024,0.7
AS,sea,2025,0.5
FM,sea,1850,0
FM,sea,1851,0.1
FM,sea,1852,0
FM,sea,1853,-0.1
FM,sea,1854,-0.2
FM,sea,1855,-0.4
FM,sea,1856,-0.3
FM,sea,1857,0
FM,sea,1858,-0.5
FM,sea,1859,0.1
FM,sea,1860,-0.3
FM,sea,1861,-0.8
FM,sea,1862,-0.4
FM,sea,1863,-0.2
FM,sea,1864,0
FM,sea,1865,0
FM,sea,1866,0
FM,sea,1867,-0.2
FM,sea,1868,-0.2
FM,sea,1869,0.2
FM,sea,1870,-0.1
FM,sea,1871,-0.2
FM,sea,1872,-0.1
FM,sea,1873,0
FM,sea,1874,-0.1
FM,sea,1875,-0.3
FM,sea,1876,-0.1
FM,sea,1877,-0.2
FM,sea,1878,0
FM,sea,1879,-0.2
FM,sea,1880,-0.4
FM,sea,1881,0.1
FM,sea,1882,0.1
FM,sea,1883,-0.4
FM,sea,1884,-0.6
FM,sea,1885,-0.6
FM,sea,1886,-0.3
FM,sea,1887,0
FM,sea,1888,-0.2
FM,sea,1889,-0.1
FM,sea,1890,0.1
FM,sea,1891,0.3
FM,sea,1892,0.1
FM,sea,1893,0
FM,sea,1894,0
FM,sea,1895,0
FM,sea,1896,-0.1
FM,sea,1897,0.2
FM,sea,1898,-0.1
FM,sea,1899,-0.3
FM,sea,1900,0
FM,sea,1901,-0.1
FM,sea,1902,-0.5
FM,sea,1903,-0.5
FM,sea,1904,-0.6
FM,sea,1905,-0.7
FM,sea,1906,-0.6
FM,sea,1907,-0.3
FM,sea,1908,-0.4
FM,sea,1909,-0.5
FM,sea,1910,-0.4
FM,sea,1911,-0.7
FM,sea,1912,-0.7
FM,sea,1913,-0.7
FM,sea,1914,-0.6
FM,sea,1915,-0.4
