code,indicator,year,value,standard_error
AS,land,1850,0.1,0
AS,land,1851,-0.3,0
AS,land,1852,0,0
AS,land,1853,0.3,0.1
AS,land,1854,0.1,0.1
AS,land,1855,-0.2,0
AS,land,1856,-0.2,0.1
AS,land,1857,-0.5,0
AS,land,1858,-0.2,0.1
AS,land,1859,0.1,0
AS,land,1860,-0.3,0
AS,land,1861,-0.6,0.1
AS,land,1862,-0.4,0
AS,land,1863,-0.4,0
AS,land,1864,-0.3,0
AS,land,1865,-0.3,0
AS,land,1866,-0.3,0
AS,land,1867,-0.2,0
AS,land,1868,-0.2,0.1
AS,land,1869,-0.1,0.1
AS,land,1870,-0.4,0
AS,land,1871,-0.1,0
AS,land,1872,-0.1,0.1
AS,land,1873,-0.5,0
AS,land,1874,-0.1,0.1
AS,land,1875,-0.2,0.1
AS,land,1876,-0.2,0
AS,land,1877,-0.2,0
AS,land,1878,-0.2,0.1
AS,land,1879,-0.4,0.1
AS,land,1880,-0.3,0
AS,land,1881,0.1,0.1
AS,land,1882,0,0.1
AS,land,1883,-0.4,0.1
AS,land,1884,-0.4,0.1
AS,land,1885,-0.5,0.1
AS,land,1886,-0.4,0.1
AS,land,1887,-0.4,0.1
AS,land,1888,-0.1,0
AS,land,1889,-0.2,0
AS,land,1890,-0.5,0.1
AS,land,1891,-0.4,0.1
AS,land,1892,-0.3,0.1
AS,land,1893,-0.7,0.1
AS,land,1894,-0.3,0.1
AS,land,1895,-0.2,0.1
AS,land,1896,-0.3,0.1
AS,land,1897,-0.2,0.1
AS,land,1898,-0.3,0
AS,land,1899,-0.2,0.1
AS,land,1900,0.2,0.1
AS,land,1901,0.1,0.1
AS,land,1902,-0.4,0.1
AS,land,1903,-0.2,0.1
AS,land,1904,-0.6,0.1
AS,land,1905,-0.4,0
AS,land,1906,-0.3,0.1
AS,land,1907,-0.4,0.1
AS,land,1908,-0.5,0.1
AS,land,1909,-0.8,0.1
AS,land,1910,-0.9,0
AS,land,1911,-0.6,0.1
AS,land,1912,-0.3,0
AS,land,1913,-0.5,0
AS,land,1914,-0.3,0.1
AS,land,1915,-0.2,0.1
AS,land,1916,-0.5,0.1
AS,land,1917,-1.1,0.1
AS,land,1918,-0.6,0.1
AS,land,1919,-0.8,0.1
AS,land,1920,-0.5,0.1
AS,land,1921,-0.5,0.1
AS,land,1922,-0.2,0.1
AS,land,1923,-0.4,0
AS,land,1924,-0.2,0.1
AS,land,1925,-0.3,0.1
AS,land,1926,-0.2,0.1
AS,land,1927,-0.4,0.1
AS,land,1928,-0.3,0.1
AS,land,1929,-0.3,0
AS,land,1930,-0.3,0.1
AS,land,1931,-0.2,0
AS,land,1932,-0.2,0
AS,land,1933,-0.6,0.1
AS,land,1934,-0.4,0.1
AS,land,1935,-0.4,0.1
AS,land,1936,-0.3,0
AS,land,1937,-0.3,0
AS,land,1938,-0.4,0
AS,land,1939,-0.6,0
AS,land,1940,0,0.1
AS,land,1941,0.1,0
AS,land,1942,0,0.1
AS,land,1943,-0.1,0.1
AS,land,1944,0.1,0.1
AS,land,1945,0.1,0
AS,land,1946,0.2,0.1
AS,land,1947,0.1,0.1
AS,land,1948,-0.2,0.1
AS,land,1949,-0.2,0
AS,land,1950,-0.4,0.1
AS,land,1951,-0.1,0
AS,land,1952,0,0
AS,land,1953,0.1,0.1
AS,land,1954,-0.1,0.1
AS,land,1955,-0.4,0.1
AS,land,1956,-0.4,0.1
AS,land,1957,-0.2,0
AS,land,1958,0,0
AS,land,1959,0.1,0.1
AS,land,1960,-0.1,0.1
AS,land,1961,0,0.1
AS,land,1962,-0.1,0
AS,land,1963,0,0
AS,land,1964,-0.2,0.1
AS,land,1965,-0.3,0
AS,land,1966,0.1,0
AS,land,1967,-0.3,0
AS,land,1968,-0.1,0.1
AS,land,1969,0.3,0
AS,land,1970,0,0.1
AS,land,1971,-0.3,0.1
AS,land,1972,-0.2,0
AS,land,1973,0,0.1
AS,land,1974,-0.4,0.1
AS,land,1975,-0.4,0.1
AS,land,1976,-0.4,0.1
AS,land,1977,0,0
AS,land,1978,0,0.1
AS,land,1979,0,0
AS,land,1980,0.2,0
AS,land,1981,-0.1,0.1
AS,land,1982,0,0.1
AS,land,1983,-0.2,0.1
AS,land,1984,0,0.1
AS,land,1985,-0.2,0
AS,land,1986,0,0
AS,land,1987,0,0.1
AS,land,1988,0.1,0.1
AS,land,1989,-0.2,0.1
AS,land,1990,0.1,0.1
AS,land,1991,0.4,0
AS,land,1992,0.2,0.1
AS,land,1993,0.1,0
AS,land,1994,0.3,0
AS,land,1995,0.3,0
AS,land,1996,0.1,0
AS,land,1997,-0.1,0.1
AS,land,1998,-0.2,0
AS,land,1999,0,0
AS,land,2000,0.2,0
AS,land,2001,0.2,0
AS,land,2002,0.4,0
