code,year,population,population_status,station_count_latest,station_year_latest
AS,1990,46690,E,,
AS,1991,47924,E,,
AS,1992,49082,E,,
AS,1993,50204,E,,
AS,1994,51292,E,,
AS,1995,52358,E,,
AS,1996,53400,E,,
AS,1997,54406,E,,
AS,1998,55379,E,,
AS,1999,56291,E,,
AS,2000,56896,E,,
AS,2001,57097,E,,
AS,2002,57105,E,,
AS,2003,57013,E,,
AS,2004,56866,E,,
AS,2005,56665,E,,
AS,2006,56420,E,,
AS,2007,56159,E,,
AS,2008,55875,E,,
AS,2009,55576,E,,
AS,2010,55275,E,,
AS,2011,54944,E,,
AS,2012,54542,E,,
AS,2013,54058,E,,
AS,2014,53511,E,,
AS,2015,52922,E,,
AS,2016,52292,E,,
AS,2017,51632,E,,
AS,2018,50955,E,,
AS,2019,50253,E,,
AS,2020,49806,E,,
AS,2021,49271,E,,
AS,2022,48386,E,,
AS,2023,47566,E,,
AS,2024,47141,E,,
AS,2025,46389,E,,
CK,1990,17163,E,2.0,2026
CK,1991,17356,E,2.0,2026
CK,1992,17516,E,2.0,2026
CK,1993,17638,E,2.0,2026
CK,1994,17730,E,2.0,2026
CK,1995,17829,E,2.0,2026
CK,1996,17900,E,2.0,2026
CK,1997,17668,E,2.0,2026
CK,1998,17119,E,2.0,2026
CK,1999,16521,E,2.0,2026
CK,2000,15898,E,2.0,2026
CK,2001,15283,E,2.0,2026
CK,2002,15018,E,2.0,2026
CK,2003,15073,E,2.0,2026
CK,2004,15124,E,2.0,2026
CK,2005,15177,E,2.0,2026
CK,2006,15253,E,2.0,2026
CK,2007,15545,E,2.0,2026
CK,2008,16024,E,2.0,2026
CK,2009,16526,E,2.0,2026
CK,2010,17023,E,2.0,2026
CK,2011,17502,E,2.0,2026
CK,2012,17709,E,2.0,2026
CK,2013,17655,E,2.0,2026
CK,2014,17578,E,2.0,2026
CK,2015,17493,E,2.0,2026
CK,2016,17378,E,2.0,2026
CK,2017,17095,E,2.0,2026
CK,2018,16636,E,2.0,2026
CK,2019,16177,E,2.0,2026
CK,2020,15692,E,2.0,2026
CK,2021,15228,E,2.0,2026
CK,2022,14778,E,2.0,2026
CK,2023,14277,E,2.0,2026
CK,2024,13967,E,2.0,2026
CK,2025,13491,E,2.0,2026
FJ,1990,773331,E,8.0,2026
FJ,1991,779673,E,8.0,2026
FJ,1992,785364,E,8.0,2026
FJ,1993,790388,E,8.0,2026
FJ,1994,794788,E,8.0,2026
FJ,1995,798763,E,8.0,2026
FJ,1996,803805,E,8.0,2026
FJ,1997,812154,E,8.0,2026
FJ,1998,822272,E,8.0,2026
FJ,1999,831840,E,8.0,2026
FJ,2000,840927,E,8.0,2026
FJ,2001,849608,E,8.0,2026
FJ,2002,858072,E,8.0,2026
FJ,2003,866300,E,8.0,2026
FJ,2004,874374,E,8.0,2026
FJ,2005,882391,E,8.0,2026
FJ,2006,890374,E,8.0,2026
FJ,2007,897846,E,8.0,2026
FJ,2008,903421,E,8.0,2026
FJ,2009,907250,E,8.0,2026
FJ,2010,910430,E,8.0,2026
FJ,2011,913011,E,8.0,2026
FJ,2012,914934,E,8.0,2026
FJ,2013,916364,E,8.0,2026
FJ,2014,917601,E,8.0,2026
FJ,2015,918594,E,8.0,2026
FJ,2016,919176,E,8.0,2026
FJ,2017,918778,E,8.0,2026
FJ,2018,917190,E,8.0,2026
FJ,2019,914903,E,8.0,2026
FJ,2020,914977,E,8.0,2026
FJ,2021,916724,E,8.0,2026
FJ,2022,919430,E,8.0,2026
FJ,2023,924158,E,8.0,2026
FJ,2024,926544,E,8.0,2026
FJ,2025,931024,E,8.0,2026
FM,1990,100924,E,3.0,2026
FM,1991,102787,E,3.0,2026
FM,1992,104840,E,3.0,2026
FM,1993,107100,E,3.0,2026
FM,1994,109118,E,3.0,2026
FM,1995,110265,E,3.0,2026
FM,1996,110744,E,3.0,2026
FM,1997,111108,E,3.0,2026
FM,1998,111418,E,3.0,2026
FM,1999,111722,E,3.0,2026
FM,2000,112083,E,3.0,2026
FM,2001,112408,E,3.0,2026
FM,2002,112494,E,3.0,2026
FM,2003,112321,E,3.0,2026
FM,2004,111956,E,3.0,2026
FM,2005,111452,E,3.0,2026
FM,2006,110763,E,3.0,2026
FM,2007,109904,E,3.0,2026
FM,2008,108976,E,3.0,2026
FM,2009,107993,E,3.0,2026
FM,2010,107580,E,3.0,2026
FM,2011,107729,E,3.0,2026
FM,2012,107922,E,3.0,2026
FM,2013,108159,E,3.0,2026
FM,2014,108430,E,3.0,2026
FM,2015,108744,E,3.0,2026
FM,2016,109102,E,3.0,2026
FM,2017,109508,E,3.0,2026
FM,2018,109941,E,3.0,2026
FM,2019,110321,E,3.0,2026
FM,2020,110951,E,3.0,2026
FM,2021,111655,E,3.0,2026
FM,2022,112142,E,3.0,2026
FM,2023,112664,E,3.0,2026
FM,2024,112893,E,3.0,2026
FM,2025,113428,E,3.0,2026
GU,1990,138645,E,,
GU,1991,141101,E,,
GU,1992,143424,E,,
GU,1993,145682,E,,
GU,1994,147896,E,,
GU,1995,150082,E,,
GU,1996,152196,E,,
GU,1997,154246,E,,
GU,1998,156266,E,,
GU,1999,158322,E,,
GU,2000,160100,E,,
GU,2001,161365,E,,
