annee,province,bloc_historique,voix,sieges_province,sieges_congres,exprimes,pct_exprimes,source
1989,Province Sud,anti_independantiste,31000,26,26,39181,79.1199816237462,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province Sud,independantiste,5752,4,4,39181,14.680584977412522,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province Sud,autres_listes,2429,2,2,39181,6.1994333988412755,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province Nord,anti_independantiste,4746,4,4,14783,32.10444429412163,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province Nord,independantiste,10037,11,11,14783,67.89555570587838,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province Nord,autres_listes,0,0,0,14783,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province des Iles,anti_independantiste,2999,2,2,8509,35.24503466917382,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province des Iles,independantiste,5510,5,5,8509,64.75496533082618,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1989,Province des Iles,autres_listes,0,0,0,8509,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1989
1995,Province Sud,anti_independantiste,35623,29,29,45113,78.96393500764746,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province Sud,independantiste,6371,3,3,45113,14.122315075477136,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province Sud,autres_listes,3119,0,0,45113,6.9137499168754015,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province Nord,anti_independantiste,5076,4,4,16333,31.078185269087125,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province Nord,independantiste,11014,11,11,16333,67.43402926590339,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province Nord,autres_listes,243,0,0,16333,1.48778546500949,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province des Iles,anti_independantiste,2636,2,2,10345,25.480908651522476,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province des Iles,independantiste,7709,5,5,10345,74.51909134847753,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1995,Province des Iles,autres_listes,0,0,0,10345,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1995
1999,Province Sud,anti_independantiste,39886,34,27,49595,80.42342978122795,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province Sud,independantiste,9003,6,5,49595,18.15303962092953,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province Sud,autres_listes,706,0,0,49595,1.4235305978425246,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province Nord,anti_independantiste,4221,4,3,17283,24.4228432563791,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province Nord,independantiste,13062,18,12,17283,75.5771567436209,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province Nord,autres_listes,0,0,0,17283,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province des Iles,anti_independantiste,2370,2,1,12443,19.04685365265611,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province des Iles,independantiste,10073,12,6,12443,80.95314634734389,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
1999,Province des Iles,autres_listes,0,0,0,12443,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_1999
2004,Province Sud,anti_independantiste,44774,40,32,54811,81.68798233931145,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,Province Sud,independantiste,8833,0,0,54811,16.115378299976282,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,Province Sud,autres_listes,1204,0,0,54811,2.1966393607122656,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2004,Province Nord,anti_independantiste,4649,4,3,20559,22.612967556787783,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
