"cell_id","longitude","latitude","pop","snap_route_m","code_bv_affectation","secteur_affectation","affectation_par_proximite","distance_secteur_proche_m","assigned_bureaux_complets_id","assigned_centres_8_id","assigned_centres_9_id","bureaux_complets","centres_8","centres_9","assigned_bureaux_complets","assigned_centres_8","assigned_centres_9","delta_8_vs_full","delta_9_vs_full","delta_9_vs_8","assigned_delta_8_vs_full","assigned_delta_9_vs_full","assigned_delta_9_vs_8","car_motorized_nearest_bureaux_complets","car_motorized_nearest_centres_8","car_motorized_nearest_centres_9","car_motorized_assigned_bureaux_complets","car_motorized_assigned_centres_8","car_motorized_assigned_centres_9","car_nearest_bureaux_complets","car_nearest_centres_8","car_nearest_centres_9","car_assigned_bureaux_complets","car_assigned_centres_8","car_assigned_centres_9","car_motorized_bureaux_complets","car_motorized_centres_8","car_motorized_centres_9","car_bureaux_complets","car_centres_8","car_centres_9","bus_transit_nearest_bureaux_complets_min","bus_transit_nearest_bureaux_complets_median","bus_transit_nearest_bureaux_complets_max","bus_transit_nearest_centres_8_min","bus_transit_nearest_centres_8_median","bus_transit_nearest_centres_8_max","bus_transit_nearest_centres_9_min","bus_transit_nearest_centres_9_median","bus_transit_nearest_centres_9_max","bus_transit_assigned_bureaux_complets_min","bus_transit_assigned_bureaux_complets_median","bus_transit_assigned_bureaux_complets_max","bus_transit_assigned_centres_8_min","bus_transit_assigned_centres_8_median","bus_transit_assigned_centres_8_max","bus_transit_assigned_centres_9_min","bus_transit_assigned_centres_9_median","bus_transit_assigned_centres_9_max","bus_nearest_bureaux_complets_min","bus_nearest_bureaux_complets_median","bus_nearest_bureaux_complets_max","bus_nearest_centres_8_min","bus_nearest_centres_8_median","bus_nearest_centres_8_max","bus_nearest_centres_9_min","bus_nearest_centres_9_median","bus_nearest_centres_9_max","bus_assigned_bureaux_complets_min","bus_assigned_bureaux_complets_median","bus_assigned_bureaux_complets_max","bus_assigned_centres_8_min","bus_assigned_centres_8_median","bus_assigned_centres_8_max","bus_assigned_centres_9_min","bus_assigned_centres_9_median","bus_assigned_centres_9_max","bus_nearest_bureaux_complets","bus_nearest_centres_8","bus_nearest_centres_9","bus_assigned_bureaux_complets","bus_assigned_centres_8","bus_assigned_centres_9","bus_transit_bureaux_complets","bus_transit_centres_8","bus_transit_centres_9","bus_bureaux_complets","bus_centres_8","bus_centres_9","bus_arret_proche","bus_marche_arret_min","bus_nearest_bureaux_complets_h08","bus_nearest_bureaux_complets_h10","bus_nearest_bureaux_complets_h12","bus_nearest_bureaux_complets_h14","bus_nearest_bureaux_complets_h16","bus_nearest_centres_8_h08","bus_nearest_centres_8_h10","bus_nearest_centres_8_h12","bus_nearest_centres_8_h14","bus_nearest_centres_8_h16","bus_nearest_centres_9_h08","bus_nearest_centres_9_h10","bus_nearest_centres_9_h12","bus_nearest_centres_9_h14","bus_nearest_centres_9_h16","bus_assigned_bureaux_complets_h08","bus_assigned_bureaux_complets_h10","bus_assigned_bureaux_complets_h12","bus_assigned_bureaux_complets_h14","bus_assigned_bureaux_complets_h16","bus_assigned_centres_8_h08","bus_assigned_centres_8_h10","bus_assigned_centres_8_h12","bus_assigned_centres_8_h14","bus_assigned_centres_8_h16","bus_assigned_centres_9_h08","bus_assigned_centres_9_h10","bus_assigned_centres_9_h12","bus_assigned_centres_9_h14","bus_assigned_centres_9_h16"
1,166.483329476999,-22.2172339259448,2.88365137767888,5.54345193532629,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",6.87369127794018,44.1922900427834,44.1922900427834,7.34127051109205,44.1922900427834,44.1922900427834,37.3185987648432,37.3185987648432,0,36.8510195316913,36.8510195316913,0,6.14561521299003,12.3653816737972,12.3653816737972,6.22354508518201,12.3653816737972,12.3653816737972,6.14561521299003,12.3653816737972,12.3653816737972,6.22354508518201,12.3653816737972,12.3653816737972,6.14561521299003,12.3653816737972,12.3653816737972,6.14561521299003,12.3653816737972,12.3653816737972,28.5659396312254,28.5659396312254,28.5659396312254,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,28.7190002997633,28.7190002997633,28.7190002997633,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,6.87369127794018,6.87369127794018,6.87369127794018,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,7.34127051109205,7.34127051109205,7.34127051109205,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,6.87369127794018,44.1922900427834,44.1922900427834,7.34127051109205,44.1922900427834,44.1922900427834,28.5659396312254,72.6833527968803,49.8008714630001,6.87369127794018,44.1922900427834,44.1922900427834,"MOUCHET",3.5495844299159,6.87369127794018,6.87369127794018,6.87369127794018,6.87369127794018,6.87369127794018,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,7.34127051109205,7.34127051109205,7.34127051109205,7.34127051109205,7.34127051109205,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834,44.1922900427834
2,166.484299391995,-22.2172311309529,1.14613914733573,31.7259099594796,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",12.8047789696108,46.65488280052,46.65488280052,13.2723582027627,46.65488280052,46.65488280052,33.8501038309091,33.8501038309091,0,33.3825245977573,33.3825245977573,0,7.21373106237914,13.0615007426776,13.0615007426776,7.29166093457112,13.0615007426776,13.0615007426776,7.21373106237914,13.0615007426776,13.0615007426776,7.29166093457112,13.0615007426776,13.0615007426776,7.21373106237914,13.0615007426776,13.0615007426776,7.21373106237914,13.0615007426776,13.0615007426776,28.5659396312254,28.5659396312254,28.5659396312254,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,28.7190002997633,28.7190002997633,28.7190002997633,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,12.8047789696108,12.8047789696108,12.8047789696108,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,13.2723582027627,13.2723582027627,13.2723582027627,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,12.8047789696108,46.65488280052,46.65488280052,13.2723582027627,46.65488280052,46.65488280052,28.5659396312254,72.6833527968803,49.8008714630001,12.8047789696108,46.65488280052,46.65488280052,"MOUCHET",1.96106390364981,12.8047789696108,12.8047789696108,12.8047789696108,12.8047789696108,12.8047789696108,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,13.2723582027627,13.2723582027627,13.2723582027627,13.2723582027627,13.2723582027627,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052,46.65488280052
3,166.485269306953,-22.217228330358,13.0537165181956,7.80449690682827,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",12.6971916148815,46.5472954457907,46.5472954457907,13.1647708480334,46.5472954457907,46.5472954457907,33.8501038309091,33.8501038309091,0,33.3825245977573,33.3825245977573,0,7.11619860248025,12.9639682827787,12.9639682827787,7.19412847467223,12.9639682827787,12.9639682827787,7.11619860248025,12.9639682827787,12.9639682827787,7.19412847467223,12.9639682827787,12.9639682827787,7.11619860248025,12.9639682827787,12.9639682827787,7.11619860248025,12.9639682827787,12.9639682827787,25.0168114126998,25.0168114126998,25.0168114126998,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,25.0529612432188,25.0529612432188,25.0529612432188,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,12.6971916148815,12.6971916148815,12.6971916148815,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,13.1647708480334,13.1647708480334,13.1647708480334,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,12.6971916148815,46.5472954457907,46.5472954457907,13.1647708480334,46.5472954457907,46.5472954457907,25.0168114126998,72.6833527968803,49.8008714630001,12.6971916148815,46.5472954457907,46.5472954457907,"MOUCHET",0.388423580196219,12.6971916148815,12.6971916148815,12.6971916148815,12.6971916148815,12.6971916148815,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,13.1647708480334,13.1647708480334,13.1647708480334,13.1647708480334,13.1647708480334,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907,46.5472954457907
4,166.486239221873,-22.2172255241598,10.3103427306559,48.3440992814322,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",13.1697153150981,47.0198191460072,47.0198191460072,13.6372945482499,47.0198191460072,47.0198191460072,33.8501038309091,33.8501038309091,0,33.3825245977573,33.3825245977573,0,6.96464954318788,12.8124192234863,12.8124192234863,7.04257941537985,12.8124192234863,12.8124192234863,6.96464954318788,12.8124192234863,12.8124192234863,7.04257941537985,12.8124192234863,12.8124192234863,6.96464954318788,12.8124192234863,12.8124192234863,6.96464954318788,12.8124192234863,12.8124192234863,25.0168114126998,25.0168114126998,25.0168114126998,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,25.0529612432188,25.0529612432188,25.0529612432188,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,13.1697153150981,13.1697153150981,13.1697153150981,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,13.6372945482499,13.6372945482499,13.6372945482499,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,13.1697153150981,47.0198191460072,47.0198191460072,13.6372945482499,47.0198191460072,47.0198191460072,25.0168114126998,72.6833527968803,49.8008714630001,13.1697153150981,47.0198191460072,47.0198191460072,"MOUCHET",1.25537807894939,13.1697153150981,13.1697153150981,13.1697153150981,13.1697153150981,13.1697153150981,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,13.6372945482499,13.6372945482499,13.6372945482499,13.6372945482499,13.6372945482499,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072,47.0198191460072
5,166.482362554763,-22.2181398069534,4.1123787957298,19.3311339418093,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",5.76067659240303,41.7418187618196,41.7418187618196,6.22825582555489,41.7418187618196,41.7418187618196,35.9811421694166,35.9811421694166,0,35.5135629362647,35.5135629362647,0,5.9601127654005,11.9569697936366,11.9569697936366,6.03804263759248,11.9569697936366,11.9569697936366,5.76067659240303,11.9569697936366,11.9569697936366,6.03804263759248,11.9569697936366,11.9569697936366,5.9601127654005,11.9569697936366,11.9569697936366,5.76067659240303,11.9569697936366,11.9569697936366,28.5659396312254,28.5659396312254,28.5659396312254,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,28.7190002997633,28.7190002997633,28.7190002997633,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,5.76067659240303,5.76067659240303,5.76067659240303,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,6.22825582555489,6.22825582555489,6.22825582555489,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,5.76067659240303,41.7418187618196,41.7418187618196,6.22825582555489,41.7418187618196,41.7418187618196,28.5659396312254,72.6833527968803,49.8008714630001,5.76067659240303,41.7418187618196,41.7418187618196,"MOUCHET",5.44632579621263,5.76067659240303,5.76067659240303,5.76067659240303,5.76067659240303,5.76067659240303,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,6.22825582555489,6.22825582555489,6.22825582555489,6.22825582555489,6.22825582555489,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196,41.7418187618196
6,166.483332475813,-22.2181370175483,5.21031280351512,1.04710621714804,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",5.10713939522851,42.4257381600717,42.4257381600717,5.57471862838038,42.4257381600717,42.4257381600717,37.3185987648432,37.3185987648432,0,36.8510195316913,36.8510195316913,0,5.85041533081753,12.0701817916247,12.0701817916247,5.92834520300951,12.0701817916247,12.0701817916247,5.10713939522851,12.0701817916247,12.0701817916247,5.57471862838038,12.0701817916247,12.0701817916247,5.85041533081753,12.0701817916247,12.0701817916247,5.10713939522851,12.0701817916247,12.0701817916247,28.5659396312254,28.5659396312254,28.5659396312254,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,28.7190002997633,28.7190002997633,28.7190002997633,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,5.10713939522851,5.10713939522851,5.10713939522851,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,5.57471862838038,5.57471862838038,5.57471862838038,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,5.10713939522851,42.4257381600717,42.4257381600717,5.57471862838038,42.4257381600717,42.4257381600717,28.5659396312254,72.6833527968803,49.8008714630001,5.10713939522851,42.4257381600717,42.4257381600717,"MOUCHET",3.96579953123521,5.10713939522851,5.10713939522851,5.10713939522851,5.10713939522851,5.10713939522851,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,5.57471862838038,5.57471862838038,5.57471862838038,5.57471862838038,5.57471862838038,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717,42.4257381600717
7,166.484302396826,-22.2181342225399,3.76799370438854,40.3194508288955,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",7.65163427113371,44.9702330359769,44.9702330359769,8.11921350428558,44.9702330359769,44.9702330359769,37.3185987648432,37.3185987648432,0,36.8510195316913,36.8510195316913,0,6.27527237852228,12.4950388393295,12.4950388393295,6.35320225071426,12.4950388393295,12.4950388393295,6.27527237852228,12.4950388393295,12.4950388393295,6.35320225071426,12.4950388393295,12.4950388393295,6.27527237852228,12.4950388393295,12.4950388393295,6.27527237852228,12.4950388393295,12.4950388393295,25.0168114126998,25.0168114126998,25.0168114126998,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,25.0529612432188,25.0529612432188,25.0529612432188,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,7.65163427113371,7.65163427113371,7.65163427113371,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,8.11921350428558,8.11921350428558,8.11921350428558,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,7.65163427113371,44.9702330359769,44.9702330359769,8.11921350428558,44.9702330359769,44.9702330359769,25.0168114126998,72.6833527968803,49.8008714630001,7.65163427113371,44.9702330359769,44.9702330359769,"MOUCHET",2.62919515544198,7.65163427113371,7.65163427113371,7.65163427113371,7.65163427113371,7.65163427113371,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,8.11921350428558,8.11921350428558,8.11921350428558,8.11921350428558,8.11921350428558,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769,44.9702330359769
8,166.485272317802,-22.2181314219284,17.1525990979782,1.22224033694369,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",10.7237424424214,44.5738462733306,44.5738462733306,11.1913216755733,44.5738462733306,44.5738462733306,33.8501038309091,33.8501038309091,0,33.3825245977573,33.3825245977573,0,6.94300276788563,12.7907724481841,12.7907724481841,7.02093264007761,12.7907724481841,12.7907724481841,6.94300276788563,12.7907724481841,12.7907724481841,7.02093264007761,12.7907724481841,12.7907724481841,6.94300276788563,12.7907724481841,12.7907724481841,6.94300276788563,12.7907724481841,12.7907724481841,25.0168114126998,25.0168114126998,25.0168114126998,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,25.0529612432188,25.0529612432188,25.0529612432188,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,10.7237424424214,10.7237424424214,10.7237424424214,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,11.1913216755733,11.1913216755733,11.1913216755733,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,10.7237424424214,44.5738462733306,44.5738462733306,11.1913216755733,44.5738462733306,44.5738462733306,25.0168114126998,72.6833527968803,49.8008714630001,10.7237424424214,44.5738462733306,44.5738462733306,"MOUCHET",1.79381392815805,10.7237424424214,10.7237424424214,10.7237424424214,10.7237424424214,10.7237424424214,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,11.1913216755733,11.1913216755733,11.1913216755733,11.1913216755733,11.1913216755733,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306,44.5738462733306
9,166.48624223874,-22.2181286157137,17.9667177527063,25.9618737812231,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",10.2254412986541,44.0755451295632,44.0755451295632,10.6930205318059,44.0755451295632,44.0755451295632,33.8501038309091,33.8501038309091,0,33.3825245977573,33.3825245977573,0,6.70424021644234,12.5520098967408,12.5520098967408,6.78217008863432,12.5520098967408,12.5520098967408,6.70424021644234,12.5520098967408,12.5520098967408,6.78217008863432,12.5520098967408,12.5520098967408,6.70424021644234,12.5520098967408,12.5520098967408,6.70424021644234,12.5520098967408,12.5520098967408,25.0168114126998,25.0168114126998,25.0168114126998,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,25.0529612432188,25.0529612432188,25.0529612432188,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,10.2254412986541,10.2254412986541,10.2254412986541,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,10.6930205318059,10.6930205318059,10.6930205318059,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,10.2254412986541,44.0755451295632,44.0755451295632,10.6930205318059,44.0755451295632,44.0755451295632,25.0168114126998,72.6833527968803,49.8008714630001,10.2254412986541,44.0755451295632,44.0755451295632,"MOUCHET",2.15473192121619,10.2254412986541,10.2254412986541,10.2254412986541,10.2254412986541,10.2254412986541,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,10.6930205318059,10.6930205318059,10.6930205318059,10.6930205318059,10.6930205318059,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632,44.0755451295632
10,166.480425693349,-22.2190484603288,12.3161458209614,18.8454383986202,"0039","ECOLE ADRIENNE LOMONT 1",FALSE,0,"BV0039","R07","R07",11.4886107991879,39.9471610352584,35.8582972752146,11.9561900323398,39.9471610352584,39.9471610352584,28.4585502360705,24.3696864760267,-4.08886376004385,27.9909710029186,27.9909710029186,0,7.165057579922,11.8406328002413,11.5201954010347,7.24298745211398,11.8406328002413,11.8406328002413,7.165057579922,11.8406328002413,11.5201954010347,7.24298745211398,11.8406328002413,11.8406328002413,7.165057579922,11.8406328002413,11.5201954010347,7.165057579922,11.8406328002413,11.5201954010347,28.5659396312254,28.5659396312254,28.5659396312254,53.5450307951843,72.6833527968803,75.6833527968803,49.8008714630001,49.8008714630001,49.8008714630001,28.7190002997633,28.7190002997633,28.7190002997633,68.0348671551501,72.6833527968803,75.6833527968803,68.0348671551501,72.6833527968803,75.6833527968803,11.4886107991879,11.4886107991879,11.4886107991879,39.9471610352584,39.9471610352584,39.9471610352584,35.8582972752146,35.8582972752146,35.8582972752146,11.9561900323398,11.9561900323398,11.9561900323398,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,11.4886107991879,39.9471610352584,35.8582972752146,11.9561900323398,39.9471610352584,39.9471610352584,28.5659396312254,72.6833527968803,49.8008714630001,11.4886107991879,39.9471610352584,35.8582972752146,"MULET",6.81330597485586,11.4886107991879,11.4886107991879,11.4886107991879,11.4886107991879,11.4886107991879,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,35.8582972752146,35.8582972752146,35.8582972752146,35.8582972752146,35.8582972752146,11.9561900323398,11.9561900323398,11.9561900323398,11.9561900323398,11.9561900323398,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584,39.9471610352584
