"codgeo","libgeo","nb_de_menages","percent_menages_sans_vehicules","population_totale","population_grille","mean_bureaux_complets","mean_centres_8","mean_centres_9","mean_assigned_bureaux_complets","mean_assigned_centres_8","mean_assigned_centres_9","mean_delta_8_vs_full","mean_delta_9_vs_full","mean_delta_9_vs_8","menages_sans_vehicules","indice_cumul","classe_sans_vehicule"
"1801","Val Plaisance Sud - Ouen Toro",1058,13.6,2271,2155.15484600072,12.4768975314295,19.0970271220111,19.0970271220111,15.9721710272677,20.4245847187775,20.4245847187775,6.6201295905816,6.6201295905816,0,143.888,952.557206529606,"part faible"
"1802","Val Plaisance Nord",641,14,1360,1162.99812837347,7.97501439887271,14.6179241642454,14.6179241642454,17.0839761424964,15.167999224595,15.167999224595,6.64290976537273,6.64290976537273,0,89.74,596.134722344549,"part faible"
"1803","Anse Vata Est",1014,12,2236,2006.93418296858,9.54579790093065,8.50303069056311,8.50303069056311,11.7577273627257,10.4475992509834,10.4475992509834,-1.04276721036754,-1.04276721036754,0,121.68,0,"part faible"
"1804","Anse Vata Ouest",658,17.2,1481,1272.36226165414,13.0642244052582,11.1816570451972,11.1816570451972,13.4755909377642,11.1816570451972,11.1816570451972,-1.88256736006098,-1.88256736006098,0,113.176,0,"part faible"
"1805","Baie des citrons",974,12.9,2049,1739.37819591043,18.1319254818777,15.2170000584957,15.2170000584957,18.8525411266661,15.2170000584957,15.2170000584957,-2.91492542338198,-2.91492542338198,0,125.646,0,"part faible"
"1806","Motor Pool - Receiving",1132,16.1,2604,2378.97574792023,8.67466586467413,10.4051213228807,10.4051213228807,13.5768158079494,10.819119703246,10.819119703246,1.73045545820659,1.73045545820659,0,182.252,315.378968169068,"part faible"
"1807","N'Géa",1351,26.7,3622,3269.09459889638,7.0296095064473,20.4494994278455,20.4494994278455,9.65923838195416,21.0565355453738,21.0565355453738,13.4198899213982,13.4198899213982,0,360.717,4840.78243277698,"part intermédiaire"
"1808","Trianon",1437,17.5,2913,2973.69738985743,7.08685551877188,20.5711285392611,20.5711285392611,9.65660704222785,21.1592474654757,21.1592474654757,13.4842730204893,13.4842730204893,0,251.475,3390.95755782753,"part intermédiaire"
"1809","Orphelinat",619,12.4,1414,1437.16850110915,7.98203334082754,17.0756833905536,17.0756833905536,9.98867307088541,19.241145421593,19.241145421593,9.09365004972611,9.09365004972611,0,76.756,697.992203216777,"part faible"
"1810","Artillerie",618,14.9,1368,1196.33217628259,8.8649840589237,16.8924870203551,16.8924870203551,9.04164700125546,29.6234093837988,29.6234093837988,8.02750296143138,8.02750296143138,0,92.082,739.188527694524,"part faible"
"1811","Faubourg Blanchot",1158,22.2,2650,2535.27403614005,5.39452979411987,24.5779643236259,24.5779643236259,8.86333482296904,29.3353900199911,29.3353900199911,19.1834345295061,19.1834345295061,0,257.076,4931.6006151073,"part intermédiaire"
"1812","Quartier Latin - Vallée du Génie",1302,33.7,2612,2372.69618089103,6.43639502214651,15.0349588519988,15.0349588519988,8.91639007784461,16.1565998613405,16.1565998613405,8.59856382985225,8.59856382985225,0,438.774,3772.82624587959,"part élevée"
"1813","Vallée des Colons Sud Ouest",1168,24.5,2498,2489.06493186505,7.07604917385374,26.1924853092335,26.1924853092335,8.34240634334438,34.2569014886672,34.2569014886672,19.1164361353798,19.1164361353798,0,286.16,5470.35936450028,"part intermédiaire"
"1814","Vallée des Colons Sud Est",1242,15.2,2851,2555.56352582005,10.0011846543957,24.8302863516247,24.8302863516247,12.9596552910328,25.9723332659159,25.9723332659159,14.8291016972291,14.8291016972291,0,188.784,2799.49713480969,"part faible"
"1815","Magenta Ouest",826,13.6,1749,1806.4902861015,8.32687262709523,14.5623238688521,14.5623238688521,10.2038063389901,14.8337270690698,14.8337270690698,6.23545124175691,6.23545124175691,0,112.336,700.465650694004,"part faible"
"1816","Magenta Tours",716,71.9,1945,1639.88147206141,8.56196047303939,14.5836648157717,14.5836648157717,10.629000586872,14.5836648157717,14.5836648157717,6.02170434273228,6.02170434273228,0,514.804,3099.99748245595,"part élevée"
"1817","Magenta Est",1554,24.6,3475,2974.1848517345,12.5126531300757,22.0397911859141,22.0397911859141,15.2902781789988,22.1925424882785,22.1925424882785,9.52713805583833,9.52713805583833,0,382.284,3642.0724445381,"part intermédiaire"
"1818","Ouémo",738,11.9,1636,1341.14561562218,10.3232209085083,38.9023906248182,38.9023906248182,11.1551965693494,38.9023906248182,38.9023906248182,28.5791697163099,28.5791697163099,0,87.822,2509.87984282577,"part faible"
"1819","Haut Magenta",820,22.3,2010,1889.87341244545,13.3408359308008,18.4993645883931,18.4993645883931,14.2855402110194,27.697694887657,27.697694887657,5.15852865759233,5.15852865759233,0,182.86,943.288550327334,"part intermédiaire"
"1820","Vallée des Colons Nord Est",810,22.6,2017,2057.4622772408,13.9140713792495,22.7373922060097,22.7373922060097,17.8228499009106,25.5031590905626,25.5031590905626,8.82332082676019,8.82332082676019,0,183.06,1615.19711054672,"part intermédiaire"
"1821","Vallée des Colons Nord Ouest",579,15.5,1328,1189.64663316059,9.29429793344612,16.3720104766957,16.3720104766957,10.495636199828,18.3900108214917,18.3900108214917,7.07771254324954,7.07771254324954,0,89.745,635.18931219393,"part faible"
