"code_bv","bureau_nom_resultats_municipales","longitude","latitude","iris_codgeo","iris_libgeo","inscrits_municipales","votants_municipales","abstentions_municipales","abstention_municipales","bureau_nom_habituel","bureau_nom_provinciales","inscrits_provinciales","votants_provinciales","participation_provinciales","abstentions_provinciales","abstention_provinciales","ecart_abstention_provinciales_municipales"
"0001","Mairie 1",166.439401925184,-22.2714056104229,1822,"Centre ville",874,379,495,56.6361556064073,"MAIRIE 1","Mairie 1",630,383,60.79,247,39.21,-17.4261556064073
"0002","Mairie 2",166.439401925184,-22.2714056104229,1822,"Centre ville",1567,553,1014,64.7096362476069,"MAIRIE 2","Mairie 2",1192,545,45.72,647,54.28,-10.4296362476069
"0003","École Frédéric SURLEAU",166.446180272936,-22.2732842135737,1822,"Centre ville",1220,554,666,54.5901639344262,"Ecole Frédéric SURLEAU","Ecole Frédéric Surleau",756,504,66.67,252,33.33,-21.2601639344262
"0004","École Marguerite LEFRANCOIS",166.446044574066,-22.2859909097298,1809,"Orphelinat",1223,658,565,46.1978740801308,"Ecole Marguerite LEFRANCOIS","Ecole Marguerite Lefrançois",737,566,76.8,171,23.2,-22.9978740801308
"0005","École Yvonne DUPONT 1",166.442173657352,-22.2926748814035,1806,"Motor Pool - Receiving",1075,622,453,42.1395348837209,"Ecole Yvonne DUPONT 1","Ecole Yvonne Dupont 1",706,558,79.04,148,20.96,-21.1795348837209
"0006","École Eloi FRANC 1",166.447826467842,-22.2974281428095,1803,"Anse Vata Est",1371,693,678,49.45295404814,"Ecole Eloi FRANC 1","Ecole Eloi Franc 1",913,674,73.82,239,26.18,-23.27295404814
"0007","École Eloi FRANC 2",166.447826467842,-22.2974281428095,1803,"Anse Vata Est",1098,619,479,43.6247723132969,"Ecole Eloi FRANC 2","Ecole Eloi Franc 2",772,576,74.61,196,25.39,-18.2347723132969
"0008","École Fernande LERICHE 1",166.448431376266,-22.2984740950672,1803,"Anse Vata Est",1133,590,543,47.9258605472198,"Ecole Fernande LERICHE 1","Ecole Fernande Leriche 1",705,540,76.6,165,23.4,-24.5258605472198
"0009","École Fernande LERICHE 2",166.448431376266,-22.2984740950672,1803,"Anse Vata Est",1105,627,478,43.2579185520362,"Ecole Fernande LERICHE 2","Ecole Fernande Leriche 2",812,615,75.74,197,24.26,-18.9979185520362
"0010","École Jean MERMOUD 1",166.454827725543,-22.2956844604928,1807,"N'Géa",1273,719,554,43.5192458758837,"Ecole Jean MERMOUD 1","Ecole Jean Mermoud 1",806,628,77.92,178,22.08,-21.4392458758837
"0011","École Jean MERMOUD 2",166.454827725543,-22.2956844604928,1807,"N'Géa",1303,808,495,37.9892555640829,"Ecole Jean MERMOUD 2","Ecole Jean Mermoud 2",965,819,84.87,146,15.13,-22.8592555640829
"0012","École Ernest RISBEC 1",166.451704940929,-22.2838445188063,1808,"Trianon",1351,711,640,47.3723168023686,"Ecole Ernest RISBEC 1","Ecole Ernest Risbec 1",851,619,72.74,232,27.26,-20.1123168023686
"0013","École Ernest RISBEC 2",166.451704940929,-22.2838445188063,1808,"Trianon",1067,558,509,47.7038425492034,"Ecole Ernest RISBEC 2","Ecole Ernest Risbec 2",798,584,73.18,214,26.82,-20.8838425492034
"0014","École Paul BOYER 1",166.452482969153,-22.2781620536236,1811,"Faubourg Blanchot",1092,521,571,52.2893772893773,"Ecole Paul BOYER 1","Ecole Paul Boyer 1",706,472,66.86,234,33.14,-19.1493772893773
"0015","École les CAPUCINES",166.457228804171,-22.2753677119578,1813,"Vallée des Colons Sud Ouest",951,551,400,42.0609884332282,"Ecole Les CAPUCINES","Ecole Les Capucines",761,571,75.03,190,24.97,-17.0909884332282
"0016","École Candide KOCH 1",166.456450040223,-22.2745660873879,1813,"Vallée des Colons Sud Ouest",1081,537,544,50.3237742830712,"Ecole Candide KOCH 1","Ecole Candide Koch 1",811,574,70.78,237,29.22,-21.1037742830712
"0017","École Candide KOCH 2",166.456450040223,-22.2745660873879,1813,"Vallée des Colons Sud Ouest",1177,660,517,43.9252336448598,"Ecole Candide KOCH 2","Ecole Candide Koch 2",884,677,76.58,207,23.42,-20.5052336448598
"0018","École Emily PANNE 1",166.454860512437,-22.2689261325801,1820,"Vallée des Colons Nord Est",1038,541,497,47.8805394990366,"Ecole Suzanne RUSSIER 1","Ecole Suzanne Russier 1",774,544,70.28,230,29.72,-18.1605394990366
"0019","École Emily PANNE 2",166.454860512437,-22.2689261325801,1820,"Vallée des Colons Nord Est",1171,600,571,48.7617421007686,"Ecole Suzanne RUSSIER 2","Ecole Suzanne Russier 2",887,597,67.31,290,32.69,-16.0717421007686
