"code_bv","assigned_bureaux_complets_id","assigned_centres_8_id","site_regroupement","assigned_centres_9_id","lieu_habituel","lieu_municipales","lieu_provinciales"
"0001","BV0001","R01","HOTEL DE VILLE","R01","MAIRIE 1","Hôtel de Ville de Nouméa","Hôtel de Ville de Nouméa"
"0002","BV0002","R01","HOTEL DE VILLE","R01","MAIRIE 2","Hôtel de Ville de Nouméa","Hôtel de Ville de Nouméa"
"0003","BV0003","R01","HOTEL DE VILLE","R01","Ecole Frédéric SURLEAU","Hôtel de Ville de Nouméa","Hôtel de Ville de Nouméa"
"0004","BV0004","R02","SALLE OMNISPORT ANSE VATA","R02","Ecole Marguerite LEFRANCOIS","Salle omnisports W.K. Wawanabu de l'Anse-Vata","Salle omnisports W.K. Wawanabu de l'Anse-Vata"
"0005","BV0005","R02","SALLE OMNISPORT ANSE VATA","R02","Ecole Yvonne DUPONT 1","Salle omnisports W.K. Wawanabu de l'Anse-Vata","Salle omnisports W.K. Wawanabu de l'Anse-Vata"
"0006","BV0006","R03","SALLE NOYANT","R03","Ecole Eloi FRANC 1","Salle Jean-Noyant","Salle Jean-Noyant"
"0007","BV0007","R03","SALLE NOYANT","R03","Ecole Eloi FRANC 2","Salle Jean-Noyant","Salle Jean-Noyant"
"0008","BV0008","R03","SALLE NOYANT","R03","Ecole Fernande LERICHE 1","Salle Jean-Noyant","Salle Jean-Noyant"
"0009","BV0009","R03","SALLE NOYANT","R03","Ecole Fernande LERICHE 2","Salle Jean-Noyant","Salle Jean-Noyant"
"0010","BV0010","R03","SALLE NOYANT","R03","Ecole Jean MERMOUD 1","Salle Jean-Noyant","Salle Jean-Noyant"
"0011","BV0011","R03","SALLE NOYANT","R03","Ecole Jean MERMOUD 2","Salle Jean-Noyant","Salle Jean-Noyant"
"0012","BV0012","R02","SALLE OMNISPORT ANSE VATA","R02","Ecole Ernest RISBEC 1","Salle omnisports W.K. Wawanabu de l'Anse-Vata","Salle omnisports W.K. Wawanabu de l'Anse-Vata"
"0013","BV0013","R02","SALLE OMNISPORT ANSE VATA","R02","Ecole Ernest RISBEC 2","Salle omnisports W.K. Wawanabu de l'Anse-Vata","Salle omnisports W.K. Wawanabu de l'Anse-Vata"
"0014","BV0014","R02","SALLE OMNISPORT ANSE VATA","R02","Ecole Paul BOYER 1","Salle omnisports W.K. Wawanabu de l'Anse-Vata","Salle omnisports W.K. Wawanabu de l'Anse-Vata"
"0015","BV0015","R04","COLLEGE JEAN LÈQUES","R04","Ecole Les CAPUCINES","Collège Jean-Leques","Collège Jean-Leques"
"0016","BV0016","R04","COLLEGE JEAN LÈQUES","R04","Ecole Candide KOCH 1","Collège Jean-Leques","Collège Jean-Leques"
"0017","BV0017","R04","COLLEGE JEAN LÈQUES","R04","Ecole Candide KOCH 2","Collège Jean-Leques","Collège Jean-Leques"
"0018","BV0018","R01","HOTEL DE VILLE","R01","Ecole Suzanne RUSSIER 1","Hôtel de Ville de Nouméa","Hôtel de Ville de Nouméa"
"0019","BV0019","R01","HOTEL DE VILLE","R01","Ecole Suzanne RUSSIER 2","Hôtel de Ville de Nouméa","Hôtel de Ville de Nouméa"
"0020","BV0020","R04","COLLEGE JEAN LÈQUES","R04","Ecole Antoinette CHARBONNEAUX","Collège Jean-Leques","Collège Jean-Leques"
"0021","BV0021","R04","COLLEGE JEAN LÈQUES","R04","Ecole Marie HAVET 1","Collège Jean-Leques","Collège Jean-Leques"
"0022","BV0022","R04","COLLEGE JEAN LÈQUES","R04","Ecole Marie HAVET 2","Collège Jean-Leques","Collège Jean-Leques"
"0023","BV0023","R04","COLLEGE JEAN LÈQUES","R04","Ecole Christine BOLETTI 1","Collège Jean-Leques","Collège Jean-Leques"
"0024","BV0024","R04","COLLEGE JEAN LÈQUES","R04","Ecole Christine BOLETTI 2","Collège Jean-Leques","Collège Jean-Leques"
"0025","BV0025","R04","COLLEGE JEAN LÈQUES","R04","Ecole Michel CACOT 1","Collège Jean-Leques","Collège Jean-Leques"
"0026","BV0026","R04","COLLEGE JEAN LÈQUES","R04","Ecole Michel CACOT 2","Collège Jean-Leques","Collège Jean-Leques"
"0027","BV0027","R05","ECOLE C.T. DE LAUBARÈDE (EX PETIT POUCET)","R05","Ex-Ecole Céline TEYSSANDIER DE LAUBAREDE","École Céline-Teyssandier-de-Laubarede","École Céline-Teyssandier-de-Laubarede"
"0028","BV0028","R05","ECOLE C.T. DE LAUBARÈDE (EX PETIT POUCET)","R05","Ecole Gustave MOUCHET 1","École Céline-Teyssandier-de-Laubarede","École Céline-Teyssandier-de-Laubarede"
"0029","BV0029","R05","ECOLE C.T. DE LAUBARÈDE (EX PETIT POUCET)","R05","Ecole Gustave MOUCHET 2","École Céline-Teyssandier-de-Laubarede","École Céline-Teyssandier-de-Laubarede"
"0030","BV0030","R06","COLLEGE FRANÇOIS OLLIVAUD","R06","Ecole Mathilde BROQUET 1","Collège François-Ollivaud","Collège François-Ollivaud"
"0031","BV0031","R07","ECOLES COURTOT/GERVOLINO","R07","Ecole Marie COURTOT 1","Groupe scolaire Marie-Courtot / Henriette-Gervolino","Groupe scolaire Marie-Courtot / Henriette-Gervolino"
"0032","BV0032","R07","ECOLES COURTOT/GERVOLINO","R07","Ecole Marie COURTOT 2","Groupe scolaire Marie-Courtot / Henriette-Gervolino","Groupe scolaire Marie-Courtot / Henriette-Gervolino"
"0033","BV0033","R08","SALLES VEYRET/KAFOA","R10","Ecole Robert BURCK","Centre culturel Ko We Kara","Salle de boxe municipale Vincent Kafoa"
"0034","BV0034","R08","SALLES VEYRET/KAFOA","R10","Ecole Les ROSES","Centre culturel Ko We Kara","Salle de boxe municipale Vincent Kafoa"
"0035","BV0035","R08","SALLES VEYRET/KAFOA","R10","Ecole Les OEILLETS","Centre culturel Ko We Kara","Salle de boxe municipale Vincent Kafoa"
"0036","BV0036","R07","SALLES VEYRET/KAFOA","R10","Ecole Jacques TROUILLOT","Groupe scolaire Marie-Courtot / Henriette-Gervolino","Salle de boxe municipale Vincent Kafoa"
"0037","BV0037","R07","SALLES VEYRET/KAFOA","R10","Ecole LES HIBISCUS 1","Groupe scolaire Marie-Courtot / Henriette-Gervolino","Salle de boxe municipale Vincent Kafoa"
"0038","BV0038","R07","SALLES VEYRET/KAFOA","R10","Ecole LES HIBISCUS 2","Groupe scolaire Marie-Courtot / Henriette-Gervolino","Salle de boxe municipale Vincent Kafoa"
"0039","BV0039","R07","ECOLES COURTOT/GERVOLINO","R07","Ecole Adrienne LOMONT 1","Groupe scolaire Marie-Courtot / Henriette-Gervolino","Groupe scolaire Marie-Courtot / Henriette-Gervolino"
"0040","BV0040","R07","ECOLES COURTOT/GERVOLINO","R07","Ecole Adrienne LOMONT 2","Groupe scolaire Marie-Courtot / Henriette-Gervolino","Groupe scolaire Marie-Courtot / Henriette-Gervolino"
"0041","BV0041","R08","COLLEGE DE KAMERE","R09","Ex-Ecole Gustave LODS 1","Centre culturel Ko We Kara","Collège de Kaméré"
"0042","BV0042","R08","COLLEGE DE KAMERE","R09","Ex-Ecole Gustave LODS 2","Centre culturel Ko We Kara","Collège de Kaméré"
"0043","BV0043","R08","COLLEGE DE KAMERE","R09","Ecole Daniel TALON","Centre culturel Ko We Kara","Collège de Kaméré"
"0044","BV0044","R08","COLLEGE DE KAMERE","R09","Ecole Maurice FONROBERT","Centre culturel Ko We Kara","Collège de Kaméré"
"0045","BV0045","R06","COLLEGE FRANÇOIS OLLIVAUD","R06","Ecole Mathilde BROQUET 2","Collège François-Ollivaud","Collège François-Ollivaud"
"0046","BV0046","R02","SALLE OMNISPORT ANSE VATA","R02","Ecole Yvonne DUPONT 2","Salle omnisports W.K. Wawanabu de l'Anse-Vata","Salle omnisports W.K. Wawanabu de l'Anse-Vata"
